Year,Sector,Bilateral ODA for,Share,Donor
2023,Government & civil society,635.44,19.53%,Sweden
2023,Emergency Response,559.4,17.19%,Sweden
2023,Refugees in donor countries,253.71,7.8%,Sweden
2023,Health & populations,251.9,7.74%,Sweden
2023,Donor administration costs,232.15,7.13%,Sweden
2023,Environmental protection,175.47,5.39%,Sweden
2023,"Conflict, peace & security",164.91,5.07%,Sweden
2023,"Agriculture (incl. forestry, fishing, rural development)",145.46,4.47%,Sweden
2023,Other social services,128.48,3.95%,Sweden
2023,Energy,121.64,3.74%,Sweden
2023,Other multisector,116.71,3.59%,Sweden
2023,Unspecified,102.1,3.14%,Sweden
2023,Education,99.44,3.06%,Sweden
2023,Reconstruction Relief & Rehabilitation,81.9,2.52%,Sweden
2023,Water and sanitation,57.08,1.75%,Sweden
2023,Financial services & business support,54.36,1.67%,Sweden
2023,"Industry, construction & mining",32.64,1.0%,Sweden
2023,Trade policy,20.8,0.64%,Sweden
2023,Infrastructure,15.77,0.48%,Sweden
2023,Disaster Prevention & Preparedness,2.49,0.08%,Sweden
2023,Debt relief,2.0,0.06%,Sweden
2023,Tourism,0.42,0.01%,Sweden
2023,Food aid and commodity assistance,0.14,0.0%,Sweden
2022,Government & civil society,634.18,17.79%,Sweden
2022,Emergency Response,547.12,15.35%,Sweden
2022,Refugees in donor countries,386.74,10.85%,Sweden
2022,Health & populations,277.34,7.78%,Sweden
2022,Donor administration costs,241.64,6.78%,Sweden
2022,"Conflict, peace & security",208.83,5.86%,Sweden
2022,Other social services,179.65,5.04%,Sweden
2022,Environmental protection,171.3,4.81%,Sweden
2022,Financial services & business support,166.51,4.67%,Sweden
2022,"Agriculture (incl. forestry, fishing, rural development)",144.18,4.04%,Sweden
2022,Other multisector,131.7,3.69%,Sweden
2022,Education,99.09,2.78%,Sweden
2022,Energy,98.93,2.78%,Sweden
2022,Water and sanitation,72.33,2.03%,Sweden
2022,Unspecified,71.01,1.99%,Sweden
2022,Food aid and commodity assistance,50.19,1.41%,Sweden
2022,"Industry, construction & mining",32.0,0.9%,Sweden
2022,Reconstruction Relief & Rehabilitation,22.29,0.63%,Sweden
2022,Trade policy,15.51,0.44%,Sweden
2022,Infrastructure,13.22,0.37%,Sweden
2022,Debt relief,1.0,0.03%,Sweden
2022,Disaster Prevention & Preparedness,0.05,0.0%,Sweden
2021,Government & civil society,746.43,20.91%,Sweden
2021,Emergency Response,533.22,14.94%,Sweden
2021,Health & populations,381.13,10.68%,Sweden
2021,Donor administration costs,243.03,6.81%,Sweden
2021,Other social services,210.27,5.89%,Sweden
2021,"Conflict, peace & security",195.8,5.49%,Sweden
2021,"Agriculture (incl. forestry, fishing, rural development)",192.48,5.39%,Sweden
2021,Environmental protection,183.12,5.13%,Sweden
2021,Other multisector,173.41,4.86%,Sweden
2021,Financial services & business support,157.85,4.42%,Sweden
2021,Education,114.1,3.2%,Sweden
2021,Energy,102.07,2.86%,Sweden
2021,Refugees in donor countries,79.51,2.23%,Sweden
2021,Water and sanitation,77.75,2.18%,Sweden
2021,Unspecified,56.33,1.58%,Sweden
2021,"Industry, construction & mining",51.71,1.45%,Sweden
2021,Infrastructure,25.85,0.72%,Sweden
2021,Trade policy,24.59,0.69%,Sweden
2021,Debt relief,8.44,0.24%,Sweden
2021,Disaster Prevention & Preparedness,6.96,0.19%,Sweden
2021,Reconstruction Relief & Rehabilitation,4.92,0.14%,Sweden
2021,Food aid and commodity assistance,0.65,0.02%,Sweden
2020,Government & civil society,793.34,22.08%,Sweden
2020,Emergency Response,525.11,14.62%,Sweden
2020,Health & populations,336.97,9.38%,Sweden
2020,Donor administration costs,234.49,6.53%,Sweden
2020,Other social services,182.29,5.07%,Sweden
2020,"Agriculture (incl. forestry, fishing, rural development)",180.93,5.04%,Sweden
2020,"Conflict, peace & security",175.58,4.89%,Sweden
2020,Environmental protection,166.26,4.63%,Sweden
2020,Other multisector,163.75,4.56%,Sweden
2020,Financial services & business support,151.67,4.22%,Sweden
2020,Refugees in donor countries,148.81,4.14%,Sweden
2020,Education,143.68,4.0%,Sweden
2020,Water and sanitation,96.11,2.68%,Sweden
2020,Energy,90.09,2.51%,Sweden
2020,Unspecified,81.98,2.28%,Sweden
2020,"Industry, construction & mining",51.29,1.43%,Sweden
2020,Infrastructure,31.92,0.89%,Sweden
2020,Reconstruction Relief & Rehabilitation,16.82,0.47%,Sweden
2020,Trade policy,10.71,0.3%,Sweden
2020,Disaster Prevention & Preparedness,7.29,0.2%,Sweden
2020,Food aid and commodity assistance,3.82,0.11%,Sweden
2019,Government & civil society,819.69,22.17%,Sweden
2019,Emergency Response,482.49,13.05%,Sweden
2019,Refugees in donor countries,274.17,7.42%,Sweden
2019,Health & populations,255.17,6.9%,Sweden
2019,Donor administration costs,226.41,6.12%,Sweden
2019,Other multisector,196.24,5.31%,Sweden
2019,"Agriculture (incl. forestry, fishing, rural development)",193.91,5.24%,Sweden
2019,Environmental protection,185.97,5.03%,Sweden
2019,"Conflict, peace & security",182.41,4.93%,Sweden
2019,Financial services & business support,147.56,3.99%,Sweden
2019,Education,146.07,3.95%,Sweden
2019,Other social services,126.91,3.43%,Sweden
2019,Energy,116.55,3.15%,Sweden
2019,Unspecified,94.44,2.55%,Sweden
2019,Water and sanitation,88.93,2.41%,Sweden
2019,"Industry, construction & mining",70.09,1.9%,Sweden
2019,Infrastructure,33.15,0.9%,Sweden
2019,Trade policy,27.43,0.74%,Sweden
2019,Reconstruction Relief & Rehabilitation,24.28,0.66%,Sweden
2019,Disaster Prevention & Preparedness,4.96,0.13%,Sweden
2019,Food aid and commodity assistance,0.51,0.01%,Sweden
