Year,Multi_short,ODA,Share,Full Name,Donor
2019,IDA,249.84,0.52%,International Development Association ,Switzerland
2019,ADF,89.97,0.19%,African Development Fund ,Switzerland
2019,International Development Association - Multilateral Debt Relief Initiative,75.86,0.16%,International Development Association - Multilateral Debt Relief Initiative,Switzerland
2019,UNDP,57.61,0.12%,United Nations Development Programme ,Switzerland
2019,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",44.48,0.09%,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund ",Switzerland
2019,GEF-TF,34.1,0.07%,Global Environment Facility Trust Fund,Switzerland
2019,AIIB,27.29,0.06%,Asian Infrastructure Investment Bank,Switzerland
2019,UNRWA,23.18,0.05%,United Nations Relief and Works Agency for Palestine Refugees in the Near East,Switzerland
2019,UNICEF,22.37,0.05%,United Nations Children's Fund ,Switzerland
2019,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",21.44,0.04%,"Global Fund to Fight AIDS, Tuberculosis and Malaria ",Switzerland
2019,CGIAR ,18.84,0.04%,CGIAR Fund,Switzerland
2019,UNFPA,18.55,0.04%,United Nations Population Fund ,Switzerland
2019,United Nations Entity for Gender Equality and the Empowerment of Women,18.55,0.04%,United Nations Entity for Gender Equality and the Empowerment of Women,Switzerland
2019,United Nations Office of the High Commissioner for Refugees,17.39,0.04%,United Nations Office of the High Commissioner for Refugees,Switzerland
2019,AF,17.39,0.04%,Adaptation Fund,Switzerland
2019,UN,16.61,0.03%,United Nations,Switzerland
2019,IFAD,16.25,0.03%,International Fund for Agricultural Development ,Switzerland
2019,Geneva Centre for the Democratic Control of Armed Forces,13.09,0.03%,Geneva Centre for the Democratic Control of Armed Forces,Switzerland
2019,PIDG,11.92,0.02%,Private Infrastructure Development Group ,Switzerland
2019,Joint United Nations Programme on HIV/AIDS ,11.59,0.02%,Joint United Nations Programme on HIV/AIDS ,Switzerland
2019,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",11.41,0.02%,"United Nations Department of Peace Operations - UN peacekeeping operations [only MINURSO, MINUSCA, MINUSMA, MINUJUSTH, MONUSCO, UNAMID, UNIFIL, UNISFA, UNMIK, UNMIL, UNMISS, UNOCI]. Report contributions mission by mission in CRS++.",Switzerland
2019,Geneva International Centre for Humanitarian Demining ,10.62,0.02%,Geneva International Centre for Humanitarian Demining ,Switzerland
2019,WFP,9.24,0.02%,World Food Programme ,Switzerland
2019,Asian Development Fund ,8.12,0.02%,Asian Development Fund ,Switzerland
2019,CERF,8.11,0.02%,Central Emergency Response Fund,Switzerland
2019,Organization for Security and Co-operation in Europe,6.03,0.01%,Organization for Security and Co-operation in Europe,Switzerland
2019,International Organisation of the Francophonie,5.34,0.01%,International Organisation of the Francophonie,Switzerland
2019,FAO,5.18,0.01%,Food and Agricultural Organisation,Switzerland
2019,UNEP,5.09,0.01%,United Nations Environment Programme ,Switzerland
2019,World Health Organisation - assessed contributions,4.68,0.01%,World Health Organisation - assessed contributions,Switzerland
2019,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),4.62,0.01%,United Nations High Commissioner for Human Rights (extrabudgetary contributions only),Switzerland
2019,Council of Europe,4.55,0.01%,Council of Europe,Switzerland
2019,UNCDF,3.48,0.01%,United Nations Capital Development Fund ,Switzerland
2019,MLF-MP,3.32,0.01%,Multilateral Fund for the Implementation of the Montreal Protocol ,Switzerland
2019,World Health Organisation - core voluntary contributions account,2.9,0.01%,World Health Organisation - core voluntary contributions account,Switzerland
2019,Global Environment Facility - Least Developed Countries Fund,2.9,0.01%,Global Environment Facility - Least Developed Countries Fund,Switzerland
2019,International Labour Organisation - Assessed Contributions,2.86,0.01%,International Labour Organisation - Assessed Contributions,Switzerland
2019,"United Nations Educational, Scientific and Cultural Organisation",2.59,0.01%,"United Nations Educational, Scientific and Cultural Organisation",Switzerland
2019,United Nations Office of Co-ordination of Humanitarian Affairs ,2.32,0.0%,United Nations Office of Co-ordination of Humanitarian Affairs ,Switzerland
2019,International Atomic Energy Agency - assessed contributions,1.74,0.0%,International Atomic Energy Agency - assessed contributions,Switzerland
2019,UNIDO,1.73,0.0%,United Nations Industrial Development Organisation ,Switzerland
2019,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),1.51,0.0%,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),Switzerland
2019,CITES,1.23,0.0%,Convention on International Trade in Endangered Species of Wild Flora and Fauna,Switzerland
