year,Recipient Country,ODA Grants,ODA Loans,Share,Donor
2023,"Bilateral, unspecified",18013.96,89.37,30.5%,United States
2023,Ukraine,11792.07,0.0,19.8%,United States
2023,Ethiopia,1618.66,0.0,2.7%,United States
2023,Jordan,1276.09,0.0,2.1%,United States
2023,Afghanistan,1232.5,0.0,2.1%,United States
2023,"South of Sahara, regional",1229.05,0.0,2.1%,United States
2023,Democratic Republic of the Congo,1228.51,0.0,2.1%,United States
2023,Somalia,983.14,0.0,1.7%,United States
2023,Nigeria,968.53,0.0,1.6%,United States
2023,Kenya,843.7,0.0,1.4%,United States
2023,Syrian Arab Republic,835.27,0.0,1.4%,United States
2023,Yemen,825.43,0.0,1.4%,United States
2023,South Sudan,711.73,0.0,1.2%,United States
2023,Uganda,688.4,0.0,1.2%,United States
2023,Mozambique,660.58,0.0,1.1%,United States
2023,"Europe, regional",652.11,0.0,1.1%,United States
2023,Colombia,637.92,0.0,1.1%,United States
2023,Tanzania,623.21,0.0,1.0%,United States
2023,"South & Central Asia, regional",619.56,0.0,1.0%,United States
2023,South Africa,552.05,0.0,0.9%,United States
2022,"Bilateral, unspecified",20603.67,0.0,37.6%,United States
2022,Ukraine,9588.01,0.0,17.5%,United States
2022,Ethiopia,1504.14,0.0,2.7%,United States
2022,Afghanistan,1354.81,0.0,2.5%,United States
2022,"South of Sahara, regional",1173.24,0.0,2.1%,United States
2022,Yemen,1023.78,0.0,1.9%,United States
2022,South Sudan,988.15,0.0,1.8%,United States
2022,Nigeria,805.18,0.0,1.5%,United States
2022,Syrian Arab Republic,714.07,0.0,1.3%,United States
2022,Uganda,668.26,0.0,1.2%,United States
2022,Kenya,653.29,0.0,1.2%,United States
2022,Democratic Republic of the Congo,628.22,0.0,1.1%,United States
2022,South Africa,606.21,0.0,1.1%,United States
2022,Sudan,601.17,0.0,1.1%,United States
2022,Colombia,593.57,0.0,1.1%,United States
2022,Mozambique,580.68,0.0,1.1%,United States
2022,Somalia,545.38,0.0,1.0%,United States
2022,"America, regional",483.94,0.0,0.9%,United States
2022,Tanzania,472.95,0.0,0.9%,United States
2022,Zambia,441.12,0.0,0.8%,United States
2021,"Bilateral, unspecified",13874.09,0.0,32.1%,United States
2021,Afghanistan,1655.72,0.0,3.8%,United States
2021,Ethiopia,1479.07,0.0,3.4%,United States
2021,Jordan,1416.29,0.0,3.3%,United States
2021,"South of Sahara, regional",1209.93,0.0,2.8%,United States
2021,Nigeria,1021.54,0.0,2.4%,United States
2021,Democratic Republic of the Congo,1003.42,0.0,2.3%,United States
2021,Yemen,1001.62,0.0,2.3%,United States
2021,Syrian Arab Republic,894.05,0.0,2.1%,United States
2021,South Sudan,891.35,0.0,2.1%,United States
2021,Sudan,815.97,0.0,1.9%,United States
2021,Kenya,801.35,0.0,1.9%,United States
2021,South Africa,789.97,0.0,1.8%,United States
2021,Colombia,758.02,0.0,1.8%,United States
2021,Uganda,731.85,0.0,1.7%,United States
2021,Mozambique,656.51,0.0,1.5%,United States
2021,Tanzania,578.63,0.0,1.3%,United States
2021,Somalia,522.11,0.0,1.2%,United States
2021,Iraq,514.16,0.0,1.2%,United States
2021,Bangladesh,494.75,0.0,1.1%,United States
2020,"Bilateral, unspecified",10282.67,0.0,29.2%,United States
2020,Jordan,1414.03,0.0,4.0%,United States
2020,Afghanistan,1179.75,0.0,3.4%,United States
2020,Nigeria,1083.6,0.0,3.1%,United States
2020,Ethiopia,924.74,0.0,2.6%,United States
2020,Democratic Republic of the Congo,910.43,0.0,2.6%,United States
2020,South Sudan,843.14,0.0,2.4%,United States
2020,South Africa,837.24,0.0,2.4%,United States
2020,Yemen,818.59,0.0,2.3%,United States
2020,Somalia,501.85,301.32,2.3%,United States
2020,Syrian Arab Republic,802.72,0.0,2.3%,United States
2020,Kenya,794.34,0.0,2.3%,United States
2020,Uganda,750.84,0.0,2.1%,United States
2020,Tanzania,718.5,0.0,2.0%,United States
2020,Colombia,649.24,0.0,1.8%,United States
2020,Iraq,621.11,0.0,1.8%,United States
2020,Mozambique,564.37,0.0,1.6%,United States
2020,Zambia,458.02,0.0,1.3%,United States
2020,Malawi,375.31,0.0,1.1%,United States
2020,Bangladesh,363.27,0.0,1.0%,United States
2019,"Bilateral, unspecified",11576.94,0.0,33.3%,United States
2019,Afghanistan,1698.48,0.0,4.9%,United States
2019,Jordan,1307.91,0.0,3.8%,United States
2019,Ethiopia,1024.24,0.0,2.9%,United States
2019,Kenya,810.33,0.0,2.3%,United States
2019,Nigeria,770.64,0.0,2.2%,United States
2019,Democratic Republic of the Congo,762.49,0.0,2.2%,United States
2019,Yemen,751.16,0.0,2.2%,United States
2019,Iraq,704.72,0.0,2.0%,United States
2019,Syrian Arab Republic,680.16,0.0,2.0%,United States
2019,South Sudan,658.56,0.0,1.9%,United States
2019,Uganda,612.44,0.0,1.8%,United States
2019,Tanzania,561.9,0.0,1.6%,United States
2019,Somalia,554.11,0.0,1.6%,United States
2019,"South of Sahara, regional",552.31,0.0,1.6%,United States
2019,Colombia,510.44,0.0,1.5%,United States
2019,Bangladesh,481.46,0.0,1.4%,United States
2019,South Africa,461.44,0.0,1.3%,United States
2019,Pakistan,428.31,0.0,1.2%,United States
2019,Mozambique,417.47,0.0,1.2%,United States
