Year,Donor,Total ODA,Ranking
2023,United States,64.686,1st
2023,Germany,37.905,2nd
2023,Japan,19.6,3rd
2023,United Kingdom,19.073,4th
2023,France,15.05,5th
2023,Canada,7.965,6th
2023,Netherlands,7.361,7th
2023,Italy,6.121,8th
2023,Sweden,5.622,9th
2023,Norway,5.548,10th
2023,Switzerland,5.219,11th
2023,Spain,3.88,12th
2023,Australia,3.253,13th
2023,Korea,3.16,14th
2023,Denmark,3.057,15th
2023,Ireland,2.817,16th
2023,Belgium,2.814,17th
2023,Poland,2.58,18th
2023,Austria,1.959,19th
2023,Finland,1.586,20th
2023,Czechia,0.81,21st
2023,New Zealand,0.764,22nd
2023,Luxembourg,0.58,23rd
2023,Portugal,0.529,24th
2023,Greece,0.334,25th
2023,Hungary,0.268,26th
2023,Lithuania,0.213,27th
2023,Slovak Republic,0.175,28th
2023,Slovenia,0.164,29th
2023,Latvia,0.141,30th
2023,Iceland,0.111,31st
2023,Estonia,0.11,32nd
2024,United States,61.821,1st
2024,Germany,31.382,2nd
2024,Japan,17.583,3rd
2024,United Kingdom,17.005,4th
2024,France,15.047,5th
2024,Canada,7.323,6th
2024,Netherlands,7.158,7th
2024,Italy,6.534,8th
2024,Norway,5.338,9th
2024,Sweden,4.868,10th
2024,Switzerland,4.441,11th
2024,Spain,4.23,12th
2024,Korea,3.944,13th
2024,Australia,3.262,14th
2024,Belgium,3.157,15th
2024,Denmark,3.124,16th
2024,Ireland,2.422,17th
2024,Poland,1.89,18th
2024,Austria,1.773,19th
2024,Finland,1.381,20th
2024,New Zealand,0.768,21st
2024,Portugal,0.642,22nd
2024,Luxembourg,0.579,23rd
2024,Czechia,0.575,24th
2024,Greece,0.345,25th
2024,Lithuania,0.186,26th
2024,Hungary,0.183,27th
2024,Slovak Republic,0.182,28th
2024,Slovenia,0.161,29th
2024,Latvia,0.11,30th
2024,Iceland,0.107,31st
2024,Estonia,0.081,32nd
