"Year","Region","Bilateral ODA","Share","Donor"
"2017","Oceania",895.917695,"33%","Australia"
"2018","Oceania",929.477256,"33%","Australia"
"2019","Oceania",941.859839,"37%","Australia"
"2020","Oceania",904.889827,"34%","Australia"
"2021","Oceania",1320.168228,"43%","Australia"
"2017","Asia",846.660089,"32%","Australia"
"2018","Asia",886.172458,"31%","Australia"
"2019","Asia",774.642581,"30%","Australia"
"2020","Asia",767.980027,"29%","Australia"
"2021","Asia",1075.684161,"35%","Australia"
"2017","Developing countries, unspecified",619.618026,"23%","Australia"
"2018","Developing countries, unspecified",758.851306,"27%","Australia"
"2019","Developing countries, unspecified",579.482569,"23%","Australia"
"2020","Developing countries, unspecified",659.851223,"25%","Australia"
"2021","Developing countries, unspecified",485.693412,"16%","Australia"
"2017","MENA region",110.638199,"4%","Australia"
"2018","MENA region",127.250246,"5%","Australia"
"2019","MENA region",150.255311,"6%","Australia"
"2020","MENA region",80.111044,"3%","Australia"
"2021","MENA region",78.223654,"3%","Australia"
"2017","sub-Saharan Africa",164.059758,"6%","Australia"
"2018","sub-Saharan Africa",73.824805,"3%","Australia"
"2019","sub-Saharan Africa",75.55844,"3%","Australia"
"2020","sub-Saharan Africa",59.710459,"2%","Australia"
"2021","sub-Saharan Africa",48.015495,"2%","Australia"
"2017","Europe",0.950323,"0%","Australia"
"2018","Europe",0.659418,"0%","Australia"
"2019","Europe",0.582355,"0%","Australia"
"2020","Europe",5.547234,"0%","Australia"
"2021","Europe",0.23322,"0%","Australia"
"2017","Asia, regional",30.425767,"1%","Australia"
"2018","Asia, regional",30.836536,"1%","Australia"
"2019","Asia, regional",34.953952,"1%","Australia"
"2020","Asia, regional",182.224934,"7%","Australia"
"2021","Asia, regional",66.667966,"2%","Australia"
"2017","Africa, regional",5.049811,"0%","Australia"
"2018","Africa, regional",8.086433,"0%","Australia"
"2019","Africa, regional",9.657491,"0%","Australia"
"2020","Africa, regional",4.996287,"0%","Australia"
"2021","Africa, regional",4.694748,"0%","Australia"
"2017","Latin America and the Caribbeans",13.178563,"0%","Australia"
"2018","Latin America and the Caribbeans",4.174521,"0%","Australia"
"2019","Latin America and the Caribbeans",4.543356,"0%","Australia"
"2020","Latin America and the Caribbeans",2.865918,"0%","Australia"
"2021","Latin America and the Caribbeans",2.207291,"0%","Australia"
