"Year","Multi_short","ODA","Share","full name","country"
"2018","UN agency, fund or commission",31.658935,"4%","United Nations (UN) agency, fund or commission","Austria"
"2019","UN agency, fund or commission",43.461895,"5%","United Nations (UN) agency, fund or commission","Austria"
"2020","UN agency, fund or commission",46.709155,"6%","United Nations (UN) agency, fund or commission","Austria"
"2021","UN agency, fund or commission",46.243909,"6%","United Nations (UN) agency, fund or commission","Austria"
"2022","UN agency, fund or commission",49.333909,"6%","United Nations (UN) agency, fund or commission","Austria"
"2021","CERF",2.838221,"0%","Central Emergency Response Fund","Austria"
"2022","CERF",2.153729,"0%","Central Emergency Response Fund","Austria"
"2018","FAO",3.126031,"0%","Food and Agricultural Organisation","Austria"
"2019","FAO",3.160431,"0%","Food and Agricultural Organisation","Austria"
"2020","FAO",2.921108,"0%","Food and Agricultural Organisation","Austria"
"2021","FAO",2.762304,"0%","Food and Agricultural Organisation","Austria"
"2022","FAO",2.722648,"0%","Food and Agricultural Organisation","Austria"
"2019","IFAD",6.59447,"1%","International Fund for Agricultural Development","Austria"
"2020","IFAD",6.429294,"1%","International Fund for Agricultural Development","Austria"
"2021","IFAD",6.306764,"1%","International Fund for Agricultural Development","Austria"
"2022","IFAD",6.046311,"1%","International Fund for Agricultural Development","Austria"
"2018","UNDP",1.945543,"0%","United Nations Development Programme","Austria"
"2019","UNDP",1.916278,"0%","United Nations Development Programme","Austria"
"2020","UNDP",1.567238,"0%","United Nations Development Programme","Austria"
"2021","UNDP",1.182592,"0%","United Nations Development Programme","Austria"
"2022","UNDP",1.156212,"0%","United Nations Development Programme","Austria"
"2018","UN Women",0.313797,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Austria"
"2019","UN Women",0.309077,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Austria"
"2020","UN Women",0.301392,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Austria"
"2021","UN Women",0.295648,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Austria"
"2022","UN Women",0.283385,"0%","United Nations Entity for Gender Equality and the Empowerment of Women","Austria"
"2018","UNEP",1.334991,"0%","United Nations Environment Programme","Austria"
"2020","UNEP",0.482227,"0%","United Nations Environment Programme","Austria"
"2021","UNEP",0.473037,"0%","United Nations Environment Programme","Austria"
"2022","UNEP",0.566771,"0%","United Nations Environment Programme","Austria"
"2018","UNFCCC",0.157542,"0%","United Nations Framework Convention on Climate Change","Austria"
"2019","UNFCCC",0.152463,"0%","United Nations Framework Convention on Climate Change","Austria"
"2020","UNFCCC",0.137207,"0%","United Nations Framework Convention on Climate Change","Austria"
"2021","UNFCCC",0.124956,"0%","United Nations Framework Convention on Climate Change","Austria"
"2022","UNFCCC",0.124708,"0%","United Nations Framework Convention on Climate Change","Austria"
"2018","UNOCHA",0.112967,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Austria"
"2019","UNOCHA",0.112504,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Austria"
"2020","UNOCHA",0.109707,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Austria"
"2021","UNOCHA",0.107616,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Austria"
"2022","UNOCHA",0.113354,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Austria"
"2018","UNFPA",0.251038,"0%","United Nations Population Fund","Austria"
"2019","UNFPA",0.247262,"0%","United Nations Population Fund","Austria"
"2020","UNFPA",0.241114,"0%","United Nations Population Fund","Austria"
