"Year","Region","Bilateral ODA","Share","Donor"
"2017","Asia",9117.810961,"59%","Japan"
"2018","Asia",7708.581735,"57%","Japan"
"2019","Asia",8888.897304,"61%","Japan"
"2020","Asia",9805.043998,"60%","Japan"
"2021","Asia",10425.550033,"59%","Japan"
"2017","Developing countries, unspecified",1903.642595,"12%","Japan"
"2018","Developing countries, unspecified",2046.342759,"15%","Japan"
"2019","Developing countries, unspecified",1922.887445,"13%","Japan"
"2020","Developing countries, unspecified",2281.068583,"14%","Japan"
"2021","Developing countries, unspecified",2220.963779,"12%","Japan"
"2017","MENA region",1375.585056,"9%","Japan"
"2018","MENA region",1377.783381,"10%","Japan"
"2019","MENA region",1286.654962,"9%","Japan"
"2020","MENA region",1695.942306,"10%","Japan"
"2021","MENA region",1634.736315,"9%","Japan"
"2017","sub-Saharan Africa",1328.328846,"9%","Japan"
"2018","sub-Saharan Africa",1286.083509,"10%","Japan"
"2019","sub-Saharan Africa",1432.55267,"10%","Japan"
"2020","sub-Saharan Africa",1273.237351,"8%","Japan"
"2021","sub-Saharan Africa",1652.184019,"9%","Japan"
"2017","Europe",263.588548,"2%","Japan"
"2018","Europe",216.825446,"2%","Japan"
"2019","Europe",163.051818,"1%","Japan"
"2020","Europe",132.586047,"1%","Japan"
"2021","Europe",200.850483,"1%","Japan"
"2017","Latin America and the Caribbeans",379.870825,"2%","Japan"
"2018","Latin America and the Caribbeans",454.493946,"3%","Japan"
"2019","Latin America and the Caribbeans",406.309427,"3%","Japan"
"2020","Latin America and the Caribbeans",611.081769,"4%","Japan"
"2021","Latin America and the Caribbeans",707.868466,"4%","Japan"
"2017","Oceania",330.523724,"2%","Japan"
"2018","Oceania",222.023331,"2%","Japan"
"2019","Oceania",219.673586,"2%","Japan"
"2020","Oceania",316.836922,"2%","Japan"
"2021","Oceania",618.466244,"3%","Japan"
"2017","Africa, regional",424.200695,"3%","Japan"
"2018","Africa, regional",57.210793,"0%","Japan"
"2019","Africa, regional",111.227782,"1%","Japan"
"2020","Africa, regional",9.054935,"0%","Japan"
"2021","Africa, regional",39.539857,"0%","Japan"
"2017","Asia, regional",391.431058,"3%","Japan"
"2018","Asia, regional",86.705277,"1%","Japan"
"2019","Asia, regional",157.962681,"1%","Japan"
"2020","Asia, regional",157.702733,"1%","Japan"
"2021","Asia, regional",306.448773,"2%","Japan"
