"Year","Region","Bilateral ODA","Share","Donor"
"2017","Developing countries, unspecified",2916.22845,"69%","Netherlands"
"2018","Developing countries, unspecified",2699.780695,"65%","Netherlands"
"2019","Developing countries, unspecified",2657.5348,"70%","Netherlands"
"2020","Developing countries, unspecified",2828.517055,"71%","Netherlands"
"2021","Developing countries, unspecified",2678.900681,"70%","Netherlands"
"2017","sub-Saharan Africa",767.470631,"18%","Netherlands"
"2018","sub-Saharan Africa",822.770953,"20%","Netherlands"
"2019","sub-Saharan Africa",720.857993,"19%","Netherlands"
"2020","sub-Saharan Africa",712.592793,"18%","Netherlands"
"2021","sub-Saharan Africa",758.247309,"20%","Netherlands"
"2017","Europe",31.684474,"1%","Netherlands"
"2018","Europe",28.688654,"1%","Netherlands"
"2019","Europe",22.300986,"1%","Netherlands"
"2020","Europe",39.048545,"1%","Netherlands"
"2021","Europe",32.125584,"1%","Netherlands"
"2017","MENA region",278.722998,"7%","Netherlands"
"2018","MENA region",351.181151,"8%","Netherlands"
"2019","MENA region",158.407013,"4%","Netherlands"
"2020","MENA region",210.656328,"5%","Netherlands"
"2021","MENA region",177.926275,"5%","Netherlands"
"2017","Asia",158.210552,"4%","Netherlands"
"2018","Asia",143.838886,"3%","Netherlands"
"2019","Asia",154.573211,"4%","Netherlands"
"2020","Asia",111.140531,"3%","Netherlands"
"2021","Asia",79.214483,"2%","Netherlands"
"2017","Africa, regional",35.911285,"1%","Netherlands"
"2018","Africa, regional",49.315618,"1%","Netherlands"
"2019","Africa, regional",59.570446,"2%","Netherlands"
"2020","Africa, regional",62.665223,"2%","Netherlands"
"2021","Africa, regional",70.37226,"2%","Netherlands"
"2017","Latin America and the Caribbeans",11.554505,"0%","Netherlands"
"2018","Latin America and the Caribbeans",34.845851,"1%","Netherlands"
"2019","Latin America and the Caribbeans",18.671009,"0%","Netherlands"
"2020","Latin America and the Caribbeans",14.707003,"0%","Netherlands"
"2021","Latin America and the Caribbeans",15.169996,"0%","Netherlands"
"2017","Asia, regional",8.59876,"0%","Netherlands"
"2018","Asia, regional",3.203617,"0%","Netherlands"
"2019","Asia, regional",4.598703,"0%","Netherlands"
"2020","Asia, regional",7.697597,"0%","Netherlands"
"2021","Asia, regional",8.166685,"0%","Netherlands"
"2017","Oceania",0,"0%","Netherlands"
"2018","Oceania",0,"0%","Netherlands"
"2019","Oceania",0,"0%","Netherlands"
"2020","Oceania",0,"0%","Netherlands"
"2021","Oceania",0,"0%","Netherlands"
