"Year","Income Group","ODA","Share","Donor"
"2018","WorldBank Low income countries",425.929967,"21%","Denmark"
"2019","WorldBank Low income countries",568.740175,"28%","Denmark"
"2020","WorldBank Low income countries",469.318158,"26%","Denmark"
"2021","WorldBank Low income countries",607.148515,"30%","Denmark"
"2022","WorldBank Low income countries",420.467635,"20%","Denmark"
"2018","WorldBank Low income countriesM",301.934065,"15%","Denmark"
"2019","WorldBank Low income countriesM",245.955781,"12%","Denmark"
"2020","WorldBank Low income countriesM",251.239984,"14%","Denmark"
"2021","WorldBank Low income countriesM",277.5806,"14%","Denmark"
"2022","WorldBank Low income countriesM",404.124186,"19%","Denmark"
"2018","Part I Unallocated by income",116.191057,"6%","Denmark"
"2019","Part I Unallocated by income",125.977889,"6%","Denmark"
"2020","Part I Unallocated by income",195.105245,"11%","Denmark"
"2021","Part I Unallocated by income",238.191497,"12%","Denmark"
"2022","Part I Unallocated by income",146.255022,"7%","Denmark"
"2018","WorldBank Upper-middle income countries",113.32327,"6%","Denmark"
"2019","WorldBank Upper-middle income countries",62.819265,"3%","Denmark"
"2020","WorldBank Upper-middle income countries",54.388853,"3%","Denmark"
"2021","WorldBank Upper-middle income countries",47.09975,"2%","Denmark"
"2022","WorldBank Upper-middle income countries",78.249414,"4%","Denmark"
"2018","WorldBank High income countries",0,"0%","Denmark"
"2019","WorldBank High income countries",0,"0%","Denmark"
"2020","WorldBank High income countries",0,"0%","Denmark"
"2021","WorldBank High income countries",0,"0%","Denmark"
"2022","WorldBank High income countries",0.026986,"0%","Denmark"
"2018","Countries not classified by the World Bank",0,"0%","Denmark"
"2019","Countries not classified by the World Bank",0,"0%","Denmark"
"2020","Countries not classified by the World Bank",0.610257,"0%","Denmark"
"2021","Countries not classified by the World Bank",0.587324,"0%","Denmark"
"2022","Countries not classified by the World Bank",0,"0%","Denmark"
