"Year","Multi_short","ODA","Share","full name","country"
"2018","CERF",16.944306,"2%","Central Emergency Response Fund","Denmark"
"2018","FAO",1.550302,"0%","Food and Agricultural Organisation","Denmark"
"2018","UNDP",18.638736,"2%","United Nations Development Programme","Denmark"
"2018","UN Women",10.166583,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Denmark"
"2018","UNFCCC",0.104621,"0%","United Nations Framework Convention on Climate Change","Denmark"
"2018","UNOCHA",5.083292,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Denmark"
"2018","UNFPA",38.124688,"5%","United Nations Population Fund","Denmark"
"2018","WFP",35.074713,"4%","World Food Programme","Denmark"
"2018","WHO - assessed contributions",2.297675,"0%","World Health Organisation - assessed contributions","Denmark"
"2018","WHO - core voluntary contributions",4.236076,"1%","World Health Organisation - core voluntary contributions account","Denmark"
"2018","EC - Development Share of Budget",219.558572,"26%","European Commission - Development Share of Budget","Denmark"
"2018","EC - EDF",105.969855,"13%","European Commission - European Development Fund","Denmark"
"2018","EIB",5.05003,"1%","European Investment Bank","Denmark"
"2018","IBRD",0,"0%","International Bank for Reconstruction and Development","Denmark"
"2018","IDA",97.056982,"12%","International Development Association","Denmark"
"2018","MDRI",17.413663,"2%","International Development Association - Multilateral Debt Relief Initiative","Denmark"
"2018","AfDB",0.115114,"0%","African Development Bank","Denmark"
"2018","African Development Fund",20.177842,"2%","African Development Fund","Denmark"
"2018","AIIB",13.476745,"2%","Asian Infrastructure Investment Bank","Denmark"
"2018","Gavi",4.236076,"1%","Global Alliance for Vaccines and Immunization","Denmark"
"2018","GEF-Least Developed Countries Fund",8.773765,"1%","Global Environment Facility - Least Developed Countries Fund","Denmark"
"2018","GEF Fund",76.249375,"9%","Global Environment Facility Trust Fund","Denmark"
"2018","Global Fund",25.433403,"3%","Global Fund to Fight AIDS, Tuberculosis and Malaria","Denmark"
"2018","IPCC",0.338886,"0%","Intergovernmental Panel on Climate Change","Denmark"
"2019","CERF",30.683689,"4%","Central Emergency Response Fund","Denmark"
"2019","FAO",1.618346,"0%","Food and Agricultural Organisation","Denmark"
"2019","UNDP",17.940736,"2%","United Nations Development Programme","Denmark"
"2019","UN Women",10.060226,"1%","United Nations Entity for Gender Equality and the Empowerment of Women","Denmark"
"2019","UNEP",5.030113,"1%","United Nations Environment Programme","Denmark"
"2019","UNFCCC",0.101386,"0%","United Nations Framework Convention on Climate Change","Denmark"
"2019","UNOCHA",5.030113,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Denmark"
"2019","UNFPA",50.301131,"6%","United Nations Population Fund","Denmark"
"2019","WFP",34.037098,"4%","World Food Programme","Denmark"
"2019","WHO - assessed contributions",2.377167,"0%","World Health Organisation - assessed contributions","Denmark"
"2019","WHO - core voluntary contributions",4.191761,"0%","World Health Organisation - core voluntary contributions account","Denmark"
"2019","EC - Development Share of Budget",225.999554,"26%","European Commission - Development Share of Budget","Denmark"
"2019","EC - EDF",109.19373,"13%","European Commission - European Development Fund","Denmark"
"2019","EIB",7.51244,"1%","European Investment Bank","Denmark"
"2019","IBRD",0,"0%","International Bank for Reconstruction and Development","Denmark"
"2019","IDA",94.633193,"11%","International Development Association","Denmark"
"2019","MDRI",17.8066,"2%","International Development Association - Multilateral Debt Relief Initiative","Denmark"
"2019","AfDB",0.070663,"0%","African Development Bank","Denmark"
