year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Primary education,57.11,29.3%,Australia
2023,Education policy and administrative management,39.49,20.2%,Australia
2023,Education facilities and training,27.16,13.9%,Australia
2023,Advanced technical and managerial training,19.23,9.9%,Australia
2023,Higher education,14.33,7.3%,Australia
2023,Teacher training,14.23,7.3%,Australia
2023,Vocational training,12.75,6.5%,Australia
2023,Basic life skills for adults,4.68,2.4%,Australia
2023,Early childhood education,2.1,1.1%,Australia
2023,Basic life skills for youth,1.77,0.9%,Australia
2023,Upper Secondary Education (modified and includes data from 11322),1.7,0.9%,Australia
2023,Educational research,0.49,0.3%,Australia
2023,Lower secondary education,0.12,0.1%,Australia
2023,Primary education equivalent for adults,0.01,0.0%,Australia
2023,School feeding,0.01,0.0%,Australia
2022,Primary education,60.5,27.6%,Australia
2022,Education policy and administrative management,52.37,23.9%,Australia
2022,Education facilities and training,37.97,17.3%,Australia
2022,Advanced technical and managerial training,25.18,11.5%,Australia
2022,Vocational training,11.05,5.0%,Australia
2022,Higher education,9.55,4.4%,Australia
2022,Upper Secondary Education (modified and includes data from 11322),7.67,3.5%,Australia
2022,Teacher training,6.51,3.0%,Australia
2022,Basic life skills for youth,3.36,1.5%,Australia
2022,Early childhood education,2.5,1.1%,Australia
2022,Educational research,1.61,0.7%,Australia
2022,Basic life skills for adults,1.03,0.5%,Australia
2022,Lower secondary education,0.09,0.0%,Australia
2021,Primary education,81.62,39.4%,Australia
2021,Education policy and administrative management,39.52,19.1%,Australia
2021,Education facilities and training,30.98,15.0%,Australia
2021,Vocational training,13.83,6.7%,Australia
2021,Upper Secondary Education (modified and includes data from 11322),12.58,6.1%,Australia
2021,Higher education,10.1,4.9%,Australia
2021,Advanced technical and managerial training,5.58,2.7%,Australia
2021,Teacher training,5.25,2.5%,Australia
2021,Early childhood education,2.25,1.1%,Australia
2021,Basic life skills for adults,1.92,0.9%,Australia
2021,Basic life skills for youth,1.82,0.9%,Australia
2021,Educational research,1.55,0.7%,Australia
2020,Primary education,54.1,32.6%,Australia
2020,Education policy and administrative management,34.12,20.5%,Australia
2020,Advanced technical and managerial training,28.58,17.2%,Australia
2020,Higher education,20.74,12.5%,Australia
2020,Upper Secondary Education (modified and includes data from 11322),8.57,5.2%,Australia
2020,Education facilities and training,8.28,5.0%,Australia
2020,Vocational training,7.34,4.4%,Australia
2020,Teacher training,2.12,1.3%,Australia
2020,Educational research,1.7,1.0%,Australia
2020,Basic life skills for youth,0.33,0.2%,Australia
2020,Primary education equivalent for adults,0.22,0.1%,Australia
2019,Primary education,62.36,30.8%,Australia
2019,Education policy and administrative management,62.21,30.7%,Australia
2019,Advanced technical and managerial training,26.12,12.9%,Australia
2019,Education facilities and training,17.64,8.7%,Australia
2019,Vocational training,12.85,6.3%,Australia
2019,Higher education,9.73,4.8%,Australia
2019,Upper Secondary Education (modified and includes data from 11322),3.81,1.9%,Australia
2019,Teacher training,3.79,1.9%,Australia
2019,Educational research,2.2,1.1%,Australia
2019,Basic life skills for youth,1.09,0.5%,Australia
2019,Primary education equivalent for adults,0.67,0.3%,Australia
2019,Early childhood education,0.19,0.1%,Australia
2019,Basic life skills for adults,0.01,0.0%,Australia
