Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADF,2.5,1.0%,african development fund,Austria
2020,ADF,1.92,1.0%,african development fund,Austria
2021,ADF,0.83,0.0%,african development fund,Austria
2022,ADF,0.53,0.0%,african development fund,Austria
2023,ADF,0.57,0.0%,african development fund,Austria
2023,AF,0.0,0.0%,adaptation fund,Austria
2020,AfDB,0.05,0.0%,african development bank,Austria
2021,AfDB,0.01,0.0%,african development bank,Austria
2022,AfDB,0.02,0.0%,african development bank,Austria
2023,AfDB,0.09,0.0%,african development bank,Austria
2019,EC-DSB,24.69,10.0%,european commission development share of budget,Austria
2020,EC-DSB,26.12,11.0%,european commission development share of budget,Austria
2021,EC-DSB,24.88,10.0%,european commission development share of budget,Austria
2022,EC-DSB,28.89,12.0%,european commission development share of budget,Austria
2023,EC-DSB,28.66,10.0%,european commission development share of budget,Austria
2019,EC-EDF,7.32,3.0%,european commission european development fund,Austria
2020,EC-EDF,7.54,3.0%,european commission european development fund,Austria
2021,EC-EDF,3.91,2.0%,european commission european development fund,Austria
2022,EC-EDF,1.78,1.0%,european commission european development fund,Austria
2023,EC-EDF,0.36,0.0%,european commission european development fund,Austria
2019,FAO,0.01,0.0%,food and agricultural organisation,Austria
2020,FAO,0.01,0.0%,food and agricultural organisation,Austria
2021,FAO,0.01,0.0%,food and agricultural organisation,Austria
2022,FAO,0.0,0.0%,food and agricultural organisation,Austria
2023,FAO,0.0,0.0%,food and agricultural organisation,Austria
2019,IBRD,4.16,2.0%,international bank for reconstruction and development,Austria
2019,IDA,16.17,7.000000000000001%,international development association,Austria
2020,IDA,14.79,6.0%,international development association,Austria
2021,IDA,16.14,7.000000000000001%,international development association,Austria
2022,IDA,16.59,7.000000000000001%,international development association,Austria
2023,IDA,31.55,11.0%,international development association,Austria
2019,IDB-IIC-MIF,0.06,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Austria
2020,IDB-IIC-MIF,0.02,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Austria
2021,IDB-IIC-MIF,0.01,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Austria
2022,IDB-IIC-MIF,0.01,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Austria
2023,UN,0.01,0.0%,united nations,Austria
2019,UNDP,0.0,0.0%,united nations development programme,Austria
2020,UNDP,0.0,0.0%,united nations development programme,Austria
2021,UNDP,0.0,0.0%,united nations development programme,Austria
2022,UNDP,0.0,0.0%,united nations development programme,Austria
2023,UNDP,0.0,0.0%,united nations development programme,Austria
2019,UNFPA,0.01,0.0%,united nations population fund,Austria
2020,UNFPA,0.01,0.0%,united nations population fund,Austria
2021,UNFPA,0.01,0.0%,united nations population fund,Austria
2022,UNFPA,0.02,0.0%,united nations population fund,Austria
2023,UNFPA,0.02,0.0%,united nations population fund,Austria
2020,UNIDO,0.05,0.0%,united nations industrial development organisation,Austria
2021,UNIDO,0.03,0.0%,united nations industrial development organisation,Austria
2022,UNIDO,0.02,0.0%,united nations industrial development organisation,Austria
2023,UNIDO,0.01,0.0%,united nations industrial development organisation,Austria
2019,UNRWA,0.3,0.0%,united nations relief and works agency for palestine refugees in the near east,Austria
2020,UNRWA,0.3,0.0%,united nations relief and works agency for palestine refugees in the near east,Austria
2021,UNRWA,0.29,0.0%,united nations relief and works agency for palestine refugees in the near east,Austria
2022,UNRWA,0.28,0.0%,united nations relief and works agency for palestine refugees in the near east,Austria
2023,UNRWA,0.23,0.0%,united nations relief and works agency for palestine refugees in the near east,Austria
2019,,0.09,0.0%,united nations children’s fund,Austria
2020,,0.08,0.0%,united nations children’s fund,Austria
2021,,0.09,0.0%,united nations children’s fund,Austria
2022,,0.1,0.0%,united nations children’s fund,Austria
2023,,0.11,0.0%,united nations children’s fund,Austria
