year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Education facilities and training,3.04,59.5%,Estonia
2023,Education policy and administrative management,0.78,15.2%,Estonia
2023,Higher education,0.7,13.8%,Estonia
2023,Teacher training,0.32,6.4%,Estonia
2023,Vocational training,0.13,2.6%,Estonia
2023,Early childhood education,0.07,1.3%,Estonia
2023,Advanced technical and managerial training,0.05,1.0%,Estonia
2023,Basic life skills for adults,0.01,0.2%,Estonia
2022,Higher education,0.75,32.0%,Estonia
2022,Education facilities and training,0.48,20.7%,Estonia
2022,Vocational training,0.43,18.3%,Estonia
2022,Advanced technical and managerial training,0.31,13.2%,Estonia
2022,Education policy and administrative management,0.29,12.5%,Estonia
2022,Basic life skills for adults,0.06,2.5%,Estonia
2022,Educational research,0.02,0.9%,Estonia
2021,Education policy and administrative management,1.37,37.5%,Estonia
2021,Higher education,1.06,29.0%,Estonia
2021,Education facilities and training,0.67,18.3%,Estonia
2021,Vocational training,0.44,12.1%,Estonia
2021,Educational research,0.06,1.6%,Estonia
2021,Basic life skills for adults,0.05,1.5%,Estonia
2020,Higher education,1.25,50.6%,Estonia
2020,Education facilities and training,0.37,14.9%,Estonia
2020,Vocational training,0.33,13.3%,Estonia
2020,Upper Secondary Education (modified and includes data from 11322),0.22,8.7%,Estonia
2020,Education policy and administrative management,0.15,5.9%,Estonia
2020,Primary education,0.12,4.7%,Estonia
2020,Teacher training,0.04,1.6%,Estonia
2020,Advanced technical and managerial training,0.01,0.4%,Estonia
2019,Higher education,1.79,56.3%,Estonia
2019,Education facilities and training,0.95,29.8%,Estonia
2019,Education policy and administrative management,0.3,9.5%,Estonia
2019,Advanced technical and managerial training,0.08,2.4%,Estonia
2019,Vocational training,0.04,1.4%,Estonia
2019,Upper Secondary Education (modified and includes data from 11322),0.01,0.2%,Estonia
2019,Educational research,0.01,0.2%,Estonia
2019,Primary education,0.0,0.1%,Estonia
