Year,Multi_short,ODA,Share,Full Name,Donor
2022,AIIB,0.0,0.0%,asian infrastructure investment bank,Greece
2023,AIIB,0.0,0.0%,asian infrastructure investment bank,Greece
2019,EC-DSB,12.06,64.0%,european commission development share of budget,Greece
2020,EC-DSB,12.79,72.0%,european commission development share of budget,Greece
2021,EC-DSB,12.7,74.0%,european commission development share of budget,Greece
2022,EC-DSB,16.55,84.0%,european commission development share of budget,Greece
2023,EC-DSB,16.91,90.0%,european commission development share of budget,Greece
2019,EC-EDF,4.46,24.0%,european commission european development fund,Greece
2020,EC-EDF,4.76,27.0%,european commission european development fund,Greece
2021,EC-EDF,2.51,15.0%,european commission european development fund,Greece
2022,EC-EDF,1.1,6.0%,european commission european development fund,Greece
2023,EC-EDF,0.23,1.0%,european commission european development fund,Greece
2019,FAO,0.0,0.0%,food and agricultural organisation,Greece
2020,FAO,0.0,0.0%,food and agricultural organisation,Greece
2021,FAO,0.0,0.0%,food and agricultural organisation,Greece
2022,FAO,0.0,0.0%,food and agricultural organisation,Greece
2019,IDA,0.21,1.0%,international development association,Greece
2020,IDA,0.23,1.0%,international development association,Greece
2023,UN,0.0,0.0%,united nations,Greece
2022,UNFPA,0.0,0.0%,united nations population fund,Greece
2020,UNRWA,0.02,0.0%,united nations relief and works agency for palestine refugees in the near east,Greece
2022,UNRWA,0.04,0.0%,united nations relief and works agency for palestine refugees in the near east,Greece
2023,UNRWA,0.02,0.0%,united nations relief and works agency for palestine refugees in the near east,Greece
2022,,0.03,0.0%,united nations children’s fund,Greece
