year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Higher education,108.43,43.6%,Italy
2023,Education facilities and training,45.53,18.3%,Italy
2023,Advanced technical and managerial training,26.12,10.5%,Italy
2023,Early childhood education,23.29,9.4%,Italy
2023,Vocational training,17.31,7.0%,Italy
2023,Primary education,12.19,4.9%,Italy
2023,Upper Secondary Education (modified and includes data from 11322),3.35,1.3%,Italy
2023,Basic life skills for adults,3.28,1.3%,Italy
2023,School feeding,2.72,1.1%,Italy
2023,Lower secondary education,2.13,0.9%,Italy
2023,Education policy and administrative management,1.76,0.7%,Italy
2023,Teacher training,1.42,0.6%,Italy
2023,Basic life skills for youth,0.63,0.3%,Italy
2023,Educational research,0.49,0.2%,Italy
2023,Primary education equivalent for adults,0.0,0.0%,Italy
2022,Education policy and administrative management,227.85,54.3%,Italy
2022,Higher education,88.96,21.2%,Italy
2022,Education facilities and training,37.6,9.0%,Italy
2022,Advanced technical and managerial training,26.24,6.3%,Italy
2022,Vocational training,17.18,4.1%,Italy
2022,Primary education,8.11,1.9%,Italy
2022,Early childhood education,3.09,0.7%,Italy
2022,Basic life skills for adults,2.94,0.7%,Italy
2022,School feeding,1.83,0.4%,Italy
2022,Teacher training,1.76,0.4%,Italy
2022,Basic life skills for youth,1.53,0.4%,Italy
2022,Upper Secondary Education (modified and includes data from 11322),1.32,0.3%,Italy
2022,Lower secondary education,0.6,0.1%,Italy
2022,Educational research,0.58,0.1%,Italy
2021,Higher education,50.17,23.8%,Italy
2021,Education facilities and training,46.53,22.1%,Italy
2021,Early childhood education,39.5,18.8%,Italy
2021,Advanced technical and managerial training,28.05,13.3%,Italy
2021,Vocational training,16.89,8.0%,Italy
2021,Primary education,14.0,6.7%,Italy
2021,Education policy and administrative management,4.61,2.2%,Italy
2021,Teacher training,2.87,1.4%,Italy
2021,School feeding,2.39,1.1%,Italy
2021,Basic life skills for youth,1.95,0.9%,Italy
2021,Upper Secondary Education (modified and includes data from 11322),1.65,0.8%,Italy
2021,Basic life skills for adults,1.09,0.5%,Italy
2021,Educational research,0.68,0.3%,Italy
2021,Primary education equivalent for adults,0.08,0.0%,Italy
2021,Lower secondary education,0.02,0.0%,Italy
2020,Higher education,48.13,34.3%,Italy
2020,Education facilities and training,34.04,24.2%,Italy
2020,Advanced technical and managerial training,21.52,15.3%,Italy
2020,Vocational training,9.63,6.9%,Italy
2020,Education policy and administrative management,6.89,4.9%,Italy
2020,Basic life skills for adults,6.02,4.3%,Italy
2020,Primary education,5.97,4.3%,Italy
2020,Early childhood education,2.68,1.9%,Italy
2020,Basic life skills for youth,2.04,1.4%,Italy
2020,School feeding,1.56,1.1%,Italy
2020,Teacher training,1.51,1.1%,Italy
2020,Upper Secondary Education (modified and includes data from 11322),0.5,0.4%,Italy
2020,Lower secondary education,0.01,0.0%,Italy
2020,Educational research,0.01,0.0%,Italy
2020,Primary education equivalent for adults,0.0,0.0%,Italy
2019,Education facilities and training,44.52,30.5%,Italy
2019,Higher education,40.6,27.8%,Italy
2019,Advanced technical and managerial training,24.26,16.6%,Italy
2019,Vocational training,10.91,7.5%,Italy
2019,Primary education,7.28,5.0%,Italy
2019,Education policy and administrative management,6.38,4.4%,Italy
2019,Basic life skills for adults,3.97,2.7%,Italy
2019,Upper Secondary Education (modified and includes data from 11322),2.63,1.8%,Italy
2019,Early childhood education,2.59,1.8%,Italy
2019,Teacher training,1.63,1.1%,Italy
2019,School feeding,0.58,0.4%,Italy
2019,Basic life skills for youth,0.4,0.3%,Italy
2019,Primary education equivalent for adults,0.15,0.1%,Italy
2019,Educational research,0.14,0.1%,Italy
2019,Lower secondary education,0.01,0.0%,Italy
