Year,Multi_short,ODA,Share,Full Name,Donor
2023,ADB,7.82,1.0%,asian development bank,Japan
2019,ADF,13.01,2.0%,african development fund,Japan
2020,ADF,3.91,1.0%,african development fund,Japan
2021,ADF,11.83,2.0%,african development fund,Japan
2022,ADF,1.52,0.0%,african development fund,Japan
2023,ADF,1.74,0.0%,african development fund,Japan
2022,AF,0.0,0.0%,adaptation fund,Japan
2023,AF,0.0,0.0%,adaptation fund,Japan
2020,AfDB,0.45,0.0%,african development bank,Japan
2021,AfDB,0.11,0.0%,african development bank,Japan
2022,AfDB,0.2,0.0%,african development bank,Japan
2023,AfDB,0.86,0.0%,african development bank,Japan
2019,FAO,0.05,0.0%,food and agricultural organisation,Japan
2020,FAO,0.05,0.0%,food and agricultural organisation,Japan
2021,FAO,0.05,0.0%,food and agricultural organisation,Japan
2022,FAO,0.01,0.0%,food and agricultural organisation,Japan
2023,FAO,0.0,0.0%,food and agricultural organisation,Japan
2019,IBRD,21.38,3.0%,international bank for reconstruction and development,Japan
2022,IBRD,6.62,1.0%,international bank for reconstruction and development,Japan
2023,IBRD,0.28,0.0%,international bank for reconstruction and development,Japan
2019,IDA,127.12,17.0%,international development association,Japan
2020,IDA,57.52,10.0%,international development association,Japan
2021,IDA,70.93,13.0%,international development association,Japan
2022,IDA,77.3,11.0%,international development association,Japan
2023,IDA,167.74,22.0%,international development association,Japan
2019,IDB-IIC-MIF,2.3,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Japan
2020,IDB-IIC-MIF,0.08,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Japan
2021,IDB-IIC-MIF,0.02,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Japan
2022,IDB-IIC-MIF,0.02,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Japan
2023,UN,0.1,0.0%,united nations,Japan
2019,UNDP,0.03,0.0%,united nations development programme,Japan
2020,UNDP,0.03,0.0%,united nations development programme,Japan
2021,UNDP,0.0,0.0%,united nations development programme,Japan
2022,UNDP,0.2,0.0%,united nations development programme,Japan
2023,UNDP,0.3,0.0%,united nations development programme,Japan
2019,UNFPA,0.69,0.0%,united nations population fund,Japan
2020,UNFPA,0.67,0.0%,united nations population fund,Japan
2021,UNFPA,0.62,0.0%,united nations population fund,Japan
2022,UNFPA,0.88,0.0%,united nations population fund,Japan
2023,UNFPA,0.97,0.0%,united nations population fund,Japan
2020,UNIDO,0.23,0.0%,united nations industrial development organisation,Japan
2021,UNIDO,0.2,0.0%,united nations industrial development organisation,Japan
2022,UNIDO,0.13,0.0%,united nations industrial development organisation,Japan
2023,UNIDO,0.07,0.0%,united nations industrial development organisation,Japan
2019,UNRWA,0.85,0.0%,united nations relief and works agency for palestine refugees in the near east,Japan
2020,UNRWA,0.85,0.0%,united nations relief and works agency for palestine refugees in the near east,Japan
2021,UNRWA,0.79,0.0%,united nations relief and works agency for palestine refugees in the near east,Japan
2022,UNRWA,0.95,0.0%,united nations relief and works agency for palestine refugees in the near east,Japan
2019,WFP,0.07,0.0%,world food programme,Japan
2019,,0.99,0.0%,united nations children’s fund,Japan
2020,,1.04,0.0%,united nations children’s fund,Japan
2021,,1.15,0.0%,united nations children’s fund,Japan
2022,,1.37,0.0%,united nations children’s fund,Japan
2023,,1.18,0.0%,united nations children’s fund,Japan
