year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Higher education,99.42,41.3%,Korea
2023,Vocational training,28.32,11.8%,Korea
2023,Upper Secondary Education (modified and includes data from 11322),19.69,8.2%,Korea
2023,Teacher training,18.12,7.5%,Korea
2023,Primary education,17.4,7.2%,Korea
2023,Education facilities and training,14.8,6.1%,Korea
2023,Advanced technical and managerial training,11.03,4.6%,Korea
2023,Basic life skills for adults,8.41,3.5%,Korea
2023,Education policy and administrative management,7.92,3.3%,Korea
2023,Early childhood education,5.52,2.3%,Korea
2023,Lower secondary education,3.82,1.6%,Korea
2023,School feeding,2.95,1.2%,Korea
2023,Educational research,2.13,0.9%,Korea
2023,Basic life skills for youth,1.04,0.4%,Korea
2023,Primary education equivalent for adults,0.2,0.1%,Korea
2022,Higher education,91.51,38.7%,Korea
2022,Vocational training,25.61,10.8%,Korea
2022,Advanced technical and managerial training,20.82,8.8%,Korea
2022,Upper Secondary Education (modified and includes data from 11322),20.67,8.7%,Korea
2022,Education policy and administrative management,20.18,8.5%,Korea
2022,Primary education,15.91,6.7%,Korea
2022,Education facilities and training,14.98,6.3%,Korea
2022,Teacher training,14.65,6.2%,Korea
2022,Educational research,3.29,1.4%,Korea
2022,Basic life skills for adults,2.68,1.1%,Korea
2022,Early childhood education,2.25,1.0%,Korea
2022,School feeding,1.86,0.8%,Korea
2022,Lower secondary education,1.04,0.4%,Korea
2022,Basic life skills for youth,0.52,0.2%,Korea
2022,Primary education equivalent for adults,0.45,0.2%,Korea
2021,Higher education,72.15,38.1%,Korea
2021,Upper Secondary Education (modified and includes data from 11322),32.87,17.3%,Korea
2021,Primary education,21.88,11.5%,Korea
2021,Vocational training,16.58,8.8%,Korea
2021,Advanced technical and managerial training,12.82,6.8%,Korea
2021,Education policy and administrative management,12.12,6.4%,Korea
2021,Teacher training,9.97,5.3%,Korea
2021,Education facilities and training,2.66,1.4%,Korea
2021,Educational research,2.29,1.2%,Korea
2021,Early childhood education,1.87,1.0%,Korea
2021,School feeding,1.68,0.9%,Korea
2021,Basic life skills for adults,1.13,0.6%,Korea
2021,Primary education equivalent for adults,0.95,0.5%,Korea
2021,Lower secondary education,0.4,0.2%,Korea
2021,Basic life skills for youth,0.12,0.1%,Korea
2020,Higher education,67.6,36.4%,Korea
2020,Primary education,24.76,13.3%,Korea
2020,Upper Secondary Education (modified and includes data from 11322),24.13,13.0%,Korea
2020,Advanced technical and managerial training,16.06,8.6%,Korea
2020,Vocational training,15.02,8.1%,Korea
2020,Teacher training,12.81,6.9%,Korea
2020,Education policy and administrative management,10.82,5.8%,Korea
2020,Educational research,4.83,2.6%,Korea
2020,School feeding,3.17,1.7%,Korea
2020,Early childhood education,2.82,1.5%,Korea
2020,Education facilities and training,2.57,1.4%,Korea
2020,Primary education equivalent for adults,0.61,0.3%,Korea
2020,Basic life skills for adults,0.38,0.2%,Korea
2020,Basic life skills for youth,0.11,0.1%,Korea
2019,Higher education,78.72,32.7%,Korea
2019,Vocational training,38.12,15.9%,Korea
2019,Primary education,34.66,14.4%,Korea
2019,Upper Secondary Education (modified and includes data from 11322),27.64,11.5%,Korea
2019,Advanced technical and managerial training,14.16,5.9%,Korea
2019,Teacher training,10.79,4.5%,Korea
2019,Lower secondary education,7.26,3.0%,Korea
2019,Educational research,6.96,2.9%,Korea
2019,Education facilities and training,6.42,2.7%,Korea
2019,Education policy and administrative management,5.9,2.5%,Korea
2019,Early childhood education,5.33,2.2%,Korea
2019,Basic life skills for adults,3.45,1.4%,Korea
2019,School feeding,0.61,0.3%,Korea
2019,Primary education equivalent for adults,0.35,0.1%,Korea
