year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Higher education,,,Latvia
2023,Education policy and administrative management,,,Latvia
2022,Advanced technical and managerial training,,,Latvia
2022,Teacher training,,,Latvia
2022,Higher education,,,Latvia
2022,Education policy and administrative management,,,Latvia
2021,Higher education,,,Latvia
2021,Education policy and administrative management,,,Latvia
2021,Advanced technical and managerial training,,,Latvia
2020,Education policy and administrative management,,,Latvia
2020,Basic life skills for youth,,,Latvia
2020,Advanced technical and managerial training,,,Latvia
2020,Higher education,,,Latvia
2019,Advanced technical and managerial training,,,Latvia
2019,Education policy and administrative management,,,Latvia
2019,Basic life skills for youth,,,Latvia
2019,Higher education,,,Latvia
