Year,Multi_short,ODA,Share,Full Name,Donor
2019,CEB,0.0,,council of europe development bank,Latvia
2020,CEB,0.0,,council of europe development bank,Latvia
2021,CEB,0.0,,council of europe development bank,Latvia
2022,CEB,0.0,,council of europe development bank,Latvia
2023,CEB,0.0,,council of europe development bank,Latvia
2019,EC-DSB,2.2,,european commission development share of budget,Latvia
2020,EC-DSB,2.35,,european commission development share of budget,Latvia
2021,EC-DSB,2.53,,european commission development share of budget,Latvia
2022,EC-DSB,3.08,,european commission development share of budget,Latvia
2023,EC-DSB,3.33,,european commission development share of budget,Latvia
2019,EC-EDF,0.37,,european commission european development fund,Latvia
2020,EC-EDF,0.38,,european commission european development fund,Latvia
2021,EC-EDF,0.21,,european commission european development fund,Latvia
2022,EC-EDF,0.09,,european commission european development fund,Latvia
2023,EC-EDF,0.02,,european commission european development fund,Latvia
2019,FAO,0.0,,food and agricultural organisation,Latvia
2020,FAO,0.0,,food and agricultural organisation,Latvia
2021,FAO,0.0,,food and agricultural organisation,Latvia
2022,FAO,0.0,,food and agricultural organisation,Latvia
2023,FAO,0.0,,food and agricultural organisation,Latvia
2020,IBRD,0.06,,international bank for reconstruction and development,Latvia
2021,IBRD,0.07,,international bank for reconstruction and development,Latvia
2022,IBRD,0.06,,international bank for reconstruction and development,Latvia
2023,IBRD,0.05,,international bank for reconstruction and development,Latvia
2019,IDA,0.1,,international development association,Latvia
2020,IDA,0.08,,international development association,Latvia
2021,IDA,0.04,,international development association,Latvia
2022,IDA,0.86,,international development association,Latvia
2023,IDA,1.11,,international development association,Latvia
2023,UN,0.0,,united nations,Latvia
2021,UNRWA,0.01,,united nations relief and works agency for palestine refugees in the near east,Latvia
2022,UNRWA,0.01,,united nations relief and works agency for palestine refugees in the near east,Latvia
2023,UNRWA,0.08,,united nations relief and works agency for palestine refugees in the near east,Latvia
2021,,0.0,,united nations children’s fund,Latvia
2022,,0.0,,united nations children’s fund,Latvia
2023,,0.0,,united nations children’s fund,Latvia
