Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADB,0.18,0.0%,asian development bank,New Zealand
2020,ADB,0.17,0.0%,asian development bank,New Zealand
2021,ADB,0.15,0.0%,asian development bank,New Zealand
2022,ADB,0.14,0.0%,asian development bank,New Zealand
2023,ADB,0.16,0.0%,asian development bank,New Zealand
2023,AF,0.0,0.0%,adaptation fund,New Zealand
2019,FAO,0.0,0.0%,food and agricultural organisation,New Zealand
2020,FAO,0.0,0.0%,food and agricultural organisation,New Zealand
2021,FAO,0.0,0.0%,food and agricultural organisation,New Zealand
2022,FAO,0.0,0.0%,food and agricultural organisation,New Zealand
2023,FAO,0.0,0.0%,food and agricultural organisation,New Zealand
2021,IBRD,0.33,1.0%,international bank for reconstruction and development,New Zealand
2022,IBRD,0.3,1.0%,international bank for reconstruction and development,New Zealand
2023,IBRD,0.24,0.0%,international bank for reconstruction and development,New Zealand
2019,IDA,1.06,1.0%,international development association,New Zealand
2020,IDA,0.98,1.0%,international development association,New Zealand
2021,IDA,0.99,2.0%,international development association,New Zealand
2022,IDA,1.03,3.0%,international development association,New Zealand
2023,IDA,2.17,4.0%,international development association,New Zealand
2023,UN,0.0,0.0%,united nations,New Zealand
2019,UNDP,0.0,0.0%,united nations development programme,New Zealand
2020,UNDP,0.0,0.0%,united nations development programme,New Zealand
2021,UNDP,0.0,0.0%,united nations development programme,New Zealand
2022,UNDP,0.02,0.0%,united nations development programme,New Zealand
2023,UNDP,0.02,0.0%,united nations development programme,New Zealand
2019,UNFPA,0.2,0.0%,united nations population fund,New Zealand
2020,UNFPA,0.21,0.0%,united nations population fund,New Zealand
2021,UNFPA,0.2,0.0%,united nations population fund,New Zealand
2022,UNFPA,0.21,1.0%,united nations population fund,New Zealand
2023,UNFPA,0.21,0.0%,united nations population fund,New Zealand
2019,UNRWA,1.66,2.0%,united nations relief and works agency for palestine refugees in the near east,New Zealand
2020,UNRWA,0.42,1.0%,united nations relief and works agency for palestine refugees in the near east,New Zealand
2021,UNRWA,0.41,1.0%,united nations relief and works agency for palestine refugees in the near east,New Zealand
2022,UNRWA,0.39,1.0%,united nations relief and works agency for palestine refugees in the near east,New Zealand
2023,UNRWA,0.33,1.0%,united nations relief and works agency for palestine refugees in the near east,New Zealand
2019,WFP,0.08,0.0%,world food programme,New Zealand
2019,,0.27,0.0%,united nations children’s fund,New Zealand
2020,,0.28,0.0%,united nations children’s fund,New Zealand
2021,,0.31,0.0%,united nations children’s fund,New Zealand
2022,,0.29,1.0%,united nations children’s fund,New Zealand
2023,,0.27,0.0%,united nations children’s fund,New Zealand
