"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","GCF","27.5","2.3%","green climate fund","United Kingdom"
"2019","GCF","NA","NA%","green climate fund","United Kingdom"
"2020","GCF","224.1","22.9%","green climate fund","United Kingdom"
"2021","GCF","157.4","21%","green climate fund","United Kingdom"
"2022","GCF","174.2","26.8%","green climate fund","United Kingdom"
"2018","EC - Development Share of Budget","141.1","12%","european commission development share of budget","United Kingdom"
"2019","EC - Development Share of Budget","129.2","13.6%","european commission development share of budget","United Kingdom"
"2020","EC - Development Share of Budget","126.3","12.9%","european commission development share of budget","United Kingdom"
"2021","EC - Development Share of Budget","74.8","10%","european commission development share of budget","United Kingdom"
"2022","EC - Development Share of Budget","52.2","8%","european commission development share of budget","United Kingdom"
"2018","African Development Fund","26.6","2.3%","african development fund","United Kingdom"
"2019","African Development Fund","34","3.6%","african development fund","United Kingdom"
"2020","African Development Fund","29.3","3%","african development fund","United Kingdom"
"2021","African Development Fund","27.4","3.7%","african development fund","United Kingdom"
"2022","African Development Fund","41.9","6.5%","african development fund","United Kingdom"
"2018","CGIAR Fund","NA","NA%","cgiar fund","United Kingdom"
"2019","CGIAR Fund","NA","NA%","cgiar fund","United Kingdom"
"2020","CGIAR Fund","NA","NA%","cgiar fund","United Kingdom"
"2021","CGIAR Fund","NA","NA%","cgiar fund","United Kingdom"
"2022","CGIAR Fund","24.8","3.8%","cgiar fund","United Kingdom"
"2018","IDA","396.1","33.7%","international development association","United Kingdom"
"2019","IDA","137.7","14.5%","international development association","United Kingdom"
"2020","IDA","137.6","14%","international development association","United Kingdom"
"2021","IDA","111","14.8%","international development association","United Kingdom"
"2022","IDA","21.7","3.4%","international development association","United Kingdom"
"2018","IFC","NA","NA%","international finance corporation","United Kingdom"
"2019","IFC","NA","NA%","international finance corporation","United Kingdom"
"2020","IFC","NA","NA%","international finance corporation","United Kingdom"
"2021","IFC","0","0%","international finance corporation","United Kingdom"
"2022","IFC","16.1","2.5%","international finance corporation","United Kingdom"
"2018","FAO","11.5","1%","food and agricultural organisation","United Kingdom"
"2019","FAO","13.5","1.4%","food and agricultural organisation","United Kingdom"
"2020","FAO","13.1","1.3%","food and agricultural organisation","United Kingdom"
"2021","FAO","11.9","1.6%","food and agricultural organisation","United Kingdom"
"2022","FAO","12.5","1.9%","food and agricultural organisation","United Kingdom"
"2018","Adaptation Fund","NA","NA%","adaptation fund","United Kingdom"
"2019","Adaptation Fund","NA","NA%","adaptation fund","United Kingdom"
"2020","Adaptation Fund","NA","NA%","adaptation fund","United Kingdom"
"2021","Adaptation Fund","NA","NA%","adaptation fund","United Kingdom"
"2022","Adaptation Fund","11.3","1.7%","adaptation fund","United Kingdom"
"2018","GEF Fund","2.5","0.2%","global environment facility trust fund","United Kingdom"
"2019","GEF Fund","0.6","0.1%","global environment facility trust fund","United Kingdom"
"2020","GEF Fund","1.2","0.1%","global environment facility trust fund","United Kingdom"
"2021","GEF Fund","6.7","0.9%","global environment facility trust fund","United Kingdom"
