"Year","Multi_short","ODA","Share","full name","country"
"2018","UN agency, fund or commission",117.816576,"22%","United Nations (UN) agency, fund or commission","Finland"
"2018","CERF",8.743731,"2%","Central Emergency Response Fund","Finland"
"2018","FAO",1.920942,"0%","Food and Agricultural Organisation","Finland"
"2018","IFAD",4.371866,"1%","International Fund for Agricultural Development","Finland"
"2018","UNDP",1.249104,"0%","United Nations Development Programme","Finland"
"2018","UN Women",12.491045,"2%","United Nations Entity for Gender Equality and the Empowerment of Women","Finland"
"2018","UNEP",2.155068,"0%","United Nations Environment Programme","Finland"
"2018","UNFCCC",0.09944,"0%","United Nations Framework Convention on Climate Change","Finland"
"2018","UNOCHA",4.371866,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Finland"
"2018","UNFPA",22.08606,"4%","United Nations Population Fund","Finland"
"2018","WFP",9.992836,"2%","World Food Programme","Finland"
"2018","WHO - assessed contributions",1.731305,"0%","World Health Organisation - assessed contributions","Finland"
"2018","WHO - core voluntary contributions",2.372122,"0%","World Health Organisation - core voluntary contributions account","Finland"
"2018","EUI",254.011857,"47%","European Union Institutions","Finland"
"2018","EC - Development Share of Budget",169.290847,"32%","European Commission - Development Share of Budget","Finland"
"2018","EC - EDF",84.72101,"16%","European Commission - European Development Fund","Finland"
"2018","WB",92.270243,"17%","World Bank Group (WB)","Finland"
"2018","IDA",81.941254,"15%","International Development Association","Finland"
"2018","MDRI",10.328989,"2%","International Development Association - Multilateral Debt Relief Initiative","Finland"
"2018","	
Regional Development Banks",49.779768,"9%","Regional Development Banks","Finland"
"2018","AfDB",2.315409,"0%","African Development Bank","Finland"
"2018","African Development Fund",32.01481,"6%","African Development Fund","Finland"
"2018","ADB",3.122761,"1%","Asian Development Bank","Finland"
"2018","AIIB",12.326788,"2%","Asian Infrastructure Investment Bank","Finland"
"2018","Other multilateral institutions",23.393844,"4%","Other multilateral institutions","Finland"
"2018","GEF-Least Developed Countries Fund",2.498209,"0%","Global Environment Facility - Least Developed Countries Fund","Finland"
"2018","GEF Fund",15.224086,"3%","Global Environment Facility Trust Fund","Finland"
"2019","UN agency, fund or commission",177.307337,"29%","United Nations (UN) agency, fund or commission","Finland"
"2019","CERF",9.845407,"2%","Central Emergency Response Fund","Finland"
"2019","FAO",2.373625,"0%","Food and Agricultural Organisation","Finland"
"2019","IFAD",63.995143,"11%","International Fund for Agricultural Development","Finland"
"2019","UNDP",1.230676,"0%","United Nations Development Programme","Finland"
"2019","UN Women",12.306758,"2%","United Nations Entity for Gender Equality and the Empowerment of Women","Finland"
"2019","UNEP",2.055331,"0%","United Nations Environment Programme","Finland"
"2019","UNFCCC",0.115388,"0%","United Nations Framework Convention on Climate Change","Finland"
"2019","UNOCHA",3.07669,"1%","United Nations Office of Co-ordination of Humanitarian Affairs","Finland"
"2019","UNFPA",24.613516,"4%","United Nations Population Fund","Finland"
"2019","WFP",9.845407,"2%","World Food Programme","Finland"
"2019","WHO - assessed contributions",1.791083,"0%","World Health Organisation - assessed contributions","Finland"
"2019","WHO - core voluntary contributions",2.102151,"0%","World Health Organisation - core voluntary contributions account","Finland"
"2019","EUI",259.9846,"43%","European Union Institutions","Finland"
"2019","EC - Development Share of Budget",172.818117,"29%","European Commission - Development Share of Budget","Finland"
"2019","EC - EDF",87.166483,"14%","European Commission - European Development Fund","Finland"
"2019","WB",75.318498,"13%","World Bank Group (WB)","Finland"
"2019","IDA",64.721242,"11%","International Development Association","Finland"
"2019","MDRI",10.597256,"2%","International Development Association - Multilateral Debt Relief Initiative","Finland"
"2019","	
Regional Development Banks",50.477162,"8%","Regional Development Banks","Finland"
"2019","African Development Fund",35.255548,"6%","African Development Fund","Finland"
"2019","ADB",3.07669,"1%","Asian Development Bank","Finland"
"2019","AIIB",12.144924,"2%","Asian Infrastructure Investment Bank","Finland"
"2019","Other multilateral institutions",38.774009,"6%","Other multilateral institutions","Finland"
"2019","GEF Fund",5.891245,"1%","Global Environment Facility Trust Fund","Finland"
"2019","GCF",27.259469,"5%","Green Climate Fund","Finland"
"2020","UN agency, fund or commission",181.946749,"27%","United Nations (UN) agency, fund or commission","Finland"
"2020","CERF",16.208689,"2%","Central Emergency Response Fund","Finland"
"2020","FAO",1.821239,"0%","Food and Agricultural Organisation","Finland"
"2020","IFAD",4.244518,"1%","International Fund for Agricultural Development","Finland"
"2020","UNDP",2.425439,"0%","United Nations Development Programme","Finland"
"2020","UN Women",23.041672,"3%","United Nations Entity for Gender Equality and the Empowerment of Women","Finland"
"2020","UNEP",6.972449,"1%","United Nations Environment Programme","Finland"
"2020","UNFCCC",0.106247,"0%","United Nations Framework Convention on Climate Change","Finland"
"2020","UNOCHA",3.031799,"0%","United Nations Office of Co-ordination of Humanitarian Affairs","Finland"
"2020","UNFPA",40.019746,"6%","United Nations Population Fund","Finland"
"2020","WFP",12.127196,"2%","World Food Programme","Finland"
"2020","WHO - assessed contributions",7.818765,"1%","World Health Organisation - assessed contributions","Finland"
"2020","WHO - core voluntary contributions",8.546907,"1%","World Health Organisation - core voluntary contributions account","Finland"
"2020","EUI",283.471588,"43%","European Union Institutions","Finland"
"2020","EC - Development Share of Budget",197.569379,"30%","European Commission - Development Share of Budget","Finland"
"2020","EC - EDF",85.902209,"13%","European Commission - European Development Fund","Finland"
"2020","WB",85.454648,"13%","World Bank Group (WB)","Finland"
"2020","IBRD",9.792711,"1%","International Bank for Reconstruction and Development","Finland"
"2020","IDA",58.186285,"9%","International Development Association","Finland"
"2020","MDRI",10.087764,"2%","International Development Association - Multilateral Debt Relief Initiative","Finland"
"2020","	
Regional Development Banks",46.295019,"7%","Regional Development Banks","Finland"
