year,Sector,Gender-related ODA to,Share,Donor
2020,Government & civil society,2470.54,29.0%,EU Institutions
2023,Emergency Response,2295.21,21.0%,EU Institutions
2023,Government & civil society,1685.35,15.0%,EU Institutions
2022,Emergency Response,1563.0,15.0%,EU Institutions
2021,Government & civil society,1528.71,19.0%,EU Institutions
2019,Government & civil society,1469.44,22.0%,EU Institutions
2022,Government & civil society,1417.1,14.0%,EU Institutions
2022,Health & populations,1378.13,13.0%,EU Institutions
2019,Other multisector,1294.87,19.0%,EU Institutions
2020,Other social services,1143.58,14.0%,EU Institutions
2022,Education,1136.51,11.0%,EU Institutions
2023,Education,1097.12,10.0%,EU Institutions
2020,Education,1065.51,13.0%,EU Institutions
2021,"Agriculture (incl. forestry, fishing, rural development)",1041.21,13.0%,EU Institutions
2023,"Agriculture (incl. forestry, fishing, rural development)",959.64,9.0%,EU Institutions
2021,Health & populations,954.63,12.0%,EU Institutions
2019,"Agriculture (incl. forestry, fishing, rural development)",945.49,14.0%,EU Institutions
2023,Health & populations,919.28,8.0%,EU Institutions
2022,"Agriculture (incl. forestry, fishing, rural development)",916.12,9.0%,EU Institutions
2020,"Agriculture (incl. forestry, fishing, rural development)",902.03,11.0%,EU Institutions
2021,Education,854.69,11.0%,EU Institutions
2023,Other social services,846.79,8.0%,EU Institutions
2021,Other multisector,829.41,10.0%,EU Institutions
2021,Emergency Response,800.87,10.0%,EU Institutions
2022,Other multisector,699.69,7.0%,EU Institutions
2022,Other social services,688.68,7.0%,EU Institutions
2020,Emergency Response,643.0,8.0%,EU Institutions
2023,"Conflict, peace & security",575.56,5.0%,EU Institutions
2022,Financial services & business support,565.05,5.0%,EU Institutions
2020,Health & populations,541.83,6.0%,EU Institutions
2019,Education,538.47,8.0%,EU Institutions
2021,Other social services,504.33,6.0%,EU Institutions
2022,"Conflict, peace & security",491.74,5.0%,EU Institutions
2023,Other multisector,455.93,4.0%,EU Institutions
2019,Health & populations,451.67,7.0%,EU Institutions
2023,Financial services & business support,410.6,4.0%,EU Institutions
2021,"Conflict, peace & security",380.13,5.0%,EU Institutions
2019,Other social services,377.75,6.0%,EU Institutions
2022,Energy,376.55,4.0%,EU Institutions
2019,"Conflict, peace & security",356.39,5.0%,EU Institutions
2020,"Conflict, peace & security",346.66,4.0%,EU Institutions
2023,Energy,344.96,3.0%,EU Institutions
2019,Emergency Response,343.01,5.0%,EU Institutions
2023,Environmental protection,305.0,3.0%,EU Institutions
2023,Infrastructure,294.86,3.0%,EU Institutions
2022,"Industry, construction & mining",289.46,3.0%,EU Institutions
2020,Other multisector,287.51,3.0%,EU Institutions
2022,Environmental protection,284.92,3.0%,EU Institutions
2023,"Industry, construction & mining",272.75,3.0%,EU Institutions
2022,Water and sanitation,247.7,2.0%,EU Institutions
2021,Financial services & business support,241.45,3.0%,EU Institutions
2023,Water and sanitation,180.25,2.0%,EU Institutions
2021,Environmental protection,177.42,2.0%,EU Institutions
2020,Energy,169.69,2.0%,EU Institutions
2020,Environmental protection,168.71,2.0%,EU Institutions
2019,Water and sanitation,166.33,2.0%,EU Institutions
2021,Water and sanitation,158.48,2.0%,EU Institutions
2019,Financial services & business support,156.29,2.0%,EU Institutions
2020,Water and sanitation,155.54,2.0%,EU Institutions
2019,Energy,147.46,2.0%,EU Institutions
2022,Infrastructure,145.16,1.0%,EU Institutions
2020,Financial services & business support,141.23,2.0%,EU Institutions
