year,Sector,Gender-related ODA to,Share,Donor
2021,Education,90.65,25.0%,Finland
2023,Emergency Response,73.48,22.0%,Finland
2023,Government & civil society,71.77,21.0%,Finland
2021,Emergency Response,63.7,17.0%,Finland
2020,Education,59.63,21.0%,Finland
2022,Government & civil society,58.56,18.0%,Finland
2020,Government & civil society,58.13,20.0%,Finland
2021,Financial services & business support,57.13,16.0%,Finland
2021,Government & civil society,52.93,14.0%,Finland
2019,Government & civil society,50.47,21.0%,Finland
2019,Education,49.91,21.0%,Finland
2022,Energy,49.55,15.0%,Finland
2022,Education,48.5,15.0%,Finland
2020,Financial services & business support,39.99,14.0%,Finland
2023,Education,37.64,11.0%,Finland
2020,Health & populations,34.72,12.0%,Finland
2023,Health & populations,31.96,9.0%,Finland
2022,Emergency Response,28.21,9.0%,Finland
2021,Health & populations,24.94,7.0%,Finland
2023,Other multisector,24.75,7.0%,Finland
2019,"Agriculture (incl. forestry, fishing, rural development)",24.65,10.0%,Finland
2022,Health & populations,24.27,7.0%,Finland
2019,Health & populations,21.4,9.0%,Finland
2022,Other multisector,19.02,6.0%,Finland
2019,"Industry, construction & mining",18.98,8.0%,Finland
2022,"Agriculture (incl. forestry, fishing, rural development)",18.04,6.0%,Finland
2023,Other social services,17.92,5.0%,Finland
2019,Water and sanitation,17.33,7.0%,Finland
2023,"Agriculture (incl. forestry, fishing, rural development)",17.2,5.0%,Finland
2020,Other social services,16.24,6.0%,Finland
2020,"Agriculture (incl. forestry, fishing, rural development)",15.3,5.0%,Finland
2022,Unspecified,14.9,5.0%,Finland
2021,Other social services,14.88,4.0%,Finland
2023,"Conflict, peace & security",14.43,4.0%,Finland
2020,Water and sanitation,14.35,5.0%,Finland
2023,Unspecified,14.19,4.0%,Finland
2020,"Conflict, peace & security",13.39,5.0%,Finland
2022,Other social services,13.25,4.0%,Finland
2022,Financial services & business support,12.83,4.0%,Finland
2021,"Conflict, peace & security",12.69,3.0%,Finland
2019,Other social services,12.65,5.0%,Finland
2022,"Conflict, peace & security",12.35,4.0%,Finland
2021,"Agriculture (incl. forestry, fishing, rural development)",12.29,3.0%,Finland
2019,"Conflict, peace & security",12.11,5.0%,Finland
2019,Financial services & business support,10.65,4.0%,Finland
2022,Water and sanitation,9.99,3.0%,Finland
2020,Other multisector,9.62,3.0%,Finland
2023,Financial services & business support,9.58,3.0%,Finland
2021,Water and sanitation,8.73,2.0%,Finland
2020,Emergency Response,7.89,3.0%,Finland
2023,Water and sanitation,7.89,2.0%,Finland
2019,Other multisector,7.35,3.0%,Finland
2019,Emergency Response,6.41,3.0%,Finland
2021,"Industry, construction & mining",5.96,2.0%,Finland
2023,Reconstruction Relief & Rehabilitation,5.77,2.0%,Finland
2023,Energy,4.8,1.0%,Finland
2020,"Industry, construction & mining",4.59,2.0%,Finland
2021,Other multisector,4.5,1.0%,Finland
2020,Trade policy,3.56,1.0%,Finland
2022,Infrastructure,3.48,1.0%,Finland
2019,Trade policy,3.28,1.0%,Finland
2022,Environmental protection,3.09,1.0%,Finland
2023,Trade policy,3.06,1.0%,Finland
2021,Reconstruction Relief & Rehabilitation,2.93,1.0%,Finland
2021,Trade policy,2.92,1.0%,Finland
2021,Unspecified,2.87,1.0%,Finland
2022,Trade policy,2.83,1.0%,Finland
2019,Unspecified,2.67,1.0%,Finland
2020,Environmental protection,2.55,1.0%,Finland
2020,Unspecified,2.53,1.0%,Finland
2020,Disaster Prevention & Preparedness,2.4,1.0%,Finland
2021,Disaster Prevention & Preparedness,2.39,1.0%,Finland
2022,"Industry, construction & mining",2.3,1.0%,Finland
2023,Environmental protection,2.21,1.0%,Finland
2021,Infrastructure,2.2,1.0%,Finland
2022,Disaster Prevention & Preparedness,2.07,1.0%,Finland
2021,Environmental protection,1.81,0.0%,Finland
2023,Infrastructure,1.72,1.0%,Finland
2023,"Industry, construction & mining",1.51,0.0%,Finland
2021,Energy,1.5,0.0%,Finland
2023,Disaster Prevention & Preparedness,1.34,0.0%,Finland
2019,Disaster Prevention & Preparedness,1.24,1.0%,Finland
2020,Energy,1.22,0.0%,Finland
2019,Environmental protection,0.81,0.0%,Finland
2019,Energy,0.49,0.0%,Finland
2022,Reconstruction Relief & Rehabilitation,0.47,0.0%,Finland
2020,Reconstruction Relief & Rehabilitation,0.46,0.0%,Finland
2019,Infrastructure,0.4,0.0%,Finland
2020,Infrastructure,0.24,0.0%,Finland
2020,Food aid and commodity assistance,0.08,0.0%,Finland
2023,Tourism,0.06,0.0%,Finland
2019,Reconstruction Relief & Rehabilitation,0.05,0.0%,Finland
2023,,0.05,0.0%,Finland
2022,Food aid and commodity assistance,0.05,0.0%,Finland
2021,Food aid and commodity assistance,0.04,0.0%,Finland
2023,Donor administration costs,0.04,0.0%,Finland
2023,Food aid and commodity assistance,0.04,0.0%,Finland
2022,Tourism,0.02,0.0%,Finland
2019,Food aid and commodity assistance,0.01,0.0%,Finland
2019,Tourism,0.0,0.0%,Finland
2020,Tourism,0.0,0.0%,Finland
2021,Tourism,0.0,0.0%,Finland
