year,Sector,Gender-related ODA to,Share,Donor
2023,Education,40.75,30.0%,Luxembourg
2021,Education,39.2,31.0%,Luxembourg
2019,Education,38.46,29.0%,Luxembourg
2022,Education,30.71,23.0%,Luxembourg
2022,"Agriculture (incl. forestry, fishing, rural development)",30.17,22.0%,Luxembourg
2019,"Agriculture (incl. forestry, fishing, rural development)",30.14,22.0%,Luxembourg
2021,"Agriculture (incl. forestry, fishing, rural development)",26.67,21.0%,Luxembourg
2019,Health & populations,25.98,19.0%,Luxembourg
2023,"Agriculture (incl. forestry, fishing, rural development)",25.36,19.0%,Luxembourg
2021,Health & populations,22.75,18.0%,Luxembourg
2019,Water and sanitation,22.36,17.0%,Luxembourg
2022,Health & populations,22.35,16.0%,Luxembourg
2023,Health & populations,20.85,16.0%,Luxembourg
2023,Other social services,18.2,14.0%,Luxembourg
2022,Water and sanitation,16.58,12.0%,Luxembourg
2021,Water and sanitation,15.21,12.0%,Luxembourg
2022,Food aid and commodity assistance,15.18,11.0%,Luxembourg
2019,Government & civil society,13.12,10.0%,Luxembourg
2023,Water and sanitation,11.54,9.0%,Luxembourg
2023,Government & civil society,11.18,8.0%,Luxembourg
2021,Government & civil society,9.44,8.0%,Luxembourg
2021,Other social services,9.43,8.0%,Luxembourg
2022,Other social services,9.28,7.0%,Luxembourg
2022,Government & civil society,7.3,5.0%,Luxembourg
2020,Government & civil society,6.41,31.0%,Luxembourg
2020,"Agriculture (incl. forestry, fishing, rural development)",4.73,23.0%,Luxembourg
2020,Other social services,2.84,14.0%,Luxembourg
2022,Financial services & business support,2.48,2.0%,Luxembourg
2020,Education,2.31,11.0%,Luxembourg
2020,Health & populations,2.17,10.0%,Luxembourg
2019,Other social services,2.1,2.0%,Luxembourg
2019,Energy,2.01,1.0%,Luxembourg
2023,Energy,1.94,1.0%,Luxembourg
2023,Financial services & business support,1.88,1.0%,Luxembourg
2020,Water and sanitation,1.34,6.0%,Luxembourg
2023,Food aid and commodity assistance,1.32,1.0%,Luxembourg
2021,Energy,0.93,1.0%,Luxembourg
2023,Other multisector,0.83,1.0%,Luxembourg
2022,Other multisector,0.79,1.0%,Luxembourg
2021,Other multisector,0.73,1.0%,Luxembourg
2021,Financial services & business support,0.63,0.0%,Luxembourg
2022,Energy,0.41,0.0%,Luxembourg
2020,Other multisector,0.4,2.0%,Luxembourg
2020,Financial services & business support,0.33,2.0%,Luxembourg
2022,Unspecified,0.29,0.0%,Luxembourg
2019,Other multisector,0.28,0.0%,Luxembourg
2019,Disaster Prevention & Preparedness,0.19,0.0%,Luxembourg
2020,Disaster Prevention & Preparedness,0.16,1.0%,Luxembourg
2021,Disaster Prevention & Preparedness,0.16,0.0%,Luxembourg
2022,Disaster Prevention & Preparedness,0.15,0.0%,Luxembourg
2023,Disaster Prevention & Preparedness,0.13,0.0%,Luxembourg
2019,Tourism,0.11,0.0%,Luxembourg
2022,"Conflict, peace & security",0.1,0.0%,Luxembourg
2019,Reconstruction Relief & Rehabilitation,0.1,0.0%,Luxembourg
2022,Reconstruction Relief & Rehabilitation,0.07,0.0%,Luxembourg
2023,"Conflict, peace & security",0.07,0.0%,Luxembourg
2021,Unspecified,0.07,0.0%,Luxembourg
2021,Reconstruction Relief & Rehabilitation,0.07,0.0%,Luxembourg
2023,Reconstruction Relief & Rehabilitation,0.06,0.0%,Luxembourg
2020,Reconstruction Relief & Rehabilitation,0.06,0.0%,Luxembourg
2023,Infrastructure,0.05,0.0%,Luxembourg
2023,,0.04,0.0%,Luxembourg
2019,Financial services & business support,0.04,0.0%,Luxembourg
2021,Emergency Response,0.04,0.0%,Luxembourg
2020,Unspecified,0.04,0.0%,Luxembourg
2020,Emergency Response,0.04,0.0%,Luxembourg
2022,Infrastructure,0.03,0.0%,Luxembourg
2023,"Industry, construction & mining",0.01,0.0%,Luxembourg
2019,"Industry, construction & mining",0.01,0.0%,Luxembourg
2023,Environmental protection,0.0,0.0%,Luxembourg
2022,Environmental protection,0.0,0.0%,Luxembourg
2021,"Industry, construction & mining",0.0,0.0%,Luxembourg
