year,Sector,Gender-related ODA to,Share,Donor
2023,Government & civil society,678.08,25.0%,Netherlands
2022,Government & civil society,634.08,23.0%,Netherlands
2021,Government & civil society,603.02,25.0%,Netherlands
2019,Government & civil society,590.31,28.0%,Netherlands
2020,Government & civil society,560.44,26.0%,Netherlands
2022,Health & populations,471.35,17.0%,Netherlands
2021,Health & populations,460.59,19.0%,Netherlands
2023,Health & populations,420.56,15.0%,Netherlands
2023,Emergency Response,418.23,15.0%,Netherlands
2020,Health & populations,350.28,16.0%,Netherlands
2022,Emergency Response,344.82,13.0%,Netherlands
2019,Health & populations,328.77,16.0%,Netherlands
2023,"Agriculture (incl. forestry, fishing, rural development)",273.0,10.0%,Netherlands
2021,"Agriculture (incl. forestry, fishing, rural development)",258.25,11.0%,Netherlands
2020,"Agriculture (incl. forestry, fishing, rural development)",239.51,11.0%,Netherlands
2019,"Agriculture (incl. forestry, fishing, rural development)",218.07,10.0%,Netherlands
2021,Emergency Response,213.03,9.0%,Netherlands
2022,"Agriculture (incl. forestry, fishing, rural development)",207.58,8.0%,Netherlands
2022,Financial services & business support,182.94,7.0%,Netherlands
2021,Water and sanitation,179.2,7.0%,Netherlands
2020,Water and sanitation,178.05,8.0%,Netherlands
2023,Water and sanitation,175.29,6.0%,Netherlands
2019,Financial services & business support,168.32,8.0%,Netherlands
2022,Water and sanitation,165.15,6.0%,Netherlands
2021,Financial services & business support,159.91,7.0%,Netherlands
2019,Water and sanitation,157.59,7.0%,Netherlands
2019,Emergency Response,136.38,6.0%,Netherlands
2023,Other multisector,132.49,5.0%,Netherlands
2020,Emergency Response,130.45,6.0%,Netherlands
2022,Other social services,127.33,5.0%,Netherlands
2020,Financial services & business support,127.3,6.0%,Netherlands
2022,Environmental protection,123.04,5.0%,Netherlands
2023,Financial services & business support,106.48,4.0%,Netherlands
2021,Other social services,106.25,4.0%,Netherlands
2023,"Conflict, peace & security",103.35,4.0%,Netherlands
2021,"Conflict, peace & security",98.57,4.0%,Netherlands
2023,Other social services,98.0,4.0%,Netherlands
2021,Environmental protection,92.92,4.0%,Netherlands
2022,"Conflict, peace & security",89.17,3.0%,Netherlands
2020,Trade policy,87.85,4.0%,Netherlands
2019,"Conflict, peace & security",86.44,4.0%,Netherlands
2020,Other multisector,84.12,4.0%,Netherlands
2023,Environmental protection,82.54,3.0%,Netherlands
2019,Other social services,82.18,4.0%,Netherlands
2023,Trade policy,80.54,3.0%,Netherlands
2021,Other multisector,76.52,3.0%,Netherlands
2022,Other multisector,73.41,3.0%,Netherlands
2020,"Conflict, peace & security",70.3,3.0%,Netherlands
2023,Energy,69.26,3.0%,Netherlands
2020,Education,67.82,3.0%,Netherlands
2020,"Industry, construction & mining",66.21,3.0%,Netherlands
2019,Other multisector,66.0,3.0%,Netherlands
2019,Trade policy,64.57,3.0%,Netherlands
2020,Other social services,63.87,3.0%,Netherlands
2021,Trade policy,62.3,3.0%,Netherlands
2019,Environmental protection,62.03,3.0%,Netherlands
2022,Unspecified,55.39,2.0%,Netherlands
2021,"Industry, construction & mining",53.79,2.0%,Netherlands
2022,Trade policy,53.63,2.0%,Netherlands
2022,Education,50.95,2.0%,Netherlands
2022,Food aid and commodity assistance,48.71,2.0%,Netherlands
2020,Environmental protection,42.93,2.0%,Netherlands
2022,Energy,39.86,1.0%,Netherlands
2019,Energy,38.19,2.0%,Netherlands
2023,Food aid and commodity assistance,37.13,1.0%,Netherlands
2019,"Industry, construction & mining",35.31,2.0%,Netherlands
2021,Energy,35.16,1.0%,Netherlands
2020,Energy,32.17,1.0%,Netherlands
2019,Education,31.23,1.0%,Netherlands
2023,Unspecified,30.96,1.0%,Netherlands
2022,"Industry, construction & mining",27.65,1.0%,Netherlands
2020,Food aid and commodity assistance,27.51,1.0%,Netherlands
2019,Reconstruction Relief & Rehabilitation,25.94,1.0%,Netherlands
2020,Reconstruction Relief & Rehabilitation,25.23,1.0%,Netherlands
2023,"Industry, construction & mining",24.72,1.0%,Netherlands
2021,Education,23.01,1.0%,Netherlands
2023,Education,22.17,1.0%,Netherlands
2021,Food aid and commodity assistance,15.03,1.0%,Netherlands
2019,Food aid and commodity assistance,12.13,1.0%,Netherlands
2021,Unspecified,10.76,0.0%,Netherlands
2022,Reconstruction Relief & Rehabilitation,10.53,0.0%,Netherlands
2020,Unspecified,8.79,0.0%,Netherlands
2023,Reconstruction Relief & Rehabilitation,5.14,0.0%,Netherlands
2019,Unspecified,1.93,0.0%,Netherlands
2023,Disaster Prevention & Preparedness,0.84,0.0%,Netherlands
2022,Disaster Prevention & Preparedness,0.0,0.0%,Netherlands
