year,Sector,Gender-related ODA to,Share,Donor
2023,Government & civil society,173.32,27.0%,Spain
2022,Government & civil society,158.98,29.0%,Spain
2021,Government & civil society,136.61,30.0%,Spain
2019,Government & civil society,116.0,32.0%,Spain
2020,Government & civil society,112.87,27.0%,Spain
2023,Emergency Response,110.42,17.0%,Spain
2022,Emergency Response,104.23,19.0%,Spain
2020,Health & populations,69.66,17.0%,Spain
2022,"Agriculture (incl. forestry, fishing, rural development)",67.37,12.0%,Spain
2021,"Agriculture (incl. forestry, fishing, rural development)",63.13,14.0%,Spain
2023,"Agriculture (incl. forestry, fishing, rural development)",58.64,9.0%,Spain
2021,Health & populations,58.06,13.0%,Spain
2020,"Agriculture (incl. forestry, fishing, rural development)",55.37,13.0%,Spain
2022,Health & populations,48.83,9.0%,Spain
2023,Financial services & business support,48.57,8.0%,Spain
2019,"Agriculture (incl. forestry, fishing, rural development)",47.51,13.0%,Spain
2023,Health & populations,46.59,7.0%,Spain
2023,Education,45.48,7.0%,Spain
2021,Emergency Response,43.61,10.0%,Spain
2022,Education,39.19,7.0%,Spain
2023,Unspecified,38.36,6.0%,Spain
2019,Health & populations,37.29,10.0%,Spain
2019,Education,35.88,10.0%,Spain
2021,Education,35.78,8.0%,Spain
2023,Water and sanitation,33.36,5.0%,Spain
2020,Emergency Response,33.2,8.0%,Spain
2021,Unspecified,31.84,7.0%,Spain
2020,Education,31.4,8.0%,Spain
2020,Unspecified,30.82,7.0%,Spain
2019,Unspecified,27.77,8.0%,Spain
2022,Unspecified,22.77,4.0%,Spain
2019,Emergency Response,22.55,6.0%,Spain
2020,Financial services & business support,22.51,5.0%,Spain
2020,Water and sanitation,22.1,5.0%,Spain
2022,Water and sanitation,21.3,4.0%,Spain
2022,Financial services & business support,20.58,4.0%,Spain
2021,Water and sanitation,19.53,4.0%,Spain
2023,Other multisector,17.31,3.0%,Spain
2022,"Conflict, peace & security",16.86,3.0%,Spain
2023,Other social services,15.79,2.0%,Spain
2019,Water and sanitation,14.1,4.0%,Spain
2023,"Conflict, peace & security",13.7,2.0%,Spain
2023,Environmental protection,13.55,2.0%,Spain
2019,Financial services & business support,12.7,4.0%,Spain
2022,Other social services,12.66,2.0%,Spain
2019,Other social services,12.04,3.0%,Spain
2022,Other multisector,12.01,2.0%,Spain
2020,"Conflict, peace & security",10.85,3.0%,Spain
2021,Financial services & business support,10.77,2.0%,Spain
2019,"Conflict, peace & security",10.44,3.0%,Spain
2021,"Conflict, peace & security",9.72,2.0%,Spain
2022,Environmental protection,9.14,2.0%,Spain
2021,Other multisector,8.47,2.0%,Spain
2021,Other social services,7.65,2.0%,Spain
2023,Food aid and commodity assistance,7.46,1.0%,Spain
2019,Other multisector,6.8,2.0%,Spain
2020,Other social services,6.57,2.0%,Spain
2021,Infrastructure,5.67,1.0%,Spain
2021,Environmental protection,5.31,1.0%,Spain
2020,Food aid and commodity assistance,5.07,1.0%,Spain
2020,Other multisector,4.81,1.0%,Spain
2022,Reconstruction Relief & Rehabilitation,4.51,1.0%,Spain
2023,Reconstruction Relief & Rehabilitation,4.49,1.0%,Spain
2023,Infrastructure,4.31,1.0%,Spain
2019,Infrastructure,4.11,1.0%,Spain
2020,Infrastructure,3.84,1.0%,Spain
2019,Food aid and commodity assistance,3.65,1.0%,Spain
2021,Food aid and commodity assistance,3.63,1.0%,Spain
2021,"Industry, construction & mining",3.34,1.0%,Spain
2022,"Industry, construction & mining",3.2,1.0%,Spain
2021,Reconstruction Relief & Rehabilitation,3.08,1.0%,Spain
2023,Energy,2.89,0.0%,Spain
2023,Disaster Prevention & Preparedness,2.58,0.0%,Spain
2019,Environmental protection,2.36,1.0%,Spain
2020,Environmental protection,2.31,1.0%,Spain
2023,"Industry, construction & mining",2.29,0.0%,Spain
2020,"Industry, construction & mining",2.07,0.0%,Spain
2023,Refugees in donor countries,2.01,0.0%,Spain
2019,"Industry, construction & mining",1.76,0.0%,Spain
2022,Refugees in donor countries,1.69,0.0%,Spain
2022,Tourism,1.64,0.0%,Spain
2023,Tourism,1.62,0.0%,Spain
2020,Energy,1.28,0.0%,Spain
2020,Reconstruction Relief & Rehabilitation,1.28,0.0%,Spain
2022,Disaster Prevention & Preparedness,1.09,0.0%,Spain
2021,Tourism,0.95,0.0%,Spain
2021,Trade policy,0.92,0.0%,Spain
2022,Energy,0.9,0.0%,Spain
2022,,0.86,0.0%,Spain
2021,Energy,0.81,0.0%,Spain
2022,Food aid and commodity assistance,0.8,0.0%,Spain
2019,Energy,0.79,0.0%,Spain
2021,Disaster Prevention & Preparedness,0.71,0.0%,Spain
2019,Reconstruction Relief & Rehabilitation,0.59,0.0%,Spain
2019,Tourism,0.53,0.0%,Spain
2019,Trade policy,0.49,0.0%,Spain
2023,,0.48,0.0%,Spain
2019,Disaster Prevention & Preparedness,0.47,0.0%,Spain
2020,Trade policy,0.45,0.0%,Spain
2021,Refugees in donor countries,0.44,0.0%,Spain
2020,Refugees in donor countries,0.43,0.0%,Spain
2022,Infrastructure,0.42,0.0%,Spain
2020,Tourism,0.42,0.0%,Spain
2021,,0.33,0.0%,Spain
2020,Disaster Prevention & Preparedness,0.3,0.0%,Spain
2022,Trade policy,0.26,0.0%,Spain
2023,Trade policy,0.17,0.0%,Spain
2020,,0.13,0.0%,Spain
2019,Refugees in donor countries,0.12,0.0%,Spain
2019,,0.12,0.0%,Spain
2022,Debt relief,0.04,0.0%,Spain
2022,General budget support,0.01,0.0%,Spain
2021,General budget support,0.01,0.0%,Spain
2019,General budget support,0.0,0.0%,Spain
