"Year","Region","Bilateral ODA","Share","Donor"
"2018","Developing countries, unspecified",7467.451157,"31%","Germany"
"2019","Developing countries, unspecified",7471.540381,"32%","Germany"
"2020","Developing countries, unspecified",8678.65943,"31%","Germany"
"2021","Developing countries, unspecified",10161.113258,"37%","Germany"
"2022","Developing countries, unspecified",14996.395017,"43%","Germany"
"2018","Asia",4916.39612,"20%","Germany"
"2019","Asia",3936.381916,"17%","Germany"
"2020","Asia",5128.141519,"19%","Germany"
"2021","Asia",4727.347245,"17%","Germany"
"2022","Asia",4485.302304,"13%","Germany"
"2018","MENA region",4093.898636,"17%","Germany"
"2019","MENA region",4267.029429,"18%","Germany"
"2020","MENA region",4516.467032,"16%","Germany"
"2021","MENA region",4071.993115,"15%","Germany"
"2022","MENA region",4144.310503,"12%","Germany"
"2018","sub-Saharan Africa",3323.017271,"14%","Germany"
"2019","sub-Saharan Africa",3693.889586,"16%","Germany"
"2020","sub-Saharan Africa",4591.348006,"17%","Germany"
"2021","sub-Saharan Africa",4376.362121,"16%","Germany"
"2022","sub-Saharan Africa",3983.985082,"11%","Germany"
"2018","Europe",1381.806209,"6%","Germany"
"2019","Europe",1241.670099,"5%","Germany"
"2020","Europe",1454.692711,"5%","Germany"
"2021","Europe",1370.192012,"5%","Germany"
"2022","Europe",3417.705086,"10%","Germany"
"2018","Latin America and the Caribbeans",1965.436934,"8%","Germany"
"2019","Latin America and the Caribbeans",1785.481808,"8%","Germany"
"2020","Latin America and the Caribbeans",2092.47211,"8%","Germany"
"2021","Latin America and the Caribbeans",1425.93725,"5%","Germany"
"2022","Latin America and the Caribbeans",2544.645716,"7%","Germany"
"2018","Africa, regional",657.609284,"3%","Germany"
"2019","Africa, regional",961.896554,"4%","Germany"
"2020","Africa, regional",996.062943,"4%","Germany"
"2021","Africa, regional",1113.984623,"4%","Germany"
"2022","Africa, regional",948.405609,"3%","Germany"
"2018","Asia, regional",252.279909,"1%","Germany"
"2019","Asia, regional",219.244634,"1%","Germany"
"2020","Asia, regional",204.495346,"1%","Germany"
"2021","Asia, regional",405.940737,"1%","Germany"
"2022","Asia, regional",415.928402,"1%","Germany"
"2018","Oceania",17.987012,"0%","Germany"
"2019","Oceania",12.839076,"0%","Germany"
"2020","Oceania",13.442919,"0%","Germany"
"2021","Oceania",9.747454,"0%","Germany"
"2022","Oceania",13.998714,"0%","Germany"
