"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","EC - Development Share of Budget","26.6","550.3%","european commission development share of budget","Austria"
"2019","EC - Development Share of Budget","24.5","510.3%","european commission development share of budget","Austria"
"2020","EC - Development Share of Budget","24.5","544.1%","european commission development share of budget","Austria"
"2021","EC - Development Share of Budget","24.6","532.9%","european commission development share of budget","Austria"
"2022","EC - Development Share of Budget","28","362.9%","european commission development share of budget","Austria"
"2018","IDA","23.2","479.3%","international development association","Austria"
"2019","IDA","25.4","528.6%","international development association","Austria"
"2020","IDA","23","510.7%","international development association","Austria"
"2021","IDA","23","499.3%","international development association","Austria"
"2022","IDA","19.4","251.2%","international development association","Austria"
"2018","GCF","0.3","5.9%","green climate fund","Austria"
"2019","GCF","5.3","110.4%","green climate fund","Austria"
"2020","GCF","10.9","241.6%","green climate fund","Austria"
"2021","GCF","12","261.2%","green climate fund","Austria"
"2022","GCF","13.1","169.1%","green climate fund","Austria"
"2018","African Development Fund","5.8","120.4%","african development fund","Austria"
"2019","African Development Fund","6.8","140.8%","african development fund","Austria"
"2020","African Development Fund","6.8","150.9%","african development fund","Austria"
"2021","African Development Fund","5.1","111.5%","african development fund","Austria"
"2022","African Development Fund","4.7","60.9%","african development fund","Austria"
"2018","IFC","NA","NA%","international finance corporation","Austria"
"2019","IFC","NA","NA%","international finance corporation","Austria"
"2020","IFC","NA","NA%","international finance corporation","Austria"
"2021","IFC","0","0%","international finance corporation","Austria"
"2022","IFC","3.6","46.1%","international finance corporation","Austria"
"2018","GEF Fund","NA","NA%","global environment facility trust fund","Austria"
"2019","GEF Fund","1","21.3%","global environment facility trust fund","Austria"
"2020","GEF Fund","0.5","11.7%","global environment facility trust fund","Austria"
"2021","GEF Fund","1.2","25.2%","global environment facility trust fund","Austria"
"2022","GEF Fund","1.7","22.5%","global environment facility trust fund","Austria"
"2018","FAO","2","42.3%","food and agricultural organisation","Austria"
"2019","FAO","2","42.4%","food and agricultural organisation","Austria"
"2020","FAO","1.9","42.8%","food and agricultural organisation","Austria"
"2021","FAO","1.8","38.7%","food and agricultural organisation","Austria"
"2022","FAO","1.7","22.1%","food and agricultural organisation","Austria"
"2018","AfDB","0.1","1.9%","african development bank","Austria"
"2019","AfDB","NA","NA%","african development bank","Austria"
"2020","AfDB","0.3","7.7%","african development bank","Austria"
"2021","AfDB","0.3","7.5%","african development bank","Austria"
"2022","AfDB","0.4","5.4%","african development bank","Austria"
"2018","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","Austria"
"2019","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","Austria"
"2020","WHO - assessed contributions","0","0.1%","world health organisation assessed contributions","Austria"
"2021","WHO - assessed contributions","0","0.3%","world health organisation assessed contributions","Austria"
"2022","WHO - assessed contributions","0","0.2%","world health organisation assessed contributions","Austria"
"2018","UN","NA","NA%","united nations","Austria"
"2019","UN","NA","NA%","united nations","Austria"
"2020","UN","NA","NA%","united nations","Austria"
"2021","UN","NA","NA%","united nations","Austria"
"2022","UN","0","0.2%","united nations","Austria"
"2018","IDB, IIC and MIF","0.1","1.6%","inter american development bank inter american investment corporation and multilateral investment fund","Austria"
"2019","IDB, IIC and MIF","0.1","1.5%","inter american development bank inter american investment corporation and multilateral investment fund","Austria"
