"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","EC - Development Share of Budget","20.3","298.3%","european commission development share of budget","Austria"
"2019","EC - Development Share of Budget","19.8","259.1%","european commission development share of budget","Austria"
"2020","EC - Development Share of Budget","21.4","282.4%","european commission development share of budget","Austria"
"2021","EC - Development Share of Budget","19.5","219.9%","european commission development share of budget","Austria"
"2022","EC - Development Share of Budget","23.8","204.2%","european commission development share of budget","Austria"
"2018","IDA","12.6","185.9%","international development association","Austria"
"2019","IDA","13.5","176.3%","international development association","Austria"
"2020","IDA","12.5","165.2%","international development association","Austria"
"2021","IDA","13.4","151.2%","international development association","Austria"
"2022","IDA","13.6","116.5%","international development association","Austria"
"2018","African Development Fund","2.7","40.4%","african development fund","Austria"
"2019","African Development Fund","2.4","31.5%","african development fund","Austria"
"2020","African Development Fund","1.9","24.4%","african development fund","Austria"
"2021","African Development Fund","0.8","9%","african development fund","Austria"
"2022","African Development Fund","0.5","4.4%","african development fund","Austria"
"2018","UNRWA","0.3","4.4%","united nations relief and works agency for palestine refugees in the near east","Austria"
"2019","UNRWA","0.3","3.7%","united nations relief and works agency for palestine refugees in the near east","Austria"
"2020","UNRWA","0.3","3.8%","united nations relief and works agency for palestine refugees in the near east","Austria"
"2021","UNRWA","0.3","3.2%","united nations relief and works agency for palestine refugees in the near east","Austria"
"2022","UNRWA","0.3","2.3%","united nations relief and works agency for palestine refugees in the near east","Austria"
"2018","UNICEF","0.1","1.1%","united nations childrenâ€™s fund","Austria"
"2019","UNICEF","0.1","1%","united nations childrenâ€™s fund","Austria"
"2020","UNICEF","0.1","1%","united nations childrenâ€™s fund","Austria"
"2021","UNICEF","0.1","1%","united nations childrenâ€™s fund","Austria"
"2022","UNICEF","0.1","0.8%","united nations childrenâ€™s fund","Austria"
"2018","UNIDO","NA","NA%","united nations industrial development organisation","Austria"
"2019","UNIDO","NA","NA%","united nations industrial development organisation","Austria"
"2020","UNIDO","0","0.6%","united nations industrial development organisation","Austria"
"2021","UNIDO","0","0.4%","united nations industrial development organisation","Austria"
"2022","UNIDO","0","0.3%","united nations industrial development organisation","Austria"
"2018","AfDB","0.1","0.8%","african development bank","Austria"
"2019","AfDB","NA","NA%","african development bank","Austria"
"2020","AfDB","0","0.7%","african development bank","Austria"
"2021","AfDB","0","0.1%","african development bank","Austria"
"2022","AfDB","0","0.2%","african development bank","Austria"
"2018","IDB, IIC and MIF","0.1","0.8%","inter american development bank inter american investment corporation and multilateral investment fund","Austria"
"2019","IDB, IIC and MIF","0","0.5%","inter american development bank inter american investment corporation and multilateral investment fund","Austria"
"2020","IDB, IIC and MIF","0","0.2%","inter american development bank inter american investment corporation and multilateral investment fund","Austria"
"2021","IDB, IIC and MIF","0","0%","inter american development bank inter american investment corporation and multilateral investment fund","Austria"
"2022","IDB, IIC and MIF","0","0%","inter american development bank inter american investment corporation and multilateral investment fund","Austria"
"2018","UNDP","0","0%","united nations development programme","Austria"
"2019","UNDP","0","0%","united nations development programme","Austria"
"2020","UNDP","0","0%","united nations development programme","Austria"
"2021","UNDP","0","0%","united nations development programme","Austria"
"2022","UNDP","0","0%","united nations development programme","Austria"
"2018","FAO","NA","NA%","food and agricultural organisation","Austria"
"2019","FAO","0","0.1%","food and agricultural organisation","Austria"
"2020","FAO","0","0.1%","food and agricultural organisation","Austria"
"2021","FAO","0","0.1%","food and agricultural organisation","Austria"
"2022","FAO","0","0%","food and agricultural organisation","Austria"
"2018","IBRD","NA","NA%","international bank for reconstruction and development","Austria"
"2019","IBRD","3.5","45.2%","international bank for reconstruction and development","Austria"
"2020","IBRD","NA","NA%","international bank for reconstruction and development","Austria"
"2021","IBRD","NA","NA%","international bank for reconstruction and development","Austria"
"2022","IBRD","NA","NA%","international bank for reconstruction and development","Austria"
"2018","IFC","NA","NA%","international finance corporation","Austria"
"2019","IFC","NA","NA%","international finance corporation","Austria"
"2020","IFC","NA","NA%","international finance corporation","Austria"
"2021","IFC","0","0%","international finance corporation","Austria"
"2022","IFC","NA","NA%","international finance corporation","Austria"
