Year,ODA,Share,Full Name,donor
2020,18.603600000000004,0.45495919610082497,international development association,Austria
2020,9.7173,0.23764083275659256,european commission european development fund,Austria
2020,0.1465,0.0035827217435749443,food and agricultural organisation,Austria
2020,0.0041,0.00010026729794305306,united nations,Austria
2020,1.0481,0.02563174511563754,african development fund,Austria
2020,8.512899999999998,0.2081867025998576,european commission development share of budget,Austria
2020,0.1973,0.004825058020527895,united nations children’s fund,Austria
2020,2.3419000000000003,0.057272191476301464,world health organisation assessed contributions,Austria
2020,0.0403,0.0009855541724646435,united nations development programme,Austria
2020,0.0691,0.0016898708019182844,global environment facility trust fund,Austria
2020,0.0743,0.0018170390822363032,united nations population fund,Austria
2020,0.0004,9.782175409078347e-06,african development bank,Austria
2020,0.0739,0.0018072569068272246,united nations relief and works agency for palestine refugees in the near east,Austria
2020,0.061000000000000006,0.0014917817498844481,inter american development bank inter american investment corporation and multilateral investment fund,Austria
2023,1.9191999999999996,0.026417613577706344,world health organisation assessed contributions,Austria
2023,30.4972,0.41979118632869217,european commission development share of budget,Austria
2023,0.038900000000000004,0.0005354549646585958,united nations development programme,Austria
2023,0.21,0.0028906309146093856,united nations children’s fund,Austria
2023,0.020200000000000003,0.00027805116416718855,african development bank,Austria
2023,0.056400000000000006,0.000776340874209378,united nations,Austria
2023,0.0091,0.00012526067296640673,international finance corporation,Austria
2023,0.22999999999999998,0.0031659290969531365,global environment facility trust fund,Austria
2023,0.7867999999999999,0.010830230493403165,african development fund,Austria
2023,0.5317999999999999,0.007320178668520339,european commission european development fund,Austria
2023,0.1366,0.0018802865854078196,food and agricultural organisation,Austria
2023,0.0053,7.295401832109402e-05,green climate fund,Austria
2023,37.97210000000001,0.5226825054887576,international development association,Austria
2023,0.0627,0.0008630598016476595,united nations relief and works agency for palestine refugees in the near east,Austria
2023,0.1722,0.002370317349979696,united nations population fund,Austria
2021,0.2002,0.004074729148560717,united nations children’s fund,Austria
2021,17.3782,0.3537035868607285,european commission development share of budget,Austria
2021,0.8479,0.017257556668654504,african development fund,Austria
2021,0.047099999999999996,0.0009586400744116371,united nations development programme,Austria
2021,0.3115,0.006340050598285032,global environment facility trust fund,Austria
2021,0.0002,4.070658490070647e-06,african development bank,Austria
2021,21.598700000000004,0.43960465764744444,international development association,Austria
2021,0.0189,0.0003846772273116761,inter american development bank inter american investment corporation and multilateral investment fund,Austria
2021,0.0728,0.0014817196903857152,united nations relief and works agency for palestine refugees in the near east,Austria
2021,0.0207,0.0004213131537223119,united nations,Austria
2021,2.0183,0.041079050152547925,world health organisation assessed contributions,Austria
2021,0.07029999999999999,0.0014308364592598318,united nations population fund,Austria
2021,6.4093,0.13045035730204896,european commission european development fund,Austria
2021,0.138,0.002808754358148746,food and agricultural organisation,Austria
2019,0.061500000000000006,0.0014464734272247473,inter american development bank inter american investment corporation and multilateral investment fund,Austria
2019,0.0795,0.0018698315034856488,united nations relief and works agency for palestine refugees in the near east,Austria
2019,0.457,0.01074859115840178,african development fund,Austria
2019,7.911800000000002,0.1860846904311668,european commission development share of budget,Austria
2019,0.21360000000000004,0.0050238491716293665,united nations children’s fund,Austria
2019,17.8283,0.4193197106112351,international development association,Austria
2019,0.0268,0.0006303331357662312,united nations development programme,Austria
2019,0.0225,0.000529197595326127,global environment facility trust fund,Austria
2019,0.24280000000000002,0.005710630050897051,food and agricultural organisation,Austria
2019,10.664199999999997,0.25082084427008366,european commission european development fund,Austria
2019,2.5457,0.05987459192985429,world health organisation assessed contributions,Austria
2019,2.3647,0.05561749127411967,international bank for reconstruction and development,Austria
2019,0.0943,0.002217925921744612,united nations population fund,Austria
2019,0.0045,0.00010583951906522539,united nations,Austria
2022,1.0472,0.018047579983593107,african development fund,Austria
2022,0.1204,0.0020749891424986728,food and agricultural organisation,Austria
2022,28.331300000000002,0.4882652815022646,european commission development share of budget,Austria
2022,0.28890000000000005,0.004978939894251385,global environment facility trust fund,Austria
2022,0.2125,0.0036622524317356147,united nations children’s fund,Austria
2022,0.008499999999999999,0.00014649009726942457,african development bank,Austria
2022,0.046000000000000006,0.0007927699381639449,united nations development programme,Austria
2022,0.0032,5.514921308966573e-05,green climate fund,Austria
2022,0.0414,0.0007134929443475503,united nations,Austria
2022,0.0241,0.000415342511081545,inter american development bank inter american investment corporation and multilateral investment fund,Austria
2022,0.1356,0.002336947904674585,united nations population fund,Austria
2022,0.014,0.00024127780726728755,international finance corporation,Austria
2022,0.0722,0.001244304120335583,united nations relief and works agency for palestine refugees in the near east,Austria
2022,23.4399,0.40396626246889245,international development association,Austria
2022,1.9007,0.03275690916235239,world health organisation assessed contributions,Austria
2022,2.3385,0.040302010878182276,european commission european development fund,Austria
