year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Reproductive health care,24.31,18.7%,Belgium
2023,Basic health care,21.76,16.7%,Belgium
2023,Infectious disease control,17.85,13.7%,Belgium
2023,Health policy and administrative management,14.06,10.8%,Belgium
2023,COVID-19 control,13.73,10.6%,Belgium
2023,Medical education/training,10.77,8.3%,Belgium
2023,Medical research,8.73,6.7%,Belgium
2023,Medical services,4.33,3.3%,Belgium
2023,Basic health infrastructure,3.92,3.0%,Belgium
2023,STD control including HIV/AIDS,1.84,1.4%,Belgium
2023,Other prevention and treatment of NCDs,1.6,1.2%,Belgium
2023,Family planning,1.27,1.0%,Belgium
2023,Health education,1.13,0.9%,Belgium
2023,Personnel development for population and reproductive health,1.08,0.8%,Belgium
2023,"NCDs control, general",0.84,0.6%,Belgium
2023,Population policy and administrative management,0.81,0.6%,Belgium
2023,Health personnel development,0.54,0.4%,Belgium
2023,Research for prevention and control of NCDs,0.51,0.4%,Belgium
2023,Basic nutrition,0.47,0.4%,Belgium
2023,Malaria control,0.4,0.3%,Belgium
2023,Tuberculosis control,0.17,0.1%,Belgium
2022,Reproductive health care,26.68,18.3%,Belgium
2022,COVID-19 control,22.07,15.1%,Belgium
2022,Infectious disease control,21.59,14.8%,Belgium
2022,Basic health care,18.11,12.4%,Belgium
2022,Health policy and administrative management,16.67,11.4%,Belgium
2022,Medical education/training,12.15,8.3%,Belgium
2022,Medical research,8.26,5.7%,Belgium
2022,Medical services,3.74,2.6%,Belgium
2022,Basic health infrastructure,3.65,2.5%,Belgium
2022,STD control including HIV/AIDS,3.09,2.1%,Belgium
2022,Family planning,2.47,1.7%,Belgium
2022,Other prevention and treatment of NCDs,1.61,1.1%,Belgium
2022,Personnel development for population and reproductive health,1.53,1.1%,Belgium
2022,Health education,1.23,0.8%,Belgium
2022,Population policy and administrative management,0.84,0.6%,Belgium
2022,"NCDs control, general",0.81,0.6%,Belgium
2022,Basic nutrition,0.55,0.4%,Belgium
2022,Malaria control,0.4,0.3%,Belgium
2022,Research for prevention and control of NCDs,0.38,0.3%,Belgium
2022,Tuberculosis control,0.16,0.1%,Belgium
2022,Health personnel development,0.06,0.0%,Belgium
2021,COVID-19 control,45.11,27.6%,Belgium
2021,Reproductive health care,26.9,16.5%,Belgium
2021,Basic health care,17.11,10.5%,Belgium
2021,Infectious disease control,15.12,9.3%,Belgium
2021,Medical education/training,12.95,7.9%,Belgium
2021,Health policy and administrative management,11.34,7.0%,Belgium
2021,Medical research,8.68,5.3%,Belgium
2021,Basic health infrastructure,7.67,4.7%,Belgium
2021,Tuberculosis control,6.23,3.8%,Belgium
2021,Medical services,4.42,2.7%,Belgium
2021,Family planning,2.65,1.6%,Belgium
2021,Health personnel development,1.8,1.1%,Belgium
2021,STD control including HIV/AIDS,1.59,1.0%,Belgium
2021,Health education,0.55,0.3%,Belgium
2021,"NCDs control, general",0.4,0.2%,Belgium
2021,Personnel development for population and reproductive health,0.36,0.2%,Belgium
2021,Basic nutrition,0.21,0.1%,Belgium
2021,Promotion of mental health and well-being,0.1,0.1%,Belgium
2020,Basic health care,21.63,16.3%,Belgium
2020,Reproductive health care,21.2,16.0%,Belgium
2020,Infectious disease control,18.13,13.7%,Belgium
2020,Health policy and administrative management,14.85,11.2%,Belgium
2020,Medical education/training,14.85,11.2%,Belgium
2020,Medical research,10.47,7.9%,Belgium
2020,Tuberculosis control,6.61,5.0%,Belgium
2020,Basic health infrastructure,5.87,4.4%,Belgium
2020,STD control including HIV/AIDS,4.16,3.1%,Belgium
2020,COVID-19 control,4.02,3.0%,Belgium
2020,Family planning,2.83,2.1%,Belgium
2020,Medical services,2.68,2.0%,Belgium
2020,Basic nutrition,2.07,1.6%,Belgium
2020,Health personnel development,1.72,1.3%,Belgium
2020,Health education,0.66,0.5%,Belgium
2020,"NCDs control, general",0.38,0.3%,Belgium
2020,Personnel development for population and reproductive health,0.28,0.2%,Belgium
2020,Promotion of mental health and well-being,0.11,0.1%,Belgium
2019,Basic health care,30.09,23.6%,Belgium
2019,Infectious disease control,17.64,13.8%,Belgium
2019,Health policy and administrative management,15.2,11.9%,Belgium
2019,Medical education/training,14.67,11.5%,Belgium
2019,Reproductive health care,10.73,8.4%,Belgium
2019,Medical services,8.45,6.6%,Belgium
2019,Medical research,6.44,5.1%,Belgium
2019,Basic nutrition,6.41,5.0%,Belgium
2019,Tuberculosis control,6.17,4.8%,Belgium
2019,Basic health infrastructure,4.48,3.5%,Belgium
2019,Family planning,2.34,1.8%,Belgium
2019,Health personnel development,2.07,1.6%,Belgium
2019,Health education,1.02,0.8%,Belgium
2019,STD control including HIV/AIDS,0.81,0.6%,Belgium
2019,Personnel development for population and reproductive health,0.75,0.6%,Belgium
2019,"NCDs control, general",0.21,0.2%,Belgium
