Year,ODA,Share,Full Name,donor
2020,1.5851,0.018198580485463866,asian infrastructure investment bank,Belgium
2020,7.219799999999998,0.08289073963090782,world health organisation core voluntary contributions account,Belgium
2020,0.7845,0.009006867952082772,african development fund,Belgium
2020,0.17679999999999998,0.0020298460853132366,food and agricultural organisation,Belgium
2020,0.08070000000000001,0.000926519112470465,global environment facility trust fund,Belgium
2020,2.9156999999999993,0.03347523886282694,united nations children’s fund,Belgium
2020,0.30519999999999997,0.00350401032374208,united nations development programme,Belgium
2020,21.6709,0.24880425073650803,international development association,Belgium
2020,1.4412999999999998,0.01654760838666271,international bank for reconstruction and development,Belgium
2020,0.0073,8.381151822843114e-05,united nations,Belgium
2020,13.9799,0.16050364981940338,european commission development share of budget,Belgium
2020,3.2923999999999998,0.037800142824011874,united nations population fund,Belgium
2020,0.1021,0.0011722131522086054,world food programme,Belgium
2020,12.1412,0.13939348015274358,european commission european development fund,Belgium
2020,18.4255,0.2115437163175285,global fund to fight aids tuberculosis and malaria,Belgium
2020,1.5383,0.01766126828641036,joint united nations programme on hiv aids,Belgium
2020,1.1654,0.01337999223882379,united nations relief and works agency for palestine refugees in the near east,Belgium
2020,0.2681,0.0030780641146633415,european investment bank,Belgium
2022,16.865299999999998,0.1304200898270273,global fund to fight aids tuberculosis and malaria,Belgium
2022,29.2608,0.22627502412709416,international development association,Belgium
2022,0.0594,0.00045934275321075956,united nations,Belgium
2022,2.574900000000001,0.01991181237781793,united nations children’s fund,Belgium
2022,0.7177,0.0055500049491475105,european investment bank,Belgium
2022,4.7319,0.03659198609289551,united nations population fund,Belgium
2022,0.415,0.0032092128380886396,united nations development programme,Belgium
2022,0.14189999999999997,0.0010973187993368143,food and agricultural organisation,Belgium
2022,54.798,0.4237552894014007,european commission development share of budget,Belgium
2022,0.0288,0.00022271163792036825,international finance corporation,Belgium
2022,0.0024,1.8559303160030685e-05,green climate fund,Belgium
2022,2.7309000000000005,0.021118167083219924,european commission european development fund,Belgium
2022,3.662799999999999,0.02832458983940016,world health organisation core voluntary contributions account,Belgium
2022,1.2237,0.009462924698720647,united nations relief and works agency for palestine refugees in the near east,Belgium
2022,2.3504,0.01817574422805672,world health organisation assessed contributions,Belgium
2022,3.140799999999999,0.024287941402093487,international bank for reconstruction and development,Belgium
2022,0.1231,0.0009519375912499074,world food programme,Belgium
2022,0.6191000000000001,0.0047875269109895835,global environment facility trust fund,Belgium
2022,1.7837,0.013793428769394475,asian infrastructure investment bank,Belgium
2022,0.8588,0.006641137314097648,african development fund,Belgium
2022,3.2258000000000004,0.02494525005567792,global alliance for vaccines and immunization,Belgium
2019,0.0053,6.472017682040762e-05,united nations,Belgium
2019,1.2449,0.015201914740325553,united nations relief and works agency for palestine refugees in the near east,Belgium
2019,2.9977999999999994,0.03660719737211658,united nations children’s fund,Belgium
2019,0.1685,0.00205761316872428,united nations development programme,Belgium
2019,4.1331999999999995,0.05047196883662428,united nations population fund,Belgium
2019,0.013,0.0001587476035217545,global environment facility trust fund,Belgium
2019,18.7202,0.2285989913421499,global fund to fight aids tuberculosis and malaria,Belgium
2019,13.1826,0.16097739678352932,european commission european development fund,Belgium
2019,17.976100000000006,0.2195125227436471,international development association,Belgium
2019,0.162,0.0019782393669634025,african development fund,Belgium
2019,2.9247,0.03571454738615965,world health organisation assessed contributions,Belgium
2019,3.642,0.04447375169432538,world health organisation core voluntary contributions account,Belgium
2019,2.4096,0.029424478880463054,joint united nations programme on hiv aids,Belgium
2019,0.2901,0.0035425138293585377,european investment bank,Belgium
2019,0.15689999999999998,0.0019159614609664062,world food programme,Belgium
2019,13.848999999999998,0.16911504316713677,european commission development share of budget,Belgium
2019,0.015099999999999999,0.00018439144716757638,african development bank,Belgium
2021,0.2772,0.0028966243667552798,food and agricultural organisation,Belgium
2021,2.9260999999999995,0.030576524385146547,united nations children’s fund,Belgium
2021,1.2968,0.013551019043319793,united nations relief and works agency for palestine refugees in the near east,Belgium
2021,0.1595,0.0016667084649980776,joint united nations programme on hiv aids,Belgium
2021,17.859099999999998,0.18662014512380667,global fund to fight aids tuberculosis and malaria,Belgium
2021,0.8008,0.008368025948404141,african development fund,Belgium
2021,7.735999999999999,0.08083797294811991,european commission european development fund,Belgium
2021,0.021400000000000002,0.00022362107304676405,united nations,Belgium
2021,30.921300000000002,0.3231146862617245,european commission development share of budget,Belgium
2021,0.0021,2.19441239905703e-05,african development bank,Belgium
2021,6.062500000000001,0.06335059604420594,world health organisation assessed contributions,Belgium
2021,0.0512,0.0005350186420558093,international bank for reconstruction and development,Belgium
2021,0.36060000000000003,0.0037681195766665005,global environment facility trust fund,Belgium
2021,0.8553,0.008937528213873704,european investment bank,Belgium
2021,3.0864,0.03225159251642675,united nations population fund,Belgium
2021,1.6189,0.016916829680159173,asian infrastructure investment bank,Belgium
2021,0.109,0.0011390045309391252,world food programme,Belgium
2021,21.116999999999997,0.22066384109946333,international development association,Belgium
2021,0.4364,0.004560197956897561,united nations development programme,Belgium
2023,0.0187,0.00013987217029997717,international finance corporation,Belgium
2023,16.2197,0.121320034257462,global fund to fight aids tuberculosis and malaria,Belgium
2023,0.6965,0.005209677359033909,european investment bank,Belgium
2023,1.0016,0.007491762875532467,asian infrastructure investment bank,Belgium
2023,0.31299999999999994,0.0023411758986038953,global environment facility trust fund,Belgium
2023,0.1182,0.0008841117930191069,world food programme,Belgium
2023,0.0042,3.14151398534708e-05,green climate fund,Belgium
2023,57.922999999999995,0.4332521775553784,european commission development share of budget,Belgium
2023,0.095,0.0007105805443046968,united nations,Belgium
2023,2.5793999999999997,0.019293383747152996,international bank for reconstruction and development,Belgium
2023,5.570099999999998,0.041663207261385164,world health organisation assessed contributions,Belgium
2023,1.0776,0.008060227310976224,joint united nations programme on hiv aids,Belgium
2023,0.6138000000000002,0.004591098295728664,european commission european development fund,Belgium
2023,1.4351,0.010734254096122846,united nations relief and works agency for palestine refugees in the near east,Belgium
2023,36.717000000000006,0.27463564047616373,international development association,Belgium
2023,0.5763,0.004310605975608387,african development fund,Belgium
2023,0.1662,0.0012431419627730589,food and agricultural organisation,Belgium
2023,2.2501,0.016830287186736827,united nations children’s fund,Belgium
2023,0.35869999999999996,0.0026830025393904705,united nations development programme,Belgium
2023,5.9593,0.04457434355447347,united nations population fund,Belgium
