"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","IDA","30.6","450.6%","international development association","Canada"
"2019","IDA","28.3","369.1%","international development association","Canada"
"2020","IDA","26.7","352.1%","international development association","Canada"
"2021","IDA","23.7","267.1%","international development association","Canada"
"2022","IDA","43.3","370.9%","international development association","Canada"
"2018","UNRWA","10.5","154.7%","united nations relief and works agency for palestine refugees in the near east","Canada"
"2019","UNRWA","10","130.8%","united nations relief and works agency for palestine refugees in the near east","Canada"
"2020","UNRWA","12.8","168.7%","united nations relief and works agency for palestine refugees in the near east","Canada"
"2021","UNRWA","11.9","133.5%","united nations relief and works agency for palestine refugees in the near east","Canada"
"2022","UNRWA","12.6","108.4%","united nations relief and works agency for palestine refugees in the near east","Canada"
"2018","African Development Fund","5.1","74.4%","african development fund","Canada"
"2019","African Development Fund","4.4","57.5%","african development fund","Canada"
"2020","African Development Fund","3.4","44.3%","african development fund","Canada"
"2021","African Development Fund","2.2","25.1%","african development fund","Canada"
"2022","African Development Fund","3.6","31%","african development fund","Canada"
"2018","IBRD","0.5","7.7%","international bank for reconstruction and development","Canada"
"2019","IBRD","13.3","173.6%","international bank for reconstruction and development","Canada"
"2020","IBRD","NA","NA%","international bank for reconstruction and development","Canada"
"2021","IBRD","NA","NA%","international bank for reconstruction and development","Canada"
"2022","IBRD","0.9","7.3%","international bank for reconstruction and development","Canada"
"2018","UNICEF","0.8","11.9%","united nations childrenâ€™s fund","Canada"
"2019","UNICEF","0.9","11.2%","united nations childrenâ€™s fund","Canada"
"2020","UNICEF","0.9","12%","united nations childrenâ€™s fund","Canada"
"2021","UNICEF","0.9","10.5%","united nations childrenâ€™s fund","Canada"
"2022","UNICEF","0.8","7.3%","united nations childrenâ€™s fund","Canada"
"2018","ADB","1","14.1%","asian development bank","Canada"
"2019","ADB","0.9","12.3%","asian development bank","Canada"
"2020","ADB","0.8","10.8%","asian development bank","Canada"
"2021","ADB","0.6","7%","asian development bank","Canada"
"2022","ADB","0.6","4.9%","asian development bank","Canada"
"2018","UNDP","0","0.1%","united nations development programme","Canada"
"2019","UNDP","0","0.2%","united nations development programme","Canada"
"2020","UNDP","0","0.2%","united nations development programme","Canada"
"2021","UNDP","0","0.1%","united nations development programme","Canada"
"2022","UNDP","0.1","0.6%","united nations development programme","Canada"
"2018","CDB","NA","NA%","caribbean development bank","Canada"
"2019","CDB","NA","NA%","caribbean development bank","Canada"
"2020","CDB","NA","NA%","caribbean development bank","Canada"
"2021","CDB","0","0.3%","caribbean development bank","Canada"
"2022","CDB","0","0.2%","caribbean development bank","Canada"
"2018","IDB, IIC and MIF","0.4","5.7%","inter american development bank inter american investment corporation and multilateral investment fund","Canada"
"2019","IDB, IIC and MIF","0.3","4.4%","inter american development bank inter american investment corporation and multilateral investment fund","Canada"
"2020","IDB, IIC and MIF","0.2","2.1%","inter american development bank inter american investment corporation and multilateral investment fund","Canada"
"2021","IDB, IIC and MIF","0.1","0.6%","inter american development bank inter american investment corporation and multilateral investment fund","Canada"
"2022","IDB, IIC and MIF","0","0.2%","inter american development bank inter american investment corporation and multilateral investment fund","Canada"
"2018","FAO","NA","NA%","food and agricultural organisation","Canada"
"2019","FAO","0","0.6%","food and agricultural organisation","Canada"
"2020","FAO","0","0.3%","food and agricultural organisation","Canada"
"2021","FAO","0","0.2%","food and agricultural organisation","Canada"
"2022","FAO","0","0%","food and agricultural organisation","Canada"
"2018","Adaptation Fund","NA","NA%","adaptation fund","Canada"
"2019","Adaptation Fund","NA","NA%","adaptation fund","Canada"
"2020","Adaptation Fund","NA","NA%","adaptation fund","Canada"
"2021","Adaptation Fund","NA","NA%","adaptation fund","Canada"
"2022","Adaptation Fund","0","0%","adaptation fund","Canada"
"2018","WTO - international trade centre","NA","NA%","world trade organisation international trade centre","Canada"
"2019","WTO - international trade centre","NA","NA%","world trade organisation international trade centre","Canada"
"2020","WTO - international trade centre","0","0.1%","world trade organisation international trade centre","Canada"
"2021","WTO - international trade centre","0","0.1%","world trade organisation international trade centre","Canada"
"2022","WTO - international trade centre","0","0%","world trade organisation international trade centre","Canada"
"2018","AfDB","NA","NA%","african development bank","Canada"
"2019","AfDB","NA","NA%","african development bank","Canada"
"2020","AfDB","NA","NA%","african development bank","Canada"
"2021","AfDB","NA","NA%","african development bank","Canada"
"2022","AfDB","NA","NA%","african development bank","Canada"
"2018","IADB Fund for special operations","0","0.1%","inter american development bank fund for special operations","Canada"
"2019","IADB Fund for special operations","0","0%","inter american development bank fund for special operations","Canada"
"2020","IADB Fund for special operations","0","0%","inter american development bank fund for special operations","Canada"
"2021","IADB Fund for special operations","NA","NA%","inter american development bank fund for special operations","Canada"
"2022","IADB Fund for special operations","NA","NA%","inter american development bank fund for special operations","Canada"
"2018","WFP","0.9","13.2%","world food programme","Canada"
"2019","WFP","0.4","4.9%","world food programme","Canada"
"2020","WFP","NA","NA%","world food programme","Canada"
"2021","WFP","NA","NA%","world food programme","Canada"
"2022","WFP","NA","NA%","world food programme","Canada"
