Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADB,0.57,0.0%,asian development bank,Canada
2020,ADB,1.64,0.0%,asian development bank,Canada
2021,ADB,2.42,0.0%,asian development bank,Canada
2022,ADB,2.89,0.0%,asian development bank,Canada
2023,ADB,2.44,0.0%,asian development bank,Canada
2019,ADF,0.81,0.0%,african development fund,Canada
2020,ADF,1.85,0.0%,african development fund,Canada
2021,ADF,2.3,0.0%,african development fund,Canada
2022,ADF,7.29,0.0%,african development fund,Canada
2023,ADF,1.7,0.0%,african development fund,Canada
2020,AIIB,6.07,0.01%,asian infrastructure investment bank,Canada
2021,AIIB,4.92,0.0%,asian infrastructure investment bank,Canada
2021,CDB,0.01,0.0%,caribbean development bank,Canada
2022,CDB,0.01,0.0%,caribbean development bank,Canada
2023,CDB,0.01,0.0%,caribbean development bank,Canada
2019,FAO,1.94,0.0%,food and agricultural organisation,Canada
2020,FAO,0.61,0.0%,food and agricultural organisation,Canada
2021,FAO,0.55,0.0%,food and agricultural organisation,Canada
2022,FAO,0.46,0.0%,food and agricultural organisation,Canada
2023,FAO,0.57,0.0%,food and agricultural organisation,Canada
2019,GAVI,94.23,0.1%,global alliance for vaccines and immunization,Canada
2020,GAVI,68.49,0.07%,global alliance for vaccines and immunization,Canada
2021,GAVI,77.3,0.04%,global alliance for vaccines and immunization,Canada
2022,GAVI,71.76,0.04%,global alliance for vaccines and immunization,Canada
2023,GAVI,52.4,0.04%,global alliance for vaccines and immunization,Canada
2022,GCF,0.02,0.0%,green climate fund,Canada
2019,GEF-TF,0.05,0.0%,global environment facility trust fund,Canada
2020,GEF-TF,0.21,0.0%,global environment facility trust fund,Canada
2021,GEF-TF,0.89,0.0%,global environment facility trust fund,Canada
2022,GEF-TF,0.29,0.0%,global environment facility trust fund,Canada
2023,GEF-TF,1.23,0.0%,global environment facility trust fund,Canada
2019,GFATM,229.02,0.24%,global fund to fight aids tuberculosis and malaria,Canada
2020,GFATM,167.88,0.18%,global fund to fight aids tuberculosis and malaria,Canada
2021,GFATM,324.53,0.16%,global fund to fight aids tuberculosis and malaria,Canada
2022,GFATM,250.53,0.15%,global fund to fight aids tuberculosis and malaria,Canada
2023,GFATM,298.82,0.25%,global fund to fight aids tuberculosis and malaria,Canada
2019,IBRD,8.83,0.01%,international bank for reconstruction and development,Canada
2022,IBRD,3.24,0.0%,international bank for reconstruction and development,Canada
2019,IDA,36.31,0.04%,international development association,Canada
2020,IDA,38.68,0.04%,international development association,Canada
2021,IDA,37.24,0.02%,international development association,Canada
2022,IDA,74.24,0.05%,international development association,Canada
2023,IDA,112.27,0.09%,international development association,Canada
2019,IDB-FSO,0.0,0.0%,inter american development bank fund for special operations,Canada
2020,IDB-FSO,0.02,0.0%,inter american development bank fund for special operations,Canada
2019,IDB-IIC-MIF,0.56,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Canada
2020,IDB-IIC-MIF,0.66,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Canada
2021,IDB-IIC-MIF,0.28,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Canada
2022,IDB-IIC-MIF,0.13,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Canada
2022,IFC,0.2,0.0%,international finance corporation,Canada
2019,UN,0.02,0.0%,united nations,Canada
2020,UN,0.02,0.0%,united nations,Canada
2021,UN,0.08,0.0%,united nations,Canada
2022,UN,0.15,0.0%,united nations,Canada
2023,UN,0.22,0.0%,united nations,Canada
2019,UNAIDS,5.63,0.01%,joint united nations programme on hiv aids,Canada
2020,UNAIDS,1.82,0.0%,joint united nations programme on hiv aids,Canada
2021,UNAIDS,0.17,0.0%,joint united nations programme on hiv aids,Canada
2023,UNAIDS,1.23,0.0%,joint united nations programme on hiv aids,Canada
2019,UNDP,0.47,0.0%,united nations development programme,Canada
2020,UNDP,0.86,0.0%,united nations development programme,Canada
2021,UNDP,1.24,0.0%,united nations development programme,Canada
2022,UNDP,1.17,0.0%,united nations development programme,Canada
2023,UNDP,1.05,0.0%,united nations development programme,Canada
2019,UNFPA,5.02,0.01%,united nations population fund,Canada
2020,UNFPA,4.04,0.0%,united nations population fund,Canada
2021,UNFPA,3.61,0.0%,united nations population fund,Canada
2022,UNFPA,5.47,0.0%,united nations population fund,Canada
2023,UNFPA,7.08,0.01%,united nations population fund,Canada
