Year,ODA,Share,Full Name,donor
2020,0.0248,8.066685467248119e-05,inter american development bank fund for special operations,Canada
2020,3.2238,0.01048604056827197,united nations relief and works agency for palestine refugees in the near east,Canada
2020,38.67660000000001,0.12580321255748736,international development association,Canada
2020,8.7637,0.02850564976988804,world health organisation core voluntary contributions account,Canada
2020,68.4852,0.2227615191780568,global alliance for vaccines and immunization,Canada
2020,167.8845,0.546077200131539,global fund to fight aids tuberculosis and malaria,Canada
2020,2.2298999999999998,0.007253186259442168,united nations children’s fund,Canada
2020,0.0165,5.366947992322337e-05,united nations,Canada
2020,6.0674,0.019735406211282756,asian infrastructure investment bank,Canada
2020,0.3764,0.0012243146814000774,world food programme,Canada
2020,1.8516000000000001,0.006022691456111539,african development fund,Canada
2020,4.0413,0.013145119346286217,united nations population fund,Canada
2020,0.6125,0.00199227614866511,food and agricultural organisation,Canada
2020,0.6567,0.00213604530094429,inter american development bank inter american investment corporation and multilateral investment fund,Canada
2020,0.8649,0.0028132565567027816,united nations development programme,Canada
2020,0.2087,0.0006788376036349525,global environment facility trust fund,Canada
2020,1.8155,0.005905269139431032,joint united nations programme on hiv aids,Canada
2020,1.6373000000000002,0.00532563875626022,asian development bank,Canada
2022,0.1256,0.000291484972046684,inter american development bank inter american investment corporation and multilateral investment fund,Canada
2022,1.8558999999999999,0.004307061780425484,united nations children’s fund,Canada
2022,3.2417000000000007,0.007523143581876876,international bank for reconstruction and development,Canada
2022,0.1457,0.0003381318505350466,united nations,Canada
2022,5.4734,0.012702339538219108,united nations population fund,Canada
2022,0.0086,1.9958365920393965e-05,caribbean development bank,Canada
2022,0.4108,0.0009533600837323071,world food programme,Canada
2022,1.1661999999999997,0.002706447248414353,united nations development programme,Canada
2022,0.0204,4.734310055535313e-05,green climate fund,Canada
2022,0.46399999999999997,0.0010768234636119535,food and agricultural organisation,Canada
2022,3.3247,0.007715765020410909,united nations relief and works agency for palestine refugees in the near east,Canada
2022,7.288600000000001,0.01691494719155622,african development fund,Canada
2022,71.75500000000001,0.16652471472300806,global alliance for vaccines and immunization,Canada
2022,2.8876,0.00670136946880577,asian development bank,Canada
2022,7.476300000000001,0.017350550131469935,world health organisation assessed contributions,Canada
2022,74.23969999999998,0.17229105795584554,international development association,Canada
2022,0.1952,0.00045300849158847703,international finance corporation,Canada
2022,0.28750000000000003,0.000667212814199217,global environment facility trust fund,Canada
2022,250.5301,0.5814152802177782,global fund to fight aids tuberculosis and malaria,Canada
2019,2.716,0.006829532750325256,united nations relief and works agency for palestine refugees in the near east,Canada
2019,94.2278,0.23694103317050744,global alliance for vaccines and immunization,Canada
2019,0.0002,5.029111009076035e-07,inter american development bank fund for special operations,Canada
2019,5.023999999999999,0.012633126854798999,united nations population fund,Canada
2019,1.944,0.004888295900821907,food and agricultural organisation,Canada
2019,0.4728,0.0011888818425455747,united nations development programme,Canada
2019,0.5599999999999999,0.0014081510825412898,inter american development bank inter american investment corporation and multilateral investment fund,Canada
2019,0.8118000000000001,0.002041316158583963,african development fund,Canada
2019,8.831100000000001,0.022206291116125692,international bank for reconstruction and development,Canada
2019,229.0165,0.575874700705031,global fund to fight aids tuberculosis and malaria,Canada
2019,2.2332,0.005615505352734302,united nations children’s fund,Canada
2019,0.5669,0.001425501515522602,asian development bank,Canada
2019,5.6329,0.014164239701512201,joint united nations programme on hiv aids,Canada
2019,0.051300000000000005,0.0001289966973828003,global environment facility trust fund,Canada
2019,0.0187,4.7022187934860936e-05,united nations,Canada
2019,8.6935,0.02186028827870126,world health organisation core voluntary contributions account,Canada
2019,36.311,0.09130602492527996,international development association,Canada
2019,0.5729000000000001,0.0014405888485498305,world food programme,Canada
2023,0.0083,1.6819514852239553e-05,caribbean development bank,Canada
2023,298.8216,0.6055463059481911,global fund to fight aids tuberculosis and malaria,Canada
2023,52.401599999999995,0.10618909511820675,global alliance for vaccines and immunization,Canada
2023,1.6970999999999998,0.0034390841753898483,african development fund,Canada
2023,0.21660000000000001,0.00043892854421627556,united nations,Canada
2023,0.4052,0.0008211165564008996,world food programme,Canada
2023,2.6847,0.005440403798049099,united nations relief and works agency for palestine refugees in the near east,Canada
2023,2.4438999999999997,0.004952435222576896,asian development bank,Canada
2023,1.0546,0.0021370916100207026,united nations development programme,Canada
2023,0.5678000000000001,0.0011506169316989902,food and agricultural organisation,Canada
2023,7.0797,0.014346640879445826,united nations population fund,Canada
2023,112.26509999999999,0.2274993393780914,international development association,Canada
2023,9.701399999999998,0.019659378480423706,world health organisation core voluntary contributions account,Canada
2023,1.6654,0.003374845787339729,united nations children’s fund,Canada
2023,1.2309,0.0024943543170628515,joint united nations programme on hiv aids,Canada
2023,1.2305,0.0024935437380338276,global environment facility trust fund,Canada
2021,2.9962,0.00638978589674744,united nations relief and works agency for palestine refugees in the near east,Canada
2021,0.27899999999999997,0.0005950037598266255,inter american development bank inter american investment corporation and multilateral investment fund,Canada
2021,0.0088,1.8767143679119375e-05,caribbean development bank,Canada
2021,0.889,0.0018959080375837642,global environment facility trust fund,Canada
2021,0.0831,0.0001772215499698659,united nations,Canada
2021,77.299,0.1648501635513919,global alliance for vaccines and immunization,Canada
2021,2.2956000000000003,0.004895665344293914,african development fund,Canada
2021,0.5478,0.001168254694025181,food and agricultural organisation,Canada
2021,3.6140000000000003,0.007707324688220162,united nations population fund,Canada
2021,0.1658,0.0003535900479543173,joint united nations programme on hiv aids,Canada
2021,324.5314,0.692105387748382,global fund to fight aids tuberculosis and malaria,Canada
2021,1.2410999999999999,0.0026468070477448924,united nations development programme,Canada
2021,2.4248000000000003,0.005171201135582803,asian development bank,Canada
2021,37.2421,0.07942361836501496,international development association,Canada
2021,7.867699999999999,0.016778892764114487,world health organisation core voluntary contributions account,Canada
2021,2.1349,0.004552951709153631,united nations children’s fund,Canada
2021,4.9163,0.010484648689733474,asian infrastructure investment bank,Canada
2021,0.368,0.0007848078265813557,world food programme,Canada
