Year,ODA,Share,Full Name,donor
2019,1.4141,0.12114488383249947,world health organisation assessed contributions,Czechia
2019,5.3253,0.4562144472620108,european commission development share of budget,Czechia
2019,3.9595000000000002,0.3392073881159619,european commission european development fund,Czechia
2019,0.6284000000000001,0.05383455554794051,international development association,Czechia
2019,0.0012,0.00010280309780001369,global environment facility trust fund,Czechia
2019,0.0003,2.5700774450003423e-05,council of europe development bank,Czechia
2019,0.0825,0.007067712973750942,food and agricultural organisation,Czechia
2019,0.0015,0.00012850387225001714,united nations economic commission for europe extrabudgetary contributions only,Czechia
2019,0.0024,0.00020560619560002738,united nations,Czechia
2019,0.0024000000000000002,0.00020560619560002744,united nations development programme,Czechia
2019,0.2552,0.021862792132136245,international bank for reconstruction and development,Czechia
2022,0.0085,0.0003364005144949045,international finance corporation,Czechia
2022,0.0047,0.00018600969625012366,united nations development programme,Czechia
2022,21.8911,0.8663738003364005,european commission development share of budget,Czechia
2022,0.9534000000000001,0.03773226476699318,world health organisation assessed contributions,Czechia
2022,0.0595,0.0023548036014643314,food and agricultural organisation,Czechia
2022,0.728,0.028811714653210644,international development association,Czechia
2022,0.8167999999999999,0.03232611061640447,european commission european development fund,Czechia
2022,0.0049,0.00019392500247353316,council of europe development bank,Czechia
2022,0.7531999999999999,0.02980904323736024,international bank for reconstruction and development,Czechia
2022,0.0256,0.0010131591965964182,global environment facility trust fund,Czechia
2022,0.0218,0.0008627683783516374,united nations,Czechia
2023,0.0047,0.00019157947083304463,international finance corporation,Czechia
2023,0.1352,0.005510966905665453,food and agricultural organisation,Czechia
2023,0.5473,0.022308817954664963,world health organisation core voluntary contributions account,Czechia
2023,0.001,4.076158953894567e-05,council of europe development bank,Czechia
2023,0.0202,0.0008233841086867024,global environment facility trust fund,Czechia
2023,21.2595,0.8665710128032154,european commission development share of budget,Czechia
2023,0.1818,0.007410456978180322,european commission european development fund,Czechia
2023,1.2868,0.052452013418715276,international development association,Czechia
2023,0.46719999999999995,0.019043814632595413,world health organisation assessed contributions,Czechia
2023,0.6112,0.024913483526203588,international bank for reconstruction and development,Czechia
2023,0.018000000000000002,0.000733708611701022,united nations,Czechia
2021,2.5300000000000002,0.1419299101858553,european commission european development fund,Czechia
2021,0.5579,0.03129750865323662,international bank for reconstruction and development,Czechia
2021,1.0375999999999999,0.05820809280981953,world health organisation assessed contributions,Czechia
2021,0.0018,0.00010097780171325671,council of europe development bank,Czechia
2021,0.020700000000000003,0.0011612447197024524,world health organisation core voluntary contributions account,Czechia
2021,0.0106,0.0005946470545336229,united nations,Czechia
2021,0.0071,0.00039830132898006817,united nations development programme,Czechia
2021,0.7337,0.04115967395389803,international development association,Czechia
2021,0.0695,0.0038988651217063013,food and agricultural organisation,Czechia
2021,12.856799999999998,0.7212507783705548,european commission development share of budget,Czechia
2020,5.229299999999999,0.4666809456239457,european commission development share of budget,Czechia
2020,0.0007999999999999999,7.139478639572344e-05,council of europe development bank,Czechia
2020,1.2445,0.11106351458684728,world health organisation assessed contributions,Czechia
2020,0.014700000000000001,0.0013118792000214184,global environment facility trust fund,Czechia
2020,3.6026999999999996,0.32151749618484105,european commission european development fund,Czechia
2020,0.3914999999999999,0.03493882359240715,international bank for reconstruction and development,Czechia
2020,0.0021,0.00018741131428877403,united nations,Czechia
2020,0.6375000000000002,0.056892720409092136,international development association,Czechia
2020,0.0775,0.006916369932085708,food and agricultural organisation,Czechia
2020,0.004699999999999999,0.0004194443700748752,united nations development programme,Czechia
