Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADF,0.6,0.0%,african development fund,Denmark
2020,ADF,0.49,0.0%,african development fund,Denmark
2021,ADF,0.48,0.0%,african development fund,Denmark
2022,ADF,0.57,0.0%,african development fund,Denmark
2023,ADF,0.21,0.0%,african development fund,Denmark
2020,AIIB,0.0,0.0%,asian infrastructure investment bank,Denmark
2019,AfDB,0.0,0.0%,african development bank,Denmark
2020,AfDB,0.0,0.0%,african development bank,Denmark
2021,AfDB,0.0,0.0%,african development bank,Denmark
2022,AfDB,0.02,0.0%,african development bank,Denmark
2023,AfDB,0.05,0.0%,african development bank,Denmark
2019,EC-DSB,6.17,3.0%,european commission development share of budget,Denmark
2020,EC-DSB,6.65,4.0%,european commission development share of budget,Denmark
2021,EC-DSB,14.68,6.0%,european commission development share of budget,Denmark
2022,EC-DSB,23.75,12.0%,european commission development share of budget,Denmark
2023,EC-DSB,26.79,19.0%,european commission development share of budget,Denmark
2019,EC-EDF,7.87,4.0%,european commission european development fund,Denmark
2020,EC-EDF,7.15,4.0%,european commission european development fund,Denmark
2021,EC-EDF,4.59,2.0%,european commission european development fund,Denmark
2022,EC-EDF,1.58,1.0%,european commission european development fund,Denmark
2023,EC-EDF,0.38,0.0%,european commission european development fund,Denmark
2019,EIB,0.16,0.0%,european investment bank,Denmark
2020,EIB,0.15,0.0%,european investment bank,Denmark
2021,EIB,0.49,0.0%,european investment bank,Denmark
2022,EIB,0.41,0.0%,european investment bank,Denmark
2023,EIB,0.42,0.0%,european investment bank,Denmark
2019,FAO,0.12,0.0%,food and agricultural organisation,Denmark
2020,FAO,0.11,0.0%,food and agricultural organisation,Denmark
2021,FAO,0.1,0.0%,food and agricultural organisation,Denmark
2022,FAO,0.1,0.0%,food and agricultural organisation,Denmark
2023,FAO,0.11,0.0%,food and agricultural organisation,Denmark
2019,GAVI,3.79,2.0%,global alliance for vaccines and immunization,Denmark
2022,GAVI,3.42,2.0%,global alliance for vaccines and immunization,Denmark
2023,GAVI,3.42,2.0%,global alliance for vaccines and immunization,Denmark
2023,GEF-TF,0.84,1.0%,global environment facility trust fund,Denmark
2019,GFATM,24.53,13.0%,global fund to fight aids tuberculosis and malaria,Denmark
2020,GFATM,19.86,11.0%,global fund to fight aids tuberculosis and malaria,Denmark
2021,GFATM,19.31,7.000000000000001%,global fund to fight aids tuberculosis and malaria,Denmark
