Year,ODA,Share,Full Name,donor
2020,2.4734,0.0328140712851006,united nations relief and works agency for palestine refugees in the near east,Denmark
2020,0.0006,7.96007227745628e-06,asian infrastructure investment bank,Denmark
2020,16.5646,0.21975902207858714,international development association,Denmark
2020,19.862299999999998,0.26350890599419974,global fund to fight aids tuberculosis and malaria,Denmark
2020,0.4918,0.00652460591008833,african development fund,Denmark
2020,0.1138,0.0015097603752908743,food and agricultural organisation,Denmark
2020,2.6531,0.03519811293219876,joint united nations programme on hiv aids,Denmark
2020,0.14659999999999998,0.0019449109931251507,european investment bank,Denmark
2020,0.001,1.32667871290938e-05,african development bank,Denmark
2020,2.9187,0.03872177159368607,world health organisation core voluntary contributions account,Denmark
2020,0.0031,4.1127040100190774e-05,united nations,Denmark
2020,6.653100000000001,0.08826526144857397,european commission development share of budget,Denmark
2020,1.0812000000000002,0.014344050243976218,united nations children’s fund,Denmark
2020,7.1456,0.09479915410965266,european commission european development fund,Denmark
2020,2.1304000000000007,0.02826356329982144,international bank for reconstruction and development,Denmark
2020,10.6476,0.14125944263573914,united nations population fund,Denmark
2020,0.6398999999999999,0.008489417083907122,united nations development programme,Denmark
2020,1.8494,0.02453559611654607,world health organisation assessed contributions,Denmark
2021,0.2547,0.0034298457175406913,joint united nations programme on hiv aids,Denmark
2021,1.0884,0.01465663164103372,united nations children’s fund,Denmark
2021,2.7624,0.03719908052663685,united nations relief and works agency for palestine refugees in the near east,Denmark
2021,10.012000000000002,0.13482377433850573,united nations population fund,Denmark
2021,0.3973,0.005350128400388366,international bank for reconstruction and development,Denmark
2021,4.593600000000001,0.061858418877483015,european commission european development fund,Denmark
2021,14.678599999999994,0.19766522712796533,european commission development share of budget,Denmark
2021,0.0005,6.7331089861419154e-06,african development bank,Denmark
2021,0.49440000000000006,0.0066576981654971265,european investment bank,Denmark
2021,19.3108,0.26004344201917856,global fund to fight aids tuberculosis and malaria,Denmark
2021,7.265299999999999,0.0978361134340337,world health organisation core voluntary contributions account,Denmark
2021,0.9654999999999999,0.013001633452240037,united nations development programme,Denmark
2021,1.5835000000000001,0.021323756159111446,world health organisation assessed contributions,Denmark
2021,0.015700000000000002,0.00021141962216485616,united nations,Denmark
2021,10.2545,0.13808933219678454,international development association,Denmark
2021,0.4783,0.006440892056143356,african development fund,Denmark
2021,0.1044,0.001405873156306432,food and agricultural organisation,Denmark
2023,1.7335999999999998,0.02183686091345494,international bank for reconstruction and development,Denmark
2023,19.999399999999998,0.2519174643242678,united nations population fund,Denmark
2023,0.37549999999999994,0.004729892289456812,european commission european development fund,Denmark
2023,0.8054,0.010145020638957435,united nations children’s fund,Denmark
2023,3.4212,0.04309429427613754,global alliance for vaccines and immunization,Denmark
2023,0.6127,0.007717723051265484,world food programme,Denmark
2023,0.8405,0.010587149052698938,global environment facility trust fund,Denmark
2023,0.0513,0.0006461876816221958,african development bank,Denmark
2023,26.794299999999996,0.33750773094911496,european commission development share of budget,Denmark
2023,0.045700000000000005,0.0005756486754412153,united nations,Denmark
2023,0.7098,0.00894081903343927,united nations development programme,Denmark
2023,0.42469999999999997,0.00534962784376114,european investment bank,Denmark
2023,1.9287,0.024294389503795887,joint united nations programme on hiv aids,Denmark
2023,0.11270000000000001,0.0014195974993922312,food and agricultural organisation,Denmark
2023,0.21120000000000003,0.002660328233111262,african development fund,Denmark
2023,9.716299999999999,0.12238895459933215,international development association,Denmark
2023,7.270399999999999,0.09157978402467858,world health organisation core voluntary contributions account,Denmark
2023,1.5779,0.01987562461660161,world health organisation assessed contributions,Denmark
2023,2.7574,0.03473290279347061,united nations relief and works agency for palestine refugees in the near east,Denmark
2019,2.9829,0.035761727554357726,world health organisation core voluntary contributions account,Denmark
2019,0.1608,0.0019278171546953376,european investment bank,Denmark
2019,3.7948,0.04549552573779768,global alliance for vaccines and immunization,Denmark
2019,7.869000000000001,0.09434075367100506,european commission european development fund,Denmark
2019,1.3654,0.01636966133719536,united nations children’s fund,Denmark
2019,8.671799999999998,0.1039654527492974,international development association,Denmark
2019,4.2104,0.05047811783662468,joint united nations programme on hiv aids,Denmark
2019,0.1171,0.0014039016717339802,food and agricultural organisation,Denmark
2019,1.9942,0.023908289613765187,world health organisation assessed contributions,Denmark
2019,0.5976,0.007164574201778195,african development fund,Denmark
2019,6.1713,0.07398717665902572,european commission development share of budget,Denmark
2019,1.7764,0.021297104437815906,united nations relief and works agency for palestine refugees in the near east,Denmark
2019,0.8693,0.01042196176975533,world food programme,Denmark
2019,24.5323,0.2941156018913708,global fund to fight aids tuberculosis and malaria,Denmark
2019,0.0061,7.313236718682561e-05,united nations,Denmark
2019,0.2363,0.0028329800600404745,united nations development programme,Denmark
2019,0.0003,3.5966737960733908e-06,african development bank,Denmark
2019,18.054399999999998,0.21645262461275808,united nations population fund,Denmark
2022,1.5606,0.018523947834777683,world health organisation assessed contributions,Denmark
2022,0.41400000000000003,0.004914080740483123,european investment bank,Denmark
2022,15.0408,0.17853068985859555,united nations population fund,Denmark
2022,3.4177999999999997,0.040568466557543995,global alliance for vaccines and immunization,Denmark
2022,6.9853,0.0829138362234221,world health organisation core voluntary contributions account,Denmark
2022,1.5835000000000001,0.01879576534433581,european commission european development fund,Denmark
2022,0.0306,0.0003632146634270134,united nations,Denmark
2022,7.433999999999999,0.08823979764432736,international development association,Denmark
2022,0.5709,0.006776446122564769,african development fund,Denmark
2022,0.09540000000000001,0.0011323751271548066,food and agricultural organisation,Denmark
2022,2.3337,0.027700459478418992,united nations relief and works agency for palestine refugees in the near east,Denmark
2022,0.8331,0.00988869725820408,united nations development programme,Denmark
2022,0.8730999999999999,0.010363487667912593,united nations children’s fund,Denmark
2022,17.869300000000003,0.21210430670510888,global fund to fight aids tuberculosis and malaria,Denmark
2022,23.746900000000007,0.281870009507678,european commission development share of budget,Denmark
2022,0.020399999999999998,0.00024214310895134225,african development bank,Denmark
2022,1.4383000000000001,0.0170722761570939,international bank for reconstruction and development,Denmark
