"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","EC - Development Share of Budget","2","40.5%","european commission development share of budget","Estonia"
"2019","EC - Development Share of Budget","2.3","48.2%","european commission development share of budget","Estonia"
"2020","EC - Development Share of Budget","2","44.2%","european commission development share of budget","Estonia"
"2021","EC - Development Share of Budget","2","43.4%","european commission development share of budget","Estonia"
"2022","EC - Development Share of Budget","2.6","33.7%","european commission development share of budget","Estonia"
"2018","IFC","NA","NA%","international finance corporation","Estonia"
"2019","IFC","NA","NA%","international finance corporation","Estonia"
"2020","IFC","NA","NA%","international finance corporation","Estonia"
"2021","IFC","0","0%","international finance corporation","Estonia"
"2022","IFC","0.2","2.5%","international finance corporation","Estonia"
"2018","IDA","0.2","4.8%","international development association","Estonia"
"2019","IDA","0.2","4.5%","international development association","Estonia"
"2020","IDA","0.2","4.5%","international development association","Estonia"
"2021","IDA","0.2","4%","international development association","Estonia"
"2022","IDA","0.1","1.8%","international development association","Estonia"
"2018","FAO","0.1","1.4%","food and agricultural organisation","Estonia"
"2019","FAO","NA","NA%","food and agricultural organisation","Estonia"
"2020","FAO","0.1","2.6%","food and agricultural organisation","Estonia"
"2021","FAO","0.1","2.2%","food and agricultural organisation","Estonia"
"2022","FAO","0.1","1.4%","food and agricultural organisation","Estonia"
"2018","IBRD","NA","NA%","international bank for reconstruction and development","Estonia"
"2019","IBRD","NA","NA%","international bank for reconstruction and development","Estonia"
"2020","IBRD","NA","NA%","international bank for reconstruction and development","Estonia"
"2021","IBRD","0.1","2.7%","international bank for reconstruction and development","Estonia"
"2022","IBRD","0.1","0.9%","international bank for reconstruction and development","Estonia"
"2018",NA,"NA","NA%","world organisation for animal health","Estonia"
"2019",NA,"NA","NA%","world organisation for animal health","Estonia"
"2020",NA,"NA","NA%","world organisation for animal health","Estonia"
"2021",NA,"0.1","1.1%","world organisation for animal health","Estonia"
"2022",NA,"0","0.6%","world organisation for animal health","Estonia"
"2018","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","Estonia"
"2019","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","Estonia"
"2020","WHO - assessed contributions","0","0%","world health organisation assessed contributions","Estonia"
"2021","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","Estonia"
"2022","WHO - assessed contributions","0","0%","world health organisation assessed contributions","Estonia"
"2018","UN","NA","NA%","united nations","Estonia"
"2019","UN","NA","NA%","united nations","Estonia"
"2020","UN","NA","NA%","united nations","Estonia"
"2021","UN","NA","NA%","united nations","Estonia"
"2022","UN","0","0%","united nations","Estonia"
"2018","WHO - core voluntary contributions","NA","NA%","world health organisation core voluntary contributions account","Estonia"
"2019","WHO - core voluntary contributions","NA","NA%","world health organisation core voluntary contributions account","Estonia"
"2020","WHO - core voluntary contributions","0","0%","world health organisation core voluntary contributions account","Estonia"
"2021","WHO - core voluntary contributions","0","0%","world health organisation core voluntary contributions account","Estonia"
"2022","WHO - core voluntary contributions","0","0%","world health organisation core voluntary contributions account","Estonia"
"2018","UNICEF","0","0%","united nations childrenâ€™s fund","Estonia"
"2019","UNICEF","0","0%","united nations childrenâ€™s fund","Estonia"
"2020","UNICEF","0","0%","united nations childrenâ€™s fund","Estonia"
"2021","UNICEF","0","0%","united nations childrenâ€™s fund","Estonia"
"2022","UNICEF","0","0%","united nations childrenâ€™s fund","Estonia"
"2018","UNDP","0","0%","united nations development programme","Estonia"
"2019","UNDP","0","0%","united nations development programme","Estonia"
"2020","UNDP","0","0%","united nations development programme","Estonia"
"2021","UNDP","0","0%","united nations development programme","Estonia"
"2022","UNDP","NA","NA%","united nations development programme","Estonia"
"2018","UNECE","0","0%","united nations economic commission for europe extrabudgetary contributions only","Estonia"
"2019","UNECE","0","0%","united nations economic commission for europe extrabudgetary contributions only","Estonia"
"2020","UNECE","NA","NA%","united nations economic commission for europe extrabudgetary contributions only","Estonia"
"2021","UNECE","NA","NA%","united nations economic commission for europe extrabudgetary contributions only","Estonia"
"2022","UNECE","NA","NA%","united nations economic commission for europe extrabudgetary contributions only","Estonia"
"2018","CEB","NA","NA%","council of europe development bank","Estonia"
"2019","CEB","NA","NA%","council of europe development bank","Estonia"
"2020","CEB","0","0%","council of europe development bank","Estonia"
"2021","CEB","NA","NA%","council of europe development bank","Estonia"
"2022","CEB","NA","NA%","council of europe development bank","Estonia"
"2018",NA,"NA","NA%","united nations conference on trade and development","Estonia"
"2019",NA,"NA","NA%","united nations conference on trade and development","Estonia"
"2020",NA,"0","0.1%","united nations conference on trade and development","Estonia"
"2021",NA,"0","0%","united nations conference on trade and development","Estonia"
"2022",NA,"NA","NA%","united nations conference on trade and development","Estonia"
