"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","EC - Development Share of Budget","1.5","22%","european commission development share of budget","Estonia"
"2019","EC - Development Share of Budget","1.9","24.5%","european commission development share of budget","Estonia"
"2020","EC - Development Share of Budget","1.7","23%","european commission development share of budget","Estonia"
"2021","EC - Development Share of Budget","1.6","17.9%","european commission development share of budget","Estonia"
"2022","EC - Development Share of Budget","2.2","19%","european commission development share of budget","Estonia"
"2018","IDA","0.1","1.9%","international development association","Estonia"
"2019","IDA","0.1","1.5%","international development association","Estonia"
"2020","IDA","0.1","1.5%","international development association","Estonia"
"2021","IDA","0.1","1.2%","international development association","Estonia"
"2022","IDA","0.1","0.8%","international development association","Estonia"
"2018","UNRWA","0.1","0.9%","united nations relief and works agency for palestine refugees in the near east","Estonia"
"2019","UNRWA","0.1","0.7%","united nations relief and works agency for palestine refugees in the near east","Estonia"
"2020","UNRWA","0.1","2%","united nations relief and works agency for palestine refugees in the near east","Estonia"
"2021","UNRWA","0.1","0.6%","united nations relief and works agency for palestine refugees in the near east","Estonia"
"2022","UNRWA","0","0.4%","united nations relief and works agency for palestine refugees in the near east","Estonia"
"2018","IBRD","NA","NA%","international bank for reconstruction and development","Estonia"
"2019","IBRD","NA","NA%","international bank for reconstruction and development","Estonia"
"2020","IBRD","NA","NA%","international bank for reconstruction and development","Estonia"
"2021","IBRD","0.1","0.7%","international bank for reconstruction and development","Estonia"
"2022","IBRD","0","0.3%","international bank for reconstruction and development","Estonia"
"2018","UNICEF","0","0.2%","united nations childrenâ€™s fund","Estonia"
"2019","UNICEF","0","0.1%","united nations childrenâ€™s fund","Estonia"
"2020","UNICEF","0","0.3%","united nations childrenâ€™s fund","Estonia"
"2021","UNICEF","0","0%","united nations childrenâ€™s fund","Estonia"
"2022","UNICEF","0","0.1%","united nations childrenâ€™s fund","Estonia"
"2018","FAO","NA","NA%","food and agricultural organisation","Estonia"
"2019","FAO","NA","NA%","food and agricultural organisation","Estonia"
"2020","FAO","0","0%","food and agricultural organisation","Estonia"
"2021","FAO","0","0%","food and agricultural organisation","Estonia"
"2022","FAO","0","0%","food and agricultural organisation","Estonia"
"2018","UNDP","0","0%","united nations development programme","Estonia"
"2019","UNDP","0","0%","united nations development programme","Estonia"
"2020","UNDP","0","0%","united nations development programme","Estonia"
"2021","UNDP","0","0%","united nations development programme","Estonia"
"2022","UNDP","NA","NA%","united nations development programme","Estonia"
"2018","EIB","NA","NA%","european investment bank","Estonia"
"2019","EIB","NA","NA%","european investment bank","Estonia"
"2020","EIB","NA","NA%","european investment bank","Estonia"
"2021","EIB","NA","NA%","european investment bank","Estonia"
"2022","EIB","NA","NA%","european investment bank","Estonia"
"2018","CEB","NA","NA%","council of europe development bank","Estonia"
"2019","CEB","NA","NA%","council of europe development bank","Estonia"
"2020","CEB","0","0%","council of europe development bank","Estonia"
"2021","CEB","NA","NA%","council of europe development bank","Estonia"
"2022","CEB","NA","NA%","council of europe development bank","Estonia"
"2018","IFC","NA","NA%","international finance corporation","Estonia"
"2019","IFC","NA","NA%","international finance corporation","Estonia"
"2020","IFC","NA","NA%","international finance corporation","Estonia"
"2021","IFC","0","0%","international finance corporation","Estonia"
"2022","IFC","NA","NA%","international finance corporation","Estonia"
