"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","EC - Development Share of Budget","236.7","4892.6%","european commission development share of budget","Germany"
"2019","EC - Development Share of Budget","218.3","4542%","european commission development share of budget","Germany"
"2020","EC - Development Share of Budget","211.8","4706.1%","european commission development share of budget","Germany"
"2021","EC - Development Share of Budget","240.4","5216.7%","european commission development share of budget","Germany"
"2022","EC - Development Share of Budget","280.1","3628.5%","european commission development share of budget","Germany"
"2018","GCF","22.3","462%","green climate fund","Germany"
"2019","GCF","NA","NA%","green climate fund","Germany"
"2020","GCF","33","732.8%","green climate fund","Germany"
"2021","GCF","228.8","4963.7%","green climate fund","Germany"
"2022","GCF","244.9","3171.9%","green climate fund","Germany"
"2018","IDA","98.1","2027%","international development association","Germany"
"2019","IDA","92.2","1918.6%","international development association","Germany"
"2020","IDA","84","1867.2%","international development association","Germany"
"2021","IDA","76.3","1656%","international development association","Germany"
"2022","IDA","64.1","830.4%","international development association","Germany"
"2018","Adaptation Fund","45.8","946.5%","adaptation fund","Germany"
"2019","Adaptation Fund","19.8","412.4%","adaptation fund","Germany"
"2020","Adaptation Fund","35.4","787.5%","adaptation fund","Germany"
"2021","Adaptation Fund","32.8","710.7%","adaptation fund","Germany"
"2022","Adaptation Fund","38.6","500.4%","adaptation fund","Germany"
"2018","African Development Fund","24.2","499.4%","african development fund","Germany"
"2019","African Development Fund","27.7","575.5%","african development fund","Germany"
"2020","African Development Fund","26.2","581.5%","african development fund","Germany"
"2021","African Development Fund","24.2","526.1%","african development fund","Germany"
"2022","African Development Fund","22.5","290.9%","african development fund","Germany"
"2018","GEF Fund","9.4","194.1%","global environment facility trust fund","Germany"
"2019","GEF Fund","4.3","88.8%","global environment facility trust fund","Germany"
"2020","GEF Fund","4.4","98.2%","global environment facility trust fund","Germany"
"2021","GEF Fund","9.7","209.5%","global environment facility trust fund","Germany"
"2022","GEF Fund","20.4","264.3%","global environment facility trust fund","Germany"
"2018","IFC","NA","NA%","international finance corporation","Germany"
"2019","IFC","NA","NA%","international finance corporation","Germany"
"2020","IFC","0","0%","international finance corporation","Germany"
"2021","IFC","0","0%","international finance corporation","Germany"
"2022","IFC","16.7","216.9%","international finance corporation","Germany"
"2018","FAO","18","371.6%","food and agricultural organisation","Germany"
"2019","FAO","18.3","380.7%","food and agricultural organisation","Germany"
"2020","FAO","17.8","394.7%","food and agricultural organisation","Germany"
"2021","FAO","15.8","343.3%","food and agricultural organisation","Germany"
"2022","FAO","16.6","215%","food and agricultural organisation","Germany"
"2018","AfDB","2","41.1%","african development bank","Germany"
"2019","AfDB","1","20.7%","african development bank","Germany"
"2020","AfDB","4.3","94.9%","african development bank","Germany"
"2021","AfDB","5","108%","african development bank","Germany"
"2022","AfDB","6.5","84%","african development bank","Germany"
"2018","IBRD","NA","NA%","international bank for reconstruction and development","Germany"
"2019","IBRD","6.1","126.3%","international bank for reconstruction and development","Germany"
"2020","IBRD","5.4","118.9%","international bank for reconstruction and development","Germany"
"2021","IBRD","4.7","101.6%","international bank for reconstruction and development","Germany"
"2022","IBRD","5.6","73%","international bank for reconstruction and development","Germany"
"2018","UNDP","0","0.7%","united nations development programme","Germany"
"2019","UNDP","0.2","3.9%","united nations development programme","Germany"
"2020","UNDP","0.4","8.6%","united nations development programme","Germany"
"2021","UNDP","0.5","11.8%","united nations development programme","Germany"
"2022","UNDP","0.5","7.1%","united nations development programme","Germany"
"2018","UNICEF","0","0.1%","united nations childrenâ€™s fund","Germany"
"2019","UNICEF","0","0.2%","united nations childrenâ€™s fund","Germany"
"2020","UNICEF","0","0.5%","united nations childrenâ€™s fund","Germany"
"2021","UNICEF","0","0.6%","united nations childrenâ€™s fund","Germany"
"2022","UNICEF","0.2","2.3%","united nations childrenâ€™s fund","Germany"
"2018","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","Germany"
"2019","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","Germany"
"2020","WHO - assessed contributions","0","0.9%","world health organisation assessed contributions","Germany"
"2021","WHO - assessed contributions","0.1","2.4%","world health organisation assessed contributions","Germany"
