"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","EC - Development Share of Budget","13.4","276.5%","european commission development share of budget","Greece"
"2019","EC - Development Share of Budget","11.9","248.4%","european commission development share of budget","Greece"
"2020","EC - Development Share of Budget","11.9","265.1%","european commission development share of budget","Greece"
"2021","EC - Development Share of Budget","12.5","270.4%","european commission development share of budget","Greece"
"2022","EC - Development Share of Budget","15.8","204.3%","european commission development share of budget","Greece"
"2018","FAO","1.1","22.6%","food and agricultural organisation","Greece"
"2019","FAO","0.8","17.3%","food and agricultural organisation","Greece"
"2020","FAO","1","22.9%","food and agricultural organisation","Greece"
"2021","FAO","1","21%","food and agricultural organisation","Greece"
"2022","FAO","0.9","12%","food and agricultural organisation","Greece"
"2018",NA,"NA","NA%","world organisation for animal health","Greece"
"2019",NA,"NA","NA%","world organisation for animal health","Greece"
"2020",NA,"NA","NA%","world organisation for animal health","Greece"
"2021",NA,"0.1","1.4%","world organisation for animal health","Greece"
"2022",NA,"0.1","0.8%","world organisation for animal health","Greece"
"2018","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","Greece"
"2019","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","Greece"
"2020","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","Greece"
"2021","WHO - assessed contributions","NA","NA%","world health organisation assessed contributions","Greece"
"2022","WHO - assessed contributions","0","0.2%","world health organisation assessed contributions","Greece"
"2018",NA,"NA","NA%","asian infrastructure investment bank","Greece"
"2019",NA,"0","0.1%","asian infrastructure investment bank","Greece"
"2020",NA,"0","0.1%","asian infrastructure investment bank","Greece"
"2021",NA,"0","0.1%","asian infrastructure investment bank","Greece"
"2022",NA,"0","0.1%","asian infrastructure investment bank","Greece"
"2018","UN","NA","NA%","united nations","Greece"
"2019","UN","NA","NA%","united nations","Greece"
"2020","UN","NA","NA%","united nations","Greece"
"2021","UN","NA","NA%","united nations","Greece"
"2022","UN","0","0%","united nations","Greece"
"2018","UNICEF","NA","NA%","united nations childrenâ€™s fund","Greece"
"2019","UNICEF","NA","NA%","united nations childrenâ€™s fund","Greece"
"2020","UNICEF","NA","NA%","united nations childrenâ€™s fund","Greece"
"2021","UNICEF","NA","NA%","united nations childrenâ€™s fund","Greece"
"2022","UNICEF","0","0%","united nations childrenâ€™s fund","Greece"
"2018","CEB","NA","NA%","council of europe development bank","Greece"
"2019","CEB","NA","NA%","council of europe development bank","Greece"
"2020","CEB","NA","NA%","council of europe development bank","Greece"
"2021","CEB","NA","NA%","council of europe development bank","Greece"
"2022","CEB","NA","NA%","council of europe development bank","Greece"
"2018","IDA","NA","NA%","international development association","Greece"
"2019","IDA","0.3","7%","international development association","Greece"
"2020","IDA","0.4","7.9%","international development association","Greece"
"2021","IDA","NA","NA%","international development association","Greece"
"2022","IDA","NA","NA%","international development association","Greece"
"2018","UNECE","0","0%","united nations economic commission for europe extrabudgetary contributions only","Greece"
"2019","UNECE","0","0%","united nations economic commission for europe extrabudgetary contributions only","Greece"
"2020","UNECE","NA","NA%","united nations economic commission for europe extrabudgetary contributions only","Greece"
"2021","UNECE","NA","NA%","united nations economic commission for europe extrabudgetary contributions only","Greece"
"2022","UNECE","NA","NA%","united nations economic commission for europe extrabudgetary contributions only","Greece"
"2018","EIB","0.1","2.8%","european investment bank","Greece"
"2019","EIB","NA","NA%","european investment bank","Greece"
"2020","EIB","NA","NA%","european investment bank","Greece"
"2021","EIB","NA","NA%","european investment bank","Greece"
"2022","EIB","NA","NA%","european investment bank","Greece"
"2018","IBRD","0.9","18.3%","international bank for reconstruction and development","Greece"
"2019","IBRD","NA","NA%","international bank for reconstruction and development","Greece"
"2020","IBRD","NA","NA%","international bank for reconstruction and development","Greece"
"2021","IBRD","NA","NA%","international bank for reconstruction and development","Greece"
"2022","IBRD","NA","NA%","international bank for reconstruction and development","Greece"
"2018","GEF Fund","NA","NA%","global environment facility trust fund","Greece"
"2019","GEF Fund","NA","NA%","global environment facility trust fund","Greece"
"2020","GEF Fund","0","0%","global environment facility trust fund","Greece"
"2021","GEF Fund","NA","NA%","global environment facility trust fund","Greece"
"2022","GEF Fund","NA","NA%","global environment facility trust fund","Greece"
