Year,ODA,Share,Full Name,donor
2023,0.0063,0.00034274709073005136,united nations relief and works agency for palestine refugees in the near east,Greece
2023,0.0095,0.0005168408511008711,united nations,Greece
2023,0.3362000000000001,0.018290725698959256,european commission european development fund,Greece
2023,17.993299999999998,0.9789128932750845,european commission development share of budget,Greece
2023,0.0356,0.0019367930841253697,asian infrastructure investment bank,Greece
2021,0.0753,0.005059395828854012,food and agricultural organisation,Greece
2021,4.116999999999999,0.2766206192216728,european commission european development fund,Greece
2021,0.0504,0.0033863685228983026,asian infrastructure investment bank,Greece
2021,8.868899999999996,0.5959000752526338,european commission development share of budget,Greece
2021,1.7716,0.11903354117394113,global alliance for vaccines and immunization,Greece
2022,0.016,0.0008108162892992522,united nations population fund,Greece
2022,1.4526999999999999,0.07361705146656397,european commission european development fund,Greece
2022,0.0072,0.00036486733018466347,united nations,Greece
2022,0.05240000000000001,0.0026554233474550513,united nations children’s fund,Greece
2022,1.8320999999999998,0.09284353272657249,world health organisation assessed contributions,Greece
2022,0.0667,0.003380090406016257,food and agricultural organisation,Greece
2022,0.0626,0.0031723187318833243,asian infrastructure investment bank,Greece
2022,0.0107,0.0005422333934688748,united nations relief and works agency for palestine refugees in the near east,Greece
2022,16.232799999999997,0.8226136663085561,european commission development share of budget,Greece
2019,6.5001000000000015,0.6073213801866784,european commission european development fund,Greece
2019,0.0024,0.0002242382905567649,united nations,Greece
2019,0.0011,0.0001027758831718506,united nations economic commission for europe extrabudgetary contributions only,Greece
2019,0.09930000000000001,0.00927785927178615,food and agricultural organisation,Greece
2019,0.2361,0.02205944183352175,international development association,Greece
2019,3.8639000000000006,0.36101430453428507,european commission development share of budget,Greece
2020,0.0056,0.0005187298529030345,united nations relief and works agency for palestine refugees in the near east,Greece
2020,4.1675,0.38603690392382084,european commission development share of budget,Greece
2020,0.0001,9.263033087554189e-06,global environment facility trust fund,Greece
2020,0.0559,0.005178035495942791,asian infrastructure investment bank,Greece
2020,6.134799999999999,0.5682685538552743,european commission european development fund,Greece
2020,0.29039999999999994,0.026899848086257356,international development association,Greece
2020,0.0626,0.005798658712808922,global fund to fight aids tuberculosis and malaria,Greece
2020,0.07869999999999999,0.007290007039905145,food and agricultural organisation,Greece
