"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","IDA","0.5","6.7%","international development association","Hungary"
"2019","IDA","0.4","5.3%","international development association","Hungary"
"2020","IDA","0.3","4.4%","international development association","Hungary"
"2021","IDA","0.4","4%","international development association","Hungary"
"2022","IDA","0.5","4.3%","international development association","Hungary"
"2018","IBRD","NA","NA%","international bank for reconstruction and development","Hungary"
"2019","IBRD","NA","NA%","international bank for reconstruction and development","Hungary"
"2020","IBRD","0.3","4.5%","international bank for reconstruction and development","Hungary"
"2021","IBRD","0.3","3%","international bank for reconstruction and development","Hungary"
"2022","IBRD","0.4","3.5%","international bank for reconstruction and development","Hungary"
"2018","UNICEF","0.2","3.1%","united nations childrenâ€™s fund","Hungary"
"2019","UNICEF","0","0.1%","united nations childrenâ€™s fund","Hungary"
"2020","UNICEF","NA","NA%","united nations childrenâ€™s fund","Hungary"
"2021","UNICEF","NA","NA%","united nations childrenâ€™s fund","Hungary"
"2022","UNICEF","0","0.1%","united nations childrenâ€™s fund","Hungary"
"2018","CEB","0","0%","council of europe development bank","Hungary"
"2019","CEB","0","0%","council of europe development bank","Hungary"
"2020","CEB","0","0%","council of europe development bank","Hungary"
"2021","CEB","0","0%","council of europe development bank","Hungary"
"2022","CEB","0","0%","council of europe development bank","Hungary"
"2018","FAO","NA","NA%","food and agricultural organisation","Hungary"
"2019","FAO","0","0%","food and agricultural organisation","Hungary"
"2020","FAO","0","0%","food and agricultural organisation","Hungary"
"2021","FAO","0","0%","food and agricultural organisation","Hungary"
"2022","FAO","0","0%","food and agricultural organisation","Hungary"
"2018","EC - Development Share of Budget","NA","NA%","european commission development share of budget","Hungary"
"2019","EC - Development Share of Budget","7.7","99.9%","european commission development share of budget","Hungary"
"2020","EC - Development Share of Budget","9.9","130.1%","european commission development share of budget","Hungary"
"2021","EC - Development Share of Budget","7.5","84.6%","european commission development share of budget","Hungary"
"2022","EC - Development Share of Budget","NA","NA%","european commission development share of budget","Hungary"
"2018","IFC","NA","NA%","international finance corporation","Hungary"
"2019","IFC","NA","NA%","international finance corporation","Hungary"
"2020","IFC","NA","NA%","international finance corporation","Hungary"
"2021","IFC","0","0%","international finance corporation","Hungary"
"2022","IFC","NA","NA%","international finance corporation","Hungary"
"2018","UNRWA","NA","NA%","united nations relief and works agency for palestine refugees in the near east","Hungary"
"2019","UNRWA","NA","NA%","united nations relief and works agency for palestine refugees in the near east","Hungary"
"2020","UNRWA","NA","NA%","united nations relief and works agency for palestine refugees in the near east","Hungary"
"2021","UNRWA","NA","NA%","united nations relief and works agency for palestine refugees in the near east","Hungary"
"2022","UNRWA","NA","NA%","united nations relief and works agency for palestine refugees in the near east","Hungary"
"2018","WFP","0","0%","world food programme","Hungary"
"2019","WFP","0","0%","world food programme","Hungary"
"2020","WFP","NA","NA%","world food programme","Hungary"
"2021","WFP","NA","NA%","world food programme","Hungary"
"2022","WFP","NA","NA%","world food programme","Hungary"
"2018","EIB","NA","NA%","european investment bank","Hungary"
"2019","EIB","NA","NA%","european investment bank","Hungary"
"2020","EIB","NA","NA%","european investment bank","Hungary"
"2021","EIB","0","0.1%","european investment bank","Hungary"
"2022","EIB","NA","NA%","european investment bank","Hungary"
"2018","UNIDO","NA","NA%","united nations industrial development organisation","Hungary"
"2019","UNIDO","NA","NA%","united nations industrial development organisation","Hungary"
"2020","UNIDO","0","0.1%","united nations industrial development organisation","Hungary"
"2021","UNIDO","0","0.1%","united nations industrial development organisation","Hungary"
"2022","UNIDO","NA","NA%","united nations industrial development organisation","Hungary"
"2018","WTO - international trade centre","NA","NA%","world trade organisation international trade centre","Hungary"
"2019","WTO - international trade centre","NA","NA%","world trade organisation international trade centre","Hungary"
"2020","WTO - international trade centre","0","0.1%","world trade organisation international trade centre","Hungary"
"2021","WTO - international trade centre","NA","NA%","world trade organisation international trade centre","Hungary"
"2022","WTO - international trade centre","NA","NA%","world trade organisation international trade centre","Hungary"
