Year,ODA,Share,Full Name,donor
2020,2.6811000000000003,0.25800646676161515,european commission european development fund,Hungary
2020,0.048,0.004619115439393355,food and agricultural organisation,Hungary
2020,0.5333,0.051320297163093255,international development association,Hungary
2020,0.0004,3.84926286616113e-05,world food programme,Hungary
2020,4.2207,0.40616459448015696,european commission development share of budget,Hungary
2020,0.5989000000000001,0.05763308826359752,international bank for reconstruction and development,Hungary
2020,1.5027,0.14460718272450823,asian infrastructure investment bank,Hungary
2020,0.8047,0.07743754570999652,world health organisation assessed contributions,Hungary
2020,0.0013,0.0001251010431502367,united nations,Hungary
2020,0.0005,4.811578582701412e-05,council of europe development bank,Hungary
2022,0.0399,0.009217122132643396,united nations children’s fund,Hungary
2022,0.7371,0.17027420360830695,world health organisation assessed contributions,Hungary
2022,0.0361,0.00833930097715355,united nations,Hungary
2022,0.8996999999999999,0.20783570884058306,european commission european development fund,Hungary
2022,0.9288999999999998,0.2145810714038208,international development association,Hungary
2022,1.6606999999999996,0.3836309455057866,international bank for reconstruction and development,Hungary
2022,0.0014999999999999998,0.0003465083508512555,council of europe development bank,Hungary
2022,0.0002,4.6201113446834074e-05,food and agricultural organisation,Hungary
2022,0.0248,0.0057289380674074245,international finance corporation,Hungary
2019,0.7997000000000001,0.10528741080127448,world health organisation assessed contributions,Hungary
2019,2.8667999999999996,0.3774389762224504,european commission european development fund,Hungary
2019,0.0002,2.6331727097980358e-05,council of europe development bank,Hungary
2019,0.0016,0.00021065381678384286,united nations,Hungary
2019,0.0003,3.949759064697053e-05,world food programme,Hungary
2019,3.2796,0.4317876609526819,european commission development share of budget,Hungary
2019,0.0568,0.007478210495826422,food and agricultural organisation,Hungary
2019,0.5737999999999999,0.07554572504410563,international development association,Hungary
2019,0.016599999999999997,0.002185533349132369,united nations children’s fund,Hungary
2023,0.9259999999999998,0.3593604470661285,international bank for reconstruction and development,Hungary
2023,0.0103,0.003997205836696679,international finance corporation,Hungary
2023,0.5788,0.224619683328159,world health organisation assessed contributions,Hungary
2023,0.7494999999999998,0.2908646383110835,international development association,Hungary
2023,0.1326,0.05145917416951258,european investment bank,Hungary
2023,0.0007999999999999999,0.00031046258925799446,council of europe development bank,Hungary
2023,0.0374,0.014514126047811243,united nations,Hungary
2023,0.020599999999999997,0.007994411673393357,united nations children’s fund,Hungary
2023,0.12080000000000002,0.046879850977957174,european commission european development fund,Hungary
2021,0.0434,0.0036704075505526765,food and agricultural organisation,Hungary
2021,0.0002,1.691432050945934e-05,united nations,Hungary
2021,0.0012000000000000001,0.00010148592305675604,council of europe development bank,Hungary
2021,0.8126,0.06872288422993329,international bank for reconstruction and development,Hungary
2021,0.7358,0.062227785154300906,world health organisation assessed contributions,Hungary
2021,1.7476999999999996,0.1478057897719104,european commission european development fund,Hungary
2021,0.16999999999999998,0.014377172433040436,european investment bank,Hungary
2021,0.5062,0.04281014520944158,asian infrastructure investment bank,Hungary
2021,0.0004,3.382864101891868e-05,world food programme,Hungary
2021,7.192599999999998,0.608289708481686,european commission development share of budget,Hungary
2021,0.6142000000000001,0.05194387828454963,international development association,Hungary
