Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADB,0.02,0.0%,asian development bank,Ireland
2020,ADB,0.09,0.0%,asian development bank,Ireland
2020,ADF,0.18,0.0%,african development fund,Ireland
2021,ADF,0.17,0.0%,african development fund,Ireland
2022,ADF,0.21,0.0%,african development fund,Ireland
2023,ADF,0.14,0.0%,african development fund,Ireland
2020,AIIB,0.69,0.01%,asian infrastructure investment bank,Ireland
2021,AIIB,0.66,0.0%,asian infrastructure investment bank,Ireland
2020,AfDB,0.0,0.0%,african development bank,Ireland
2021,AfDB,0.0,0.0%,african development bank,Ireland
2022,AfDB,0.03,0.0%,african development bank,Ireland
2023,AfDB,0.08,0.0%,african development bank,Ireland
2019,CEB,0.0,0.0%,council of europe development bank,Ireland
2020,CEB,0.0,0.0%,council of europe development bank,Ireland
2021,CEB,0.0,0.0%,council of europe development bank,Ireland
2022,CEB,0.0,0.0%,council of europe development bank,Ireland
2023,CEB,0.0,0.0%,council of europe development bank,Ireland
2019,EC-DSB,5.34,0.05%,european commission development share of budget,Ireland
2020,EC-DSB,5.74,0.04%,european commission development share of budget,Ireland
2021,EC-DSB,14.61,0.1%,european commission development share of budget,Ireland
2022,EC-DSB,26.9,0.17%,european commission development share of budget,Ireland
2023,EC-DSB,31.25,0.2%,european commission development share of budget,Ireland
2019,EC-EDF,3.66,0.03%,european commission european development fund,Ireland
2020,EC-EDF,3.44,0.03%,european commission european development fund,Ireland
2021,EC-EDF,2.32,0.02%,european commission european development fund,Ireland
2022,EC-EDF,0.79,0.01%,european commission european development fund,Ireland
2023,EC-EDF,0.18,0.0%,european commission european development fund,Ireland
2019,EIB,0.07,0.0%,european investment bank,Ireland
2020,EIB,0.07,0.0%,european investment bank,Ireland
2021,EIB,0.24,0.0%,european investment bank,Ireland
2022,EIB,0.21,0.0%,european investment bank,Ireland
2023,EIB,0.2,0.0%,european investment bank,Ireland
2019,FAO,0.11,0.0%,food and agricultural organisation,Ireland
2020,FAO,0.08,0.0%,food and agricultural organisation,Ireland
2021,FAO,0.09,0.0%,food and agricultural organisation,Ireland
2022,FAO,0.06,0.0%,food and agricultural organisation,Ireland
2023,FAO,0.07,0.0%,food and agricultural organisation,Ireland
2019,GAVI,3.33,0.03%,global alliance for vaccines and immunization,Ireland
2020,GAVI,3.38,0.03%,global alliance for vaccines and immunization,Ireland
2021,GAVI,3.44,0.02%,global alliance for vaccines and immunization,Ireland
2022,GAVI,3.21,0.02%,global alliance for vaccines and immunization,Ireland
2023,GAVI,4.08,0.03%,global alliance for vaccines and immunization,Ireland
2022,GCF,0.0,0.0%,green climate fund,Ireland
