"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","EC - Development Share of Budget","128.7","2660.7%","european commission development share of budget","Italy"
"2019","EC - Development Share of Budget","118.7","2469.2%","european commission development share of budget","Italy"
"2020","EC - Development Share of Budget","111.2","2471%","european commission development share of budget","Italy"
"2021","EC - Development Share of Budget","129.3","2806.1%","european commission development share of budget","Italy"
"2022","EC - Development Share of Budget","157.2","2036.3%","european commission development share of budget","Italy"
"2018","IDA","46","951.5%","international development association","Italy"
"2019","IDA","48","997.7%","international development association","Italy"
"2020","IDA","35.1","780.1%","international development association","Italy"
"2021","IDA","27.8","603.3%","international development association","Italy"
"2022","IDA","28.2","365.5%","international development association","Italy"
"2018","FAO","11.2","231.8%","food and agricultural organisation","Italy"
"2019","FAO","11.1","229.9%","food and agricultural organisation","Italy"
"2020","FAO","10.2","226.2%","food and agricultural organisation","Italy"
"2021","FAO","9.8","212.6%","food and agricultural organisation","Italy"
"2022","FAO","14.1","182%","food and agricultural organisation","Italy"
"2018","IFC","NA","NA%","international finance corporation","Italy"
"2019","IFC","NA","NA%","international finance corporation","Italy"
"2020","IFC","0","0%","international finance corporation","Italy"
"2021","IFC","0","0%","international finance corporation","Italy"
"2022","IFC","12.3","159.8%","international finance corporation","Italy"
"2018","African Development Fund","16.6","342.6%","african development fund","Italy"
"2019","African Development Fund","20.9","434.9%","african development fund","Italy"
"2020","African Development Fund","14.5","321.1%","african development fund","Italy"
"2021","African Development Fund","7.7","166.4%","african development fund","Italy"
"2022","African Development Fund","8.4","108.8%","african development fund","Italy"
"2018","Adaptation Fund","4.4","91.1%","adaptation fund","Italy"
"2019","Adaptation Fund","4.5","93.7%","adaptation fund","Italy"
"2020","Adaptation Fund","20.7","461%","adaptation fund","Italy"
"2021","Adaptation Fund","NA","NA%","adaptation fund","Italy"
"2022","Adaptation Fund","6.6","85.4%","adaptation fund","Italy"
"2018","IBRD","0","0.4%","international bank for reconstruction and development","Italy"
"2019","IBRD","0","0.2%","international bank for reconstruction and development","Italy"
"2020","IBRD","3.5","77%","international bank for reconstruction and development","Italy"
"2021","IBRD","3.5","75.7%","international bank for reconstruction and development","Italy"
"2022","IBRD","3.3","43.1%","international bank for reconstruction and development","Italy"
"2018","AfDB","0.5","10.1%","african development bank","Italy"
"2019","AfDB","NA","NA%","african development bank","Italy"
"2020","AfDB","1.9","41.1%","african development bank","Italy"
"2021","AfDB","1.9","40.7%","african development bank","Italy"
"2022","AfDB","2.3","29.7%","african development bank","Italy"
"2018","GEF Fund","1.5","30.3%","global environment facility trust fund","Italy"
"2019","GEF Fund","1.3","26.1%","global environment facility trust fund","Italy"
"2020","GEF Fund","1.6","35.1%","global environment facility trust fund","Italy"
"2021","GEF Fund","3.1","66.8%","global environment facility trust fund","Italy"
"2022","GEF Fund","1.6","21.3%","global environment facility trust fund","Italy"
"2018",NA,"NA","NA%","world organisation for animal health","Italy"
"2019",NA,"NA","NA%","world organisation for animal health","Italy"
"2020",NA,"NA","NA%","world organisation for animal health","Italy"
"2021",NA,"0.5","10.5%","world organisation for animal health","Italy"
"2022",NA,"0.5","6.1%","world organisation for animal health","Italy"
"2018","WHO - core voluntary contributions","NA","NA%","world health organisation core voluntary contributions account","Italy"
"2019","WHO - core voluntary contributions","NA","NA%","world health organisation core voluntary contributions account","Italy"
