Year,ODA,Share,Full Name,donor
2022,11.886299999999999,0.03856635169120183,european commission european development fund,Italy
2022,0.18080000000000002,0.0005866246338868523,united nations,Italy
2022,0.09439999999999998,0.0003062907380471175,inter american development bank inter american investment corporation and multilateral investment fund,Italy
2022,0.9522,0.0030895131437337427,food and agricultural organisation,Italy
2022,0.2287,0.0007420412266035569,world food programme,Italy
2022,57.8052,0.18755505689577584,global fund to fight aids tuberculosis and malaria,Italy
2022,0.044500000000000005,0.00014438493477856708,african development bank,Italy
2022,152.7337,0.4955605688312186,european commission development share of budget,Italy
2022,0.0465,0.00015087414533041278,international finance corporation,Italy
2022,1.7978,0.005833151365054109,african development fund,Italy
2022,1.1611999999999998,0.003767635646401619,united nations children’s fund,Italy
2022,1.5808,0.005129072020178849,united nations population fund,Italy
2022,13.7287,0.0445442124515621,world health organisation core voluntary contributions account,Italy
2022,0.26359999999999995,0.0008552779507332645,global environment facility trust fund,Italy
2022,0.26269999999999993,0.0008523578059849338,united nations development programme,Italy
2022,0.0156,5.061584230439654e-05,council of europe development bank,Italy
2022,5.5702,0.018073100307945487,international bank for reconstruction and development,Italy
2022,32.76220000000001,0.10630040697083978,international development association,Italy
2022,1.2263,0.0039788594498641975,united nations relief and works agency for palestine refugees in the near east,Italy
2022,25.8625,0.08391360394855485,global alliance for vaccines and immunization,Italy
2019,1.1372999999999998,0.004861255668366018,united nations children’s fund,Italy
2019,0.0201,8.591509622277058e-05,united nations,Italy
2019,1.2553999999999998,0.005366060288461004,food and agricultural organisation,Italy
2019,62.370000000000005,0.26659326126438815,global fund to fight aids tuberculosis and malaria,Italy
2019,36.5207,0.1561034554538775,european commission development share of budget,Italy
2019,1.7570000000000001,0.007510090749423279,united nations population fund,Italy
2019,1.2594,0.005383157820047626,united nations relief and works agency for palestine refugees in the near east,Italy
2019,31.0206,0.13259392208398393,global alliance for vaccines and immunization,Italy
2019,0.43570000000000003,0.0018623486280726937,inter american development bank inter american investment corporation and multilateral investment fund,Italy
2019,0.004,1.709753158662101e-05,international bank for reconstruction and development,Italy
2019,32.0966,0.137193158080785,international development association,Italy
2019,52.0237,0.22236921350072386,european commission european development fund,Italy
2019,12.216,0.05221586146554057,world health organisation assessed contributions,Italy
2019,0.3663,0.0015657064550448191,world food programme,Italy
2019,1.3467,0.0057563114469256285,african development fund,Italy
2019,0.0155,6.625293489815641e-05,council of europe development bank,Italy
2019,0.0262,0.00011198883189236763,global environment facility trust fund,Italy
2019,0.0807,0.00034494269976007887,united nations development programme,Italy
2023,1.6895,0.0054857493900574,african development fund,Italy
2023,0.1115,0.0003620367309804085,united nations development programme,Italy
2023,0.29410000000000003,0.0009549327585770238,united nations,Italy
2023,0.0061,1.9806493802515625e-05,green climate fund,Italy
2023,0.10969999999999999,0.0003561921918255678,african development bank,Italy
2023,35.489,0.11523158337007817,international development association,Italy
2023,5.4784,0.017788179614377307,international bank for reconstruction and development,Italy
2023,0.32250000000000006,0.0010471465985756212,united nations children’s fund,Italy
2023,62.9325,0.2043397002011171,global fund to fight aids tuberculosis and malaria,Italy
2023,0.2011,0.0006529649022435888,world food programme,Italy
2023,0.7413,0.0024069760419352182,food and agricultural organisation,Italy
2023,0.27969999999999995,0.0009081764453382982,global environment facility trust fund,Italy
2023,1.0777,0.003499255470650998,international centre for genetic engineering and biotechnology,Italy
2023,0.0302,9.8058379153438e-05,international finance corporation,Italy
2023,2.7848999999999995,0.009042476162397664,european commission european development fund,Italy
2023,8.981900000000001,0.02916392568603526,world health organisation assessed contributions,Italy
2023,0.0108,3.5067234929044054e-05,council of europe development bank,Italy
2023,1.6552999999999998,0.005374703146115427,united nations population fund,Italy
2023,20.387999999999998,0.06619914682716205,global alliance for vaccines and immunization,Italy
2023,165.3956,0.537033922354648,european commission development share of budget,Italy
2021,0.11850000000000001,0.00017801535859428858,united nations,Italy
2021,0.0836,0.00012558720656947277,inter american development bank inter american investment corporation and multilateral investment fund,Italy
2021,0.0174,2.6138964046756293e-05,council of europe development bank,Italy
2021,0.0018,2.704030763457548e-06,caribbean development bank,Italy
2021,1.1997,0.0018022365038444556,international centre for genetic engineering and biotechnology,Italy
2021,32.02049999999999,0.048102453922940214,european commission european development fund,Italy
2021,13.1817,0.01980206795259353,world health organisation assessed contributions,Italy
2021,86.90359999999998,0.13055000436400518,european commission development share of budget,Italy
2021,1.202,0.0018056916542644292,african development fund,Italy
2021,0.7196000000000001,0.0010810114096578066,food and agricultural organisation,Italy
2021,0.2648,0.00039779297009086593,world food programme,Italy
2021,24.789800000000003,0.03724021212219996,international development association,Italy
2021,4.707,0.007071040446441488,international bank for reconstruction and development,Italy
2021,1.1551,0.0017352366304832299,united nations children’s fund,Italy
2021,60.167500000000004,0.09038598386685112,global fund to fight aids tuberculosis and malaria,Italy
2021,0.7843,0.0011782062932109748,global environment facility trust fund,Italy
2021,0.001,1.502239313031971e-06,african development bank,Italy
2021,436.1645,0.6552234588489331,global alliance for vaccines and immunization,Italy
2021,1.1757,0.0017661827603316883,united nations relief and works agency for palestine refugees in the near east,Italy
2021,0.8355999999999999,0.0012552711699695149,united nations population fund,Italy
2021,0.1792,0.0002692012848953292,united nations development programme,Italy
2020,0.0078,3.495203057854574e-05,council of europe development bank,Italy
2020,47.9254,0.21475513413962,european commission european development fund,Italy
2020,36.9416,0.1655364016436417,european commission development share of budget,Italy
2020,2.1314,0.009550866407065692,african development fund,Italy
2020,27.156499999999994,0.12168907928285605,international development association,Italy
2020,0.8749,0.003920452763226881,united nations population fund,Italy
