"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","IDA","144.6","2127.1%","international development association","Japan"
"2019","IDA","134.6","1758%","international development association","Japan"
"2020","IDA","61.7","814.4%","international development association","Japan"
"2021","IDA","75.2","846.8%","international development association","Japan"
"2022","IDA","80.4","688.9%","international development association","Japan"
"2018","IBRD","NA","NA%","international bank for reconstruction and development","Japan"
"2019","IBRD","22.6","294.6%","international bank for reconstruction and development","Japan"
"2020","IBRD","NA","NA%","international bank for reconstruction and development","Japan"
"2021","IBRD","NA","NA%","international bank for reconstruction and development","Japan"
"2022","IBRD","6.7","57.5%","international bank for reconstruction and development","Japan"
"2018","African Development Fund","30","440.7%","african development fund","Japan"
"2019","African Development Fund","15.9","208.2%","african development fund","Japan"
"2020","African Development Fund","4.8","63.1%","african development fund","Japan"
"2021","African Development Fund","14.5","163.6%","african development fund","Japan"
"2022","African Development Fund","1.9","16.1%","african development fund","Japan"
"2018","UNICEF","1.1","16.1%","united nations childrenâ€™s fund","Japan"
"2019","UNICEF","1.2","15.3%","united nations childrenâ€™s fund","Japan"
"2020","UNICEF","1.2","16.4%","united nations childrenâ€™s fund","Japan"
"2021","UNICEF","1.4","15.3%","united nations childrenâ€™s fund","Japan"
"2022","UNICEF","1.6","14.1%","united nations childrenâ€™s fund","Japan"
"2018","UNRWA","1","14.9%","united nations relief and works agency for palestine refugees in the near east","Japan"
"2019","UNRWA","1","13.6%","united nations relief and works agency for palestine refugees in the near east","Japan"
"2020","UNRWA","1","13.7%","united nations relief and works agency for palestine refugees in the near east","Japan"
"2021","UNRWA","1","10.9%","united nations relief and works agency for palestine refugees in the near east","Japan"
"2022","UNRWA","1.2","10.1%","united nations relief and works agency for palestine refugees in the near east","Japan"
"2018","AfDB","0.6","9.1%","african development bank","Japan"
"2019","AfDB","NA","NA%","african development bank","Japan"
"2020","AfDB","0.5","7.2%","african development bank","Japan"
"2021","AfDB","0.1","1.4%","african development bank","Japan"
"2022","AfDB","0.3","2.2%","african development bank","Japan"
"2018","UNIDO","NA","NA%","united nations industrial development organisation","Japan"
"2019","UNIDO","NA","NA%","united nations industrial development organisation","Japan"
"2020","UNIDO","0.3","3.8%","united nations industrial development organisation","Japan"
"2021","UNIDO","0.2","2.8%","united nations industrial development organisation","Japan"
"2022","UNIDO","0.2","2%","united nations industrial development organisation","Japan"
"2018","UNDP","0","0.1%","united nations development programme","Japan"
"2019","UNDP","0","0.5%","united nations development programme","Japan"
"2020","UNDP","0","0.5%","united nations development programme","Japan"
"2021","UNDP","0","0%","united nations development programme","Japan"
"2022","UNDP","0.2","1.5%","united nations development programme","Japan"
"2018","IDB, IIC and MIF","0.2","3.3%","inter american development bank inter american investment corporation and multilateral investment fund","Japan"
"2019","IDB, IIC and MIF","1.8","23.3%","inter american development bank inter american investment corporation and multilateral investment fund","Japan"
"2020","IDB, IIC and MIF","0.1","0.8%","inter american development bank inter american investment corporation and multilateral investment fund","Japan"
"2021","IDB, IIC and MIF","0","0.2%","inter american development bank inter american investment corporation and multilateral investment fund","Japan"
"2022","IDB, IIC and MIF","0","0.2%","inter american development bank inter american investment corporation and multilateral investment fund","Japan"
"2018","FAO","NA","NA%","food and agricultural organisation","Japan"
"2019","FAO","0.1","0.8%","food and agricultural organisation","Japan"
"2020","FAO","0.1","0.8%","food and agricultural organisation","Japan"
"2021","FAO","0.1","0.7%","food and agricultural organisation","Japan"
"2022","FAO","0","0.1%","food and agricultural organisation","Japan"
"2018","Adaptation Fund","NA","NA%","adaptation fund","Japan"
"2019","Adaptation Fund","NA","NA%","adaptation fund","Japan"
"2020","Adaptation Fund","NA","NA%","adaptation fund","Japan"
"2021","Adaptation Fund","NA","NA%","adaptation fund","Japan"
"2022","Adaptation Fund","0","0%","adaptation fund","Japan"
"2018","IADB Fund for special operations","NA","NA%","inter american development bank fund for special operations","Japan"
"2019","IADB Fund for special operations","NA","NA%","inter american development bank fund for special operations","Japan"
"2020","IADB Fund for special operations","NA","NA%","inter american development bank fund for special operations","Japan"
"2021","IADB Fund for special operations","NA","NA%","inter american development bank fund for special operations","Japan"
"2022","IADB Fund for special operations","NA","NA%","inter american development bank fund for special operations","Japan"
"2018","WFP","0.2","3.2%","world food programme","Japan"
"2019","WFP","0.1","1.1%","world food programme","Japan"
"2020","WFP","NA","NA%","world food programme","Japan"
"2021","WFP","NA","NA%","world food programme","Japan"
"2022","WFP","NA","NA%","world food programme","Japan"
"2018","IFC","NA","NA%","international finance corporation","Japan"
"2019","IFC","NA","NA%","international finance corporation","Japan"
"2020","IFC","0","0%","international finance corporation","Japan"
"2021","IFC","0","0%","international finance corporation","Japan"
"2022","IFC","NA","NA%","international finance corporation","Japan"
