Year,ODA,Share,Full Name,donor
2023,2.423,0.004055624488339369,african development fund,Japan
2023,0.2017,0.0003376060500611022,african development bank,Japan
2023,0.6835,0.001144044299537746,united nations,Japan
2023,0.012400000000000001,2.075515627544704e-05,food and agricultural organisation,Japan
2023,2.2876000000000003,0.0038289915722348913,united nations development programme,Japan
2023,10.446800000000001,0.017485884401479045,united nations population fund,Japan
2023,0.0574,9.607628792021452e-05,green climate fund,Japan
2023,22.970000000000002,0.0384472531973402,world health organisation assessed contributions,Japan
2023,0.1993,0.00033358892304004794,joint united nations programme on hiv aids,Japan
2023,2.2689,0.003797691457529176,united nations children’s fund,Japan
2023,315.78369999999995,0.528559680866039,global fund to fight aids tuberculosis and malaria,Japan
2023,20.386499999999998,0.034122983339467824,asian development bank,Japan
2023,14.424000000000001,0.024142933396536136,global alliance for vaccines and immunization,Japan
2023,0.9606999999999999,0.0016080224704695136,international bank for reconstruction and development,Japan
2023,201.88499999999996,0.33791570360230844,international development association,Japan
2023,2.4514,0.004103160491421844,global environment facility trust fund,Japan
2021,2.5172,0.007399381405600273,united nations children’s fund,Japan
2021,0.5254,0.001544428329295401,united nations development programme,Japan
2021,20.4322,0.06006103637196326,world health organisation assessed contributions,Japan
2021,0.0598,0.00017578381060499615,world food programme,Japan
2021,0.2119,0.0006228861114916168,united nations,Japan
2021,12.0521,0.03542749270555977,african development fund,Japan
2021,0.0284,8.3482612394346e-05,joint united nations programme on hiv aids,Japan
2021,1.386,0.004074186647132519,food and agricultural organisation,Japan
2021,94.94979999999997,0.27910765318030534,international development association,Japan
2021,0.1968,0.0005784992295495525,united nations relief and works agency for palestine refugees in the near east,Japan
2021,3.5312,0.010380063411511079,global environment facility trust fund,Japan
2021,12.931999999999999,0.038013983925481776,world health organisation core voluntary contributions account,Japan
2021,0.0016,4.70324576869555e-06,african development bank,Japan
2021,39.0617,0.11482298452690934,global alliance for vaccines and immunization,Japan
2021,0.0679,0.0001995939923090174,inter american development bank inter american investment corporation and multilateral investment fund,Japan
2021,148.4996,0.4365188220956135,global fund to fight aids tuberculosis and malaria,Japan
2021,3.737,0.010985018398509542,united nations population fund,Japan
2022,173.79410000000001,0.457474968320494,global fund to fight aids tuberculosis and malaria,Japan
2022,2.9913000000000003,0.007873943204844662,african development fund,Japan
2022,0.096,0.0002526990096831102,international finance corporation,Japan
2022,1.4052,0.0036988817542365254,food and agricultural organisation,Japan
2022,0.07830000000000001,0.00020610762977278676,african development bank,Japan
2022,0.47040000000000004,0.00123822514744724,united nations,Japan
2022,8.034,0.021147748372855286,world health organisation core voluntary contributions account,Japan
2022,0.106,0.0002790218231917675,world food programme,Japan
2022,2.8568000000000002,0.007519901363153221,united nations children’s fund,Japan
2022,2.4916,0.0065585922138170554,united nations development programme,Japan
2022,7.4704999999999995,0.019664457831642442,united nations population fund,Japan
2022,27.7779,0.07311924813621319,global alliance for vaccines and immunization,Japan
2022,0.0831,0.00021874258025694223,inter american development bank inter american investment corporation and multilateral investment fund,Japan
2022,0.033,8.686528457856913e-05,green climate fund,Japan
2022,22.558899999999998,0.05938137176604494,world health organisation assessed contributions,Japan
2022,109.24079999999998,0.2875525205936531,international development association,Japan
2022,0.2452,0.0006454353872322773,united nations relief and works agency for palestine refugees in the near east,Japan
2022,20.165499999999994,0.053081269580882884,international bank for reconstruction and development,Japan
2019,0.10220000000000001,0.00021151384515406675,world food programme,Japan
2019,5.3634,0.011100130695688076,united nations population fund,Japan
2019,24.5858,0.050882946127092495,world health organisation assessed contributions,Japan
2019,0.98,0.0020282149535321464,united nations development programme,Japan
2019,2.3439,0.00485095207100408,food and agricultural organisation,Japan
2019,140.1123,0.2899774102385532,international development association,Japan
2019,0.2279,0.0004716634570509961,united nations relief and works agency for palestine refugees in the near east,Japan
2019,0.12229999999999999,0.0002531129477724301,global environment facility trust fund,Japan
2019,0.4438,0.0009184916289567005,joint united nations programme on hiv aids,Japan
2019,2.4258,0.005020452892120695,inter american development bank inter american investment corporation and multilateral investment fund,Japan
2019,2.4747,0.005121656679087758,united nations children’s fund,Japan
2019,7.3553999999999995,0.01522278802980648,world health organisation core voluntary contributions account,Japan
2019,2.3833,0.004932494590564454,african development fund,Japan
2019,0.0422,8.733741942760877e-05,united nations,Japan
2019,0.121,0.0002504224585483569,global alliance for vaccines and immunization,Japan
2019,12.1433,0.02513185984206828,international bank for reconstruction and development,Japan
2019,281.95619999999997,0.583538552123572,global fund to fight aids tuberculosis and malaria,Japan
2020,1.7451000000000003,0.003088159877174374,united nations development programme,Japan
2020,2.1336,0.003775656360059162,african development fund,Japan
2020,0.0032,5.662776693002118e-06,african development bank,Japan
2020,1.3276999999999999,0.0023495214422809096,food and agricultural organisation,Japan
2020,3.9970000000000003,0.007073162013102958,united nations population fund,Japan
2020,0.0534,9.449758606447284e-05,world food programme,Japan
2020,374.8638,0.6633656217781898,global fund to fight aids tuberculosis and malaria,Japan
2020,0.2792,0.0004940772664644348,joint united nations programme on hiv aids,Japan
2020,0.765,0.0013537575531708188,global environment facility trust fund,Japan
2020,46.6169,0.08249409213125326,world health organisation core voluntary contributions account,Japan
2020,2.4596,0.004352551735658752,united nations children’s fund,Japan
2020,72.3548,0.12804033595838427,international development association,Japan
2020,0.2112,0.00037374326173813974,united nations relief and works agency for palestine refugees in the near east,Japan
2020,21.158599999999993,0.0374426334176733,world health organisation assessed contributions,Japan
2020,0.2099,0.00037144275870660767,inter american development bank inter american investment corporation and multilateral investment fund,Japan
2020,36.8782,0.06526031607495959,global alliance for vaccines and immunization,Japan
2020,0.0366,6.476800842621173e-05,united nations,Japan
