Year,Multi_short,ODA,Share,Full Name,Donor
2019,CEB,0.0,,council of europe development bank,Latvia
2020,CEB,0.0,,council of europe development bank,Latvia
2021,CEB,0.0,,council of europe development bank,Latvia
2022,CEB,0.0,,council of europe development bank,Latvia
2023,CEB,0.0,,council of europe development bank,Latvia
2019,EC-DSB,0.71,,european commission development share of budget,Latvia
2020,EC-DSB,0.77,,european commission development share of budget,Latvia
2021,EC-DSB,1.76,,european commission development share of budget,Latvia
2022,EC-DSB,3.02,,european commission development share of budget,Latvia
2023,EC-DSB,3.55,,european commission development share of budget,Latvia
2019,EC-EDF,0.53,,european commission european development fund,Latvia
2020,EC-EDF,0.49,,european commission european development fund,Latvia
2021,EC-EDF,0.35,,european commission european development fund,Latvia
2022,EC-EDF,0.11,,european commission european development fund,Latvia
2023,EC-EDF,0.03,,european commission european development fund,Latvia
2019,FAO,0.02,,food and agricultural organisation,Latvia
2020,FAO,0.01,,food and agricultural organisation,Latvia
2021,FAO,0.01,,food and agricultural organisation,Latvia
2022,FAO,0.01,,food and agricultural organisation,Latvia
2023,FAO,0.01,,food and agricultural organisation,Latvia
2020,IBRD,0.08,,international bank for reconstruction and development,Latvia
2021,IBRD,0.14,,international bank for reconstruction and development,Latvia
2022,IBRD,0.2,,international bank for reconstruction and development,Latvia
2023,IBRD,0.17,,international bank for reconstruction and development,Latvia
2019,IDA,0.11,,international development association,Latvia
2020,IDA,0.1,,international development association,Latvia
2021,IDA,0.05,,international development association,Latvia
2022,IDA,1.21,,international development association,Latvia
2023,IDA,1.33,,international development association,Latvia
2022,IFC,0.0,,international finance corporation,Latvia
2023,IFC,0.0,,international finance corporation,Latvia
2019,UN,0.0,,united nations,Latvia
2020,UN,0.0,,united nations,Latvia
2021,UN,0.0,,united nations,Latvia
2022,UN,0.0,,united nations,Latvia
2023,UN,0.0,,united nations,Latvia
2019,UNECE-EXB,0.0,,united nations economic commission for europe extrabudgetary contributions only,Latvia
2021,UNRWA,0.0,,united nations relief and works agency for palestine refugees in the near east,Latvia
2022,UNRWA,0.0,,united nations relief and works agency for palestine refugees in the near east,Latvia
2023,UNRWA,0.02,,united nations relief and works agency for palestine refugees in the near east,Latvia
2019,WHO-AC,0.21,,world health organisation assessed contributions,Latvia
2020,WHO-AC,0.2,,world health organisation assessed contributions,Latvia
2021,WHO-AC,0.16,,world health organisation assessed contributions,Latvia
2022,WHO-AC,0.0,,world health organisation assessed contributions,Latvia
2023,WHO-AC,0.16,,world health organisation assessed contributions,Latvia
2020,WHO-CVCA,0.1,,world health organisation core voluntary contributions account,Latvia
2021,WHO-CVCA,0.0,,world health organisation core voluntary contributions account,Latvia
2022,WHO-CVCA,0.18,,world health organisation core voluntary contributions account,Latvia
2021,,0.0,,united nations children’s fund,Latvia
2022,,0.01,,united nations children’s fund,Latvia
2023,,0.0,,united nations children’s fund,Latvia
