year,Sub-Sector,Bilateral ODA for,Share,Donor
2023,Health policy and administrative management,21.65,46.4%,Luxembourg
2023,Medical services,5.44,11.7%,Luxembourg
2023,STD control including HIV/AIDS,3.69,7.9%,Luxembourg
2023,Basic health care,2.96,6.3%,Luxembourg
2023,Personnel development for population and reproductive health,2.81,6.0%,Luxembourg
2023,Reproductive health care,2.05,4.4%,Luxembourg
2023,Health education,1.85,4.0%,Luxembourg
2023,Medical research,1.49,3.2%,Luxembourg
2023,Basic health infrastructure,1.08,2.3%,Luxembourg
2023,Family planning,0.79,1.7%,Luxembourg
2023,Population policy and administrative management,0.57,1.2%,Luxembourg
2023,Medical education/training,0.55,1.2%,Luxembourg
2023,Health personnel development,0.55,1.2%,Luxembourg
2023,Infectious disease control,0.49,1.1%,Luxembourg
2023,Control of harmful use of alcohol and drugs,0.38,0.8%,Luxembourg
2023,Basic nutrition,0.26,0.5%,Luxembourg
2023,Promotion of mental health and well-being,0.02,0.0%,Luxembourg
2023,Malaria control,0.0,0.0%,Luxembourg
2022,Health policy and administrative management,25.88,46.1%,Luxembourg
2022,Medical services,5.69,10.1%,Luxembourg
2022,Basic health care,3.97,7.1%,Luxembourg
2022,Reproductive health care,3.79,6.7%,Luxembourg
2022,COVID-19 control,3.29,5.9%,Luxembourg
2022,Basic health infrastructure,2.98,5.3%,Luxembourg
2022,STD control including HIV/AIDS,2.22,4.0%,Luxembourg
2022,Basic nutrition,2.05,3.7%,Luxembourg
2022,Infectious disease control,2.03,3.6%,Luxembourg
2022,Medical research,1.42,2.5%,Luxembourg
2022,Health education,0.86,1.5%,Luxembourg
2022,Health personnel development,0.85,1.5%,Luxembourg
2022,Population policy and administrative management,0.52,0.9%,Luxembourg
2022,Medical education/training,0.29,0.5%,Luxembourg
2022,Control of harmful use of alcohol and drugs,0.21,0.4%,Luxembourg
2022,Family planning,0.03,0.1%,Luxembourg
2022,Malaria control,0.01,0.0%,Luxembourg
2021,Health policy and administrative management,21.89,38.6%,Luxembourg
2021,COVID-19 control,8.4,14.8%,Luxembourg
2021,Basic health care,6.67,11.8%,Luxembourg
2021,Medical services,6.48,11.4%,Luxembourg
2021,Basic nutrition,3.58,6.3%,Luxembourg
2021,Population policy and administrative management,2.48,4.4%,Luxembourg
2021,Basic health infrastructure,1.88,3.3%,Luxembourg
2021,STD control including HIV/AIDS,1.2,2.1%,Luxembourg
2021,Health education,1.19,2.1%,Luxembourg
2021,Health personnel development,0.78,1.4%,Luxembourg
2021,Reproductive health care,0.66,1.2%,Luxembourg
2021,Medical education/training,0.6,1.1%,Luxembourg
2021,Medical research,0.59,1.0%,Luxembourg
2021,Control of harmful use of alcohol and drugs,0.19,0.3%,Luxembourg
2021,Infectious disease control,0.13,0.2%,Luxembourg
2021,Malaria control,0.01,0.0%,Luxembourg
2021,Family planning,0.0,0.0%,Luxembourg
2020,Health policy and administrative management,12.6,33.5%,Luxembourg
2020,Medical services,4.66,12.4%,Luxembourg
2020,Basic health care,4.29,11.4%,Luxembourg
2020,Basic health infrastructure,3.75,10.0%,Luxembourg
2020,Reproductive health care,3.47,9.2%,Luxembourg
2020,Population policy and administrative management,1.95,5.2%,Luxembourg
2020,STD control including HIV/AIDS,1.55,4.1%,Luxembourg
2020,Health education,1.38,3.7%,Luxembourg
2020,Medical research,0.93,2.5%,Luxembourg
2020,COVID-19 control,0.91,2.4%,Luxembourg
2020,Health personnel development,0.91,2.4%,Luxembourg
2020,Control of harmful use of alcohol and drugs,0.54,1.4%,Luxembourg
2020,Infectious disease control,0.27,0.7%,Luxembourg
2020,Basic nutrition,0.26,0.7%,Luxembourg
2020,Tuberculosis control,0.06,0.2%,Luxembourg
2020,Malaria control,0.01,0.0%,Luxembourg
2020,Medical education/training,0.01,0.0%,Luxembourg
2020,Family planning,0.01,0.0%,Luxembourg
2019,Health policy and administrative management,29.62,41.8%,Luxembourg
2019,Basic health care,7.09,10.0%,Luxembourg
2019,Basic nutrition,6.11,8.6%,Luxembourg
2019,Infectious disease control,5.1,7.2%,Luxembourg
2019,STD control including HIV/AIDS,5.05,7.1%,Luxembourg
2019,Medical services,4.93,7.0%,Luxembourg
2019,Family planning,3.48,4.9%,Luxembourg
2019,Reproductive health care,3.08,4.3%,Luxembourg
2019,Basic health infrastructure,1.8,2.5%,Luxembourg
2019,Health education,1.46,2.1%,Luxembourg
2019,Health personnel development,1.13,1.6%,Luxembourg
2019,Medical research,0.99,1.4%,Luxembourg
2019,"NCDs control, general",0.54,0.8%,Luxembourg
2019,Population policy and administrative management,0.42,0.6%,Luxembourg
2019,Medical education/training,0.06,0.1%,Luxembourg
2019,Personnel development for population and reproductive health,0.03,0.0%,Luxembourg
2019,Malaria control,0.0,0.0%,Luxembourg
