Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADB,0.03,0.0%,asian development bank,Luxembourg
2019,ADF,0.05,0.0%,african development fund,Luxembourg
2020,ADF,0.09,0.0%,african development fund,Luxembourg
2021,ADF,0.09,0.0%,african development fund,Luxembourg
2022,ADF,0.07,0.0%,african development fund,Luxembourg
2023,ADF,0.11,0.0%,african development fund,Luxembourg
2019,AfDB,0.01,0.0%,african development bank,Luxembourg
2022,AfDB,0.0,0.0%,african development bank,Luxembourg
2019,CEB,0.0,0.0%,council of europe development bank,Luxembourg
2020,CEB,0.0,0.0%,council of europe development bank,Luxembourg
2021,EBRD,0.0,0.0%,european bank for reconstruction and development,Luxembourg
2019,EC-DSB,1.34,0.02%,european commission development share of budget,Luxembourg
2020,EC-DSB,1.45,0.02%,european commission development share of budget,Luxembourg
2021,EC-DSB,2.24,0.03%,european commission development share of budget,Luxembourg
2022,EC-DSB,4.36,0.05%,european commission development share of budget,Luxembourg
2023,EC-DSB,4.38,0.06%,european commission development share of budget,Luxembourg
2021,EC-EDF,0.64,0.01%,european commission european development fund,Luxembourg
2022,EC-EDF,0.22,0.0%,european commission european development fund,Luxembourg
2019,EIB,0.02,0.0%,european investment bank,Luxembourg
2020,EIB,0.04,0.0%,european investment bank,Luxembourg
2021,EIB,0.07,0.0%,european investment bank,Luxembourg
2022,EIB,0.06,0.0%,european investment bank,Luxembourg
2023,EIB,0.05,0.0%,european investment bank,Luxembourg
2019,FAO,0.02,0.0%,food and agricultural organisation,Luxembourg
2020,FAO,0.02,0.0%,food and agricultural organisation,Luxembourg
2021,FAO,0.01,0.0%,food and agricultural organisation,Luxembourg
2022,FAO,0.01,0.0%,food and agricultural organisation,Luxembourg
2023,FAO,0.01,0.0%,food and agricultural organisation,Luxembourg
2019,GAVI,1.04,0.01%,global alliance for vaccines and immunization,Luxembourg
2020,GAVI,1.0,0.02%,global alliance for vaccines and immunization,Luxembourg
2021,GAVI,1.2,0.01%,global alliance for vaccines and immunization,Luxembourg
2022,GAVI,1.12,0.01%,global alliance for vaccines and immunization,Luxembourg
2023,GAVI,1.02,0.01%,global alliance for vaccines and immunization,Luxembourg
2019,GEF-TF,0.0,0.0%,global environment facility trust fund,Luxembourg
2020,GEF-TF,0.01,0.0%,global environment facility trust fund,Luxembourg
2019,GFATM,3.68,0.04%,global fund to fight aids tuberculosis and malaria,Luxembourg
2020,GFATM,3.51,0.06%,global fund to fight aids tuberculosis and malaria,Luxembourg
2021,GFATM,6.22,0.08%,global fund to fight aids tuberculosis and malaria,Luxembourg
2022,GFATM,3.52,0.04%,global fund to fight aids tuberculosis and malaria,Luxembourg
2023,GFATM,4.7,0.06%,global fund to fight aids tuberculosis and malaria,Luxembourg
2019,IDA,2.39,0.03%,international development association,Luxembourg
2020,IDA,2.09,0.03%,international development association,Luxembourg
2021,IDA,2.45,0.03%,international development association,Luxembourg
2022,IDA,2.82,0.03%,international development association,Luxembourg
2023,IDA,2.4,0.03%,international development association,Luxembourg
2022,IFC,0.0,0.0%,international finance corporation,Luxembourg
2023,IFC,0.0,0.0%,international finance corporation,Luxembourg
2019,UN,0.0,0.0%,united nations,Luxembourg
2020,UN,0.0,0.0%,united nations,Luxembourg
2021,UN,0.0,0.0%,united nations,Luxembourg
2022,UN,0.0,0.0%,united nations,Luxembourg
2023,UN,0.01,0.0%,united nations,Luxembourg
2019,UNAIDS,2.19,0.03%,joint united nations programme on hiv aids,Luxembourg
2020,UNAIDS,2.5,0.04%,joint united nations programme on hiv aids,Luxembourg
