Year,ODA,Share,Full Name,donor
2022,0.0677,0.002354422279720669,african development fund,Luxembourg
2022,0.0257,0.0008937762568511255,world food programme,Luxembourg
2022,0.0031,0.00010780958740227584,international finance corporation,Luxembourg
2022,0.22379999999999997,0.0077831566647191385,european commission european development fund,Luxembourg
2022,0.012,0.0004173274351055839,food and agricultural organisation,Luxembourg
2022,0.3779,0.013142336477200013,united nations development programme,Luxembourg
2022,0.19820000000000002,0.006892858136493894,world health organisation assessed contributions,Luxembourg
2022,1.1208,0.038978382438861536,global alliance for vaccines and immunization,Luxembourg
2022,0.0041,0.0001425868736610745,african development bank,Luxembourg
2022,0.0042,0.00014606460228695436,united nations,Luxembourg
2022,4.356099999999999,0.15149333667195278,european commission development share of budget,Luxembourg
2022,2.8226999999999998,0.09816584592271096,international development association,Luxembourg
2022,0.0587,0.002041426703391481,european investment bank,Luxembourg
2022,4.932599999999999,0.17154244220015022,united nations population fund,Luxembourg
2022,9.402300000000002,0.3269864785911027,world health organisation core voluntary contributions account,Luxembourg
2022,3.5161,0.12228041621456195,global fund to fight aids tuberculosis and malaria,Luxembourg
2022,1.6284,0.05663133294382774,united nations children’s fund,Luxembourg
2019,0.0456,0.0032327357025883157,african development fund,Luxembourg
2019,1.3412,0.09508212991911072,european commission development share of budget,Luxembourg
2019,1.5034,0.10658102752787882,united nations population fund,Luxembourg
2019,0.0356,0.002523802434476843,world food programme,Luxembourg
2019,0.023399999999999997,0.001658903847380846,food and agricultural organisation,Luxembourg
2019,0.0001,7.0893326811147275e-06,council of europe development bank,Luxembourg
2019,2.1913,0.15534854704126702,joint united nations programme on hiv aids,Luxembourg
2019,0.24280000000000002,0.01721289974974656,world health organisation assessed contributions,Luxembourg
2019,0.6436999999999999,0.04563403446833549,united nations children’s fund,Luxembourg
2019,0.0698,0.0049483542114180795,united nations development programme,Luxembourg
2019,0.0242,0.001715618508829764,european investment bank,Luxembourg
2019,0.8452,0.05991903982078167,united nations relief and works agency for palestine refugees in the near east,Luxembourg
2019,2.3879,0.1692861750923386,international development association,Luxembourg
2019,0.0005,3.544666340557364e-05,united nations,Luxembourg
2019,0.0011,7.7982659492262e-05,global environment facility trust fund,Luxembourg
2019,3.6769999999999996,0.2606747626845885,global fund to fight aids tuberculosis and malaria,Luxembourg
2019,1.0365,0.07348093323975415,global alliance for vaccines and immunization,Luxembourg
2019,0.008,0.0005671466144891782,african development bank,Luxembourg
2019,0.028399999999999998,0.0020133704814365824,asian development bank,Luxembourg
2023,0.0532,0.001888232266766047,world food programme,Luxembourg
2023,0.005699999999999999,0.0002023106000106479,united nations,Luxembourg
2023,0.1092,0.00387584517915136,african development fund,Luxembourg
2023,1.1025999999999998,0.039134678521357956,united nations children’s fund,Luxembourg
2023,0.1908,0.00677208113719853,world health organisation assessed contributions,Luxembourg
2023,0.013500000000000002,0.0004791566842357451,food and agricultural organisation,Luxembourg
2023,1.6882,0.059919430690872945,joint united nations programme on hiv aids,Luxembourg
2023,2.4024000000000005,0.08526859394132993,international development association,Luxembourg
2023,1.0194,0.03618165362295693,global alliance for vaccines and immunization,Luxembourg
2023,7.3566,0.261108449129532,world health organisation core voluntary contributions account,Luxembourg
2023,4.7037,0.16694883671404995,global fund to fight aids tuberculosis and malaria,Luxembourg
2023,4.8337,0.17156293811780157,united nations population fund,Luxembourg
2023,0.2604,0.009242400042591706,united nations development programme,Luxembourg
2023,0.0021,7.453548421444922e-05,international finance corporation,Luxembourg
2023,0.054799999999999995,0.0019450212071199131,european investment bank,Luxembourg
2023,4.3782000000000005,0.1553958366608103,european commission development share of budget,Luxembourg
2021,2.4525,0.0948441886906281,international development association,Luxembourg
2021,6.2232,0.2406664036939926,global fund to fight aids tuberculosis and malaria,Luxembourg
2021,0.0698,0.002699337154171597,european investment bank,Luxembourg
2021,1.1962,0.046259987160745905,global alliance for vaccines and immunization,Luxembourg
2021,0.09409999999999999,0.003639077739363141,african development fund,Luxembourg
