"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","EC - Development Share of Budget","31.8","467.4%","european commission development share of budget","Netherlands"
"2019","EC - Development Share of Budget","29.6","386.9%","european commission development share of budget","Netherlands"
"2020","EC - Development Share of Budget","27.8","367.3%","european commission development share of budget","Netherlands"
"2021","EC - Development Share of Budget","26.7","300.5%","european commission development share of budget","Netherlands"
"2022","EC - Development Share of Budget","61.3","525.7%","european commission development share of budget","Netherlands"
"2018","IDA","36.2","531.9%","international development association","Netherlands"
"2019","IDA","29.6","386.7%","international development association","Netherlands"
"2020","IDA","15.4","203.6%","international development association","Netherlands"
"2021","IDA","3.7","41.4%","international development association","Netherlands"
"2022","IDA","21.9","187.7%","international development association","Netherlands"
"2018","UNRWA","14.4","212.2%","united nations relief and works agency for palestine refugees in the near east","Netherlands"
"2019","UNRWA","13.5","176.8%","united nations relief and works agency for palestine refugees in the near east","Netherlands"
"2020","UNRWA","13.7","180.3%","united nations relief and works agency for palestine refugees in the near east","Netherlands"
"2021","UNRWA","13.4","150.4%","united nations relief and works agency for palestine refugees in the near east","Netherlands"
"2022","UNRWA","12.8","109.6%","united nations relief and works agency for palestine refugees in the near east","Netherlands"
"2018","UNICEF","4.2","61.1%","united nations childrenâ€™s fund","Netherlands"
"2019","UNICEF","4.6","60.6%","united nations childrenâ€™s fund","Netherlands"
"2020","UNICEF","4","52.2%","united nations childrenâ€™s fund","Netherlands"
"2021","UNICEF","2.8","31.6%","united nations childrenâ€™s fund","Netherlands"
"2022","UNICEF","2.6","22.4%","united nations childrenâ€™s fund","Netherlands"
"2018","African Development Fund","NA","NA%","african development fund","Netherlands"
"2019","African Development Fund","NA","NA%","african development fund","Netherlands"
"2020","African Development Fund","NA","NA%","african development fund","Netherlands"
"2021","African Development Fund","0.1","1.4%","african development fund","Netherlands"
"2022","African Development Fund","0.3","2.9%","african development fund","Netherlands"
"2018","AfDB","1.8","26.3%","african development bank","Netherlands"
"2019","AfDB","1.1","14.6%","african development bank","Netherlands"
"2020","AfDB","1.4","18.2%","african development bank","Netherlands"
"2021","AfDB","0.2","2.7%","african development bank","Netherlands"
"2022","AfDB","0.3","2.3%","african development bank","Netherlands"
"2018","UNDP","0","0.3%","united nations development programme","Netherlands"
"2019","UNDP","0","0.5%","united nations development programme","Netherlands"
"2020","UNDP","0","0.3%","united nations development programme","Netherlands"
"2021","UNDP","0","0.1%","united nations development programme","Netherlands"
"2022","UNDP","0.1","0.6%","united nations development programme","Netherlands"
"2018","UNIDO","NA","NA%","united nations industrial development organisation","Netherlands"
"2019","UNIDO","NA","NA%","united nations industrial development organisation","Netherlands"
"2020","UNIDO","0.1","0.7%","united nations industrial development organisation","Netherlands"
"2021","UNIDO","0","0.4%","united nations industrial development organisation","Netherlands"
"2022","UNIDO","0","0.3%","united nations industrial development organisation","Netherlands"
"2018","SDG Fund","NA","NA%","joint sustainable development goals fund","Netherlands"
"2019","SDG Fund","NA","NA%","joint sustainable development goals fund","Netherlands"
"2020","SDG Fund","NA","NA%","joint sustainable development goals fund","Netherlands"
"2021","SDG Fund","NA","NA%","joint sustainable development goals fund","Netherlands"
"2022","SDG Fund","0","0.1%","joint sustainable development goals fund","Netherlands"
"2018","FAO","NA","NA%","food and agricultural organisation","Netherlands"
"2019","FAO","0","0.1%","food and agricultural organisation","Netherlands"
"2020","FAO","0","0.1%","food and agricultural organisation","Netherlands"
"2021","FAO","0","0.1%","food and agricultural organisation","Netherlands"
"2022","FAO","0","0%","food and agricultural organisation","Netherlands"
"2018","WFP","1.7","24.4%","world food programme","Netherlands"
"2019","WFP","0.8","10.1%","world food programme","Netherlands"
"2020","WFP","NA","NA%","world food programme","Netherlands"
"2021","WFP","NA","NA%","world food programme","Netherlands"
"2022","WFP","NA","NA%","world food programme","Netherlands"
"2018","ADB","0.1","1.2%","asian development bank","Netherlands"
"2019","ADB","0.1","1.3%","asian development bank","Netherlands"
"2020","ADB","0.1","1.3%","asian development bank","Netherlands"
"2021","ADB","0.2","1.9%","asian development bank","Netherlands"
"2022","ADB","NA","NA%","asian development bank","Netherlands"
