Year,ODA,Share,Full Name,donor
2022,38.2996,0.14141397731149652,international development association,Netherlands
2022,0.1084,0.00040024635089051124,african development bank,Netherlands
2022,60.352900000000005,0.2228415866297042,global fund to fight aids tuberculosis and malaria,Netherlands
2022,0.0038,1.4030776138228254e-05,green climate fund,Netherlands
2022,0.24839999999999998,0.0009171696822989205,food and agricultural organisation,Netherlands
2022,73.9739,0.27313453446623237,european commission development share of budget,Netherlands
2022,1.3526999999999998,0.0049945870742582514,united nations development programme,Netherlands
2022,0.0805,0.0002972309155598354,united nations,Netherlands
2022,0.062099999999999995,0.00022929242057473013,joint sustainable development goals fund,Netherlands
2022,3.4286,0.012659452386191945,united nations relief and works agency for palestine refugees in the near east,Netherlands
2022,1.9062,0.007038280388076499,world food programme,Netherlands
2022,13.514,0.04989787071895174,global alliance for vaccines and immunization,Netherlands
2022,0.6926,0.002557293566667602,african development fund,Netherlands
2022,4.660699999999999,0.01720874693353695,european commission european development fund,Netherlands
2022,5.847700000000001,0.021591518321978254,united nations children’s fund,Netherlands
2022,33.910399999999996,0.12520769240994087,world health organisation strategic preparedness and response plan,Netherlands
2022,18.9957,0.07013800376024801,united nations population fund,Netherlands
2022,0.6096,0.0022508318773326167,global environment facility trust fund,Netherlands
2022,12.785399999999997,0.04720765400992197,world health organisation assessed contributions,Netherlands
2019,12.2705,0.0448962178581608,world health organisation assessed contributions,Netherlands
2019,39.288199999999996,0.14375058770669435,international development association,Netherlands
2019,11.8725,0.04343998586210946,european commission development share of budget,Netherlands
2019,1.3625,0.004985216318140589,united nations development programme,Netherlands
2019,15.6117,0.05712124887626821,united nations population fund,Netherlands
2019,3.7902,0.013867865606617586,united nations relief and works agency for palestine refugees in the near east,Netherlands
2019,82.7462,0.302757949727798,global fund to fight aids tuberculosis and malaria,Netherlands
2019,0.4296,0.001571852425888585,african development bank,Netherlands
2019,8.2744,0.030274990020420174,joint united nations programme on hiv aids,Netherlands
2019,0.05949999999999999,0.00021770302453531375,asian development bank,Netherlands
2019,62.192400000000006,0.22755417786739582,global alliance for vaccines and immunization,Netherlands
2019,0.0036,1.3171947702976968e-05,united nations,Netherlands
2019,12.4536,0.04556615775383166,united nations children’s fund,Netherlands
2019,0.0187,6.842095056824148e-05,global environment facility trust fund,Netherlands
2019,1.2119,0.004434189839232719,world food programme,Netherlands
2019,21.345800000000004,0.07810160035505717,european commission european development fund,Netherlands
2019,0.37679999999999997,0.001378663859578256,food and agricultural organisation,Netherlands
2021,0.4207,0.002516673635824703,global environment facility trust fund,Netherlands
2021,0.6711,0.004014593955317228,asian development bank,Netherlands
2021,23.812500000000004,0.14244899204439207,european commission development share of budget,Netherlands
2021,12.8186,0.07668227399140132,european commission european development fund,Netherlands
2021,1.0102,0.006043127423128392,joint united nations programme on hiv aids,Netherlands
2021,1.8909,0.011311571613931377,united nations development programme,Netherlands
2021,3.4693,0.020753733883448162,united nations relief and works agency for palestine refugees in the near east,Netherlands
2021,0.0377,0.00022552554331017657,united nations,Netherlands
2021,0.004,2.3928439608506802e-05,african development bank,Netherlands
2021,22.153299999999998,0.13252347529478342,world health organisation assessed contributions,Netherlands
2021,63.7187,0.38117226622064054,global fund to fight aids tuberculosis and malaria,Netherlands
2021,11.647300000000001,0.06967542866304031,united nations population fund,Netherlands
2021,0.8074,0.004829955534977098,world food programme,Netherlands
2021,0.24029999999999999,0.001437501009481046,food and agricultural organisation,Netherlands
2021,11.776699999999998,0.07044951368437549,global alliance for vaccines and immunization,Netherlands
2021,6.625600000000001,0.03963506736753067,united nations children’s fund,Netherlands
2021,5.925299999999999,0.035445795803071334,international development association,Netherlands
