Year,ODA,Share,Full Name,donor
2021,128.4827,0.4117087798384858,global alliance for vaccines and immunization,Norway
2021,130.9186,0.4195143553502751,global fund to fight aids tuberculosis and malaria,Norway
2021,2.0986000000000002,0.006724734500201556,world health organisation assessed contributions,Norway
2021,0.02,6.40878156885691e-05,inter american development bank inter american investment corporation and multilateral investment fund,Norway
2021,0.020999999999999998,6.729220647299755e-05,united nations,Norway
2021,2.6899,0.008619490771034102,united nations relief and works agency for palestine refugees in the near east,Norway
2021,0.139,0.0004454103190355552,food and agricultural organisation,Norway
2021,0.2029,0.0006501708901605334,joint united nations programme on hiv aids,Norway
2021,1.5929999999999997,0.005104594519594528,united nations development programme,Norway
2021,7.647000000000001,0.024503976328524395,united nations children’s fund,Norway
2021,1.6019,0.005133113597575942,world food programme,Norway
2021,0.0004,1.2817563137713819e-06,african development bank,Norway
2021,14.2936,0.04580228011630656,united nations population fund,Norway
2021,6.560200000000002,0.021021444424007555,world health organisation strategic preparedness and response plan,Norway
2021,11.682,0.03743369314369321,international development association,Norway
2021,1.2200999999999995,0.003909677196081156,international bank for reconstruction and development,Norway
2021,1.5412000000000001,0.004938607076961135,african development fund,Norway
2021,0.2872,0.0009203010332878522,global environment facility trust fund,Norway
2021,1.0725,0.003436709116299518,covid 19 response and recovery multi partner trust fund,Norway
2023,40.3429,0.19387487847648552,global fund to fight aids tuberculosis and malaria,Norway
2023,0.26739999999999997,0.0012850375779780883,global environment facility trust fund,Norway
2023,0.051000000000000004,0.0002450894408260378,african development bank,Norway
2023,0.0529,0.0002542202239156353,united nations,Norway
2023,0.0139,6.679888681337109e-05,green climate fund,Norway
2023,1.4168,0.006808680779653537,united nations development programme,Norway
2023,6.1321,0.029468881570379343,united nations children’s fund,Norway
2023,12.135100000000005,0.05831735045819711,international development association,Norway
2023,7.905200000000001,0.037989824463097926,world health organisation core voluntary contributions account,Norway
2023,0.8906,0.004279934431366064,world food programme,Norway
2023,2.7444,0.013188695321627024,united nations relief and works agency for palestine refugees in the near east,Norway
2023,1.3034000000000001,0.006263717199463877,african development fund,Norway
2023,1.9424,0.00933454372275482,world health organisation assessed contributions,Norway
2023,95.5064,0.45897274845701763,global alliance for vaccines and immunization,Norway
2023,0.14320000000000002,0.0006881727044370317,food and agricultural organisation,Norway
2023,1.6270999999999993,0.007819314297412666,international bank for reconstruction and development,Norway
2023,34.1914,0.16431276680508608,united nations population fund,Norway
2023,0.0055,2.643121420672957e-05,international finance corporation,Norway
2023,1.4156,0.0068029139692811595,joint united nations programme on hiv aids,Norway
2019,2.8427999999999995,0.009575486108842167,world health organisation assessed contributions,Norway
2019,8.6552,0.02915356246280102,united nations children’s fund,Norway
2019,0.0113,3.806211939985806e-05,global environment facility trust fund,Norway
2019,0.6554,0.0022076029251917677,african development fund,Norway
2019,0.9359999999999999,0.003152756084802402,united nations development programme,Norway
2019,24.356100000000005,0.08203936162078612,united nations population fund,Norway
2019,10.7471,0.036199770212585365,international development association,Norway
2019,11.2528,0.03790313426395778,joint united nations programme on hiv aids,Norway
2019,0.0047,1.5831147007020612e-05,united nations,Norway
2019,0.27349999999999997,0.0009212380226425823,food and agricultural organisation,Norway
2019,0.981,0.0033043308965717486,world food programme,Norway
2019,146.2572,0.4926423902202585,global alliance for vaccines and immunization,Norway
2019,87.42089999999999,0.29446236582681873,global fund to fight aids tuberculosis and malaria,Norway
2019,0.0012000000000000001,4.041994980515901e-06,african development bank,Norway
2019,2.4222,0.008158766868171345,united nations relief and works agency for palestine refugees in the near east,Norway
2019,0.06570000000000001,0.00022129922518324558,inter american development bank inter american investment corporation and multilateral investment fund,Norway
2022,5.564399999999999,0.025839730884896075,united nations children’s fund,Norway
2022,95.02550000000001,0.4412754919133586,global alliance for vaccines and immunization,Norway
2022,0.28219999999999995,0.0013104687038526476,global environment facility trust fund,Norway
2022,0.0208,9.659018086511365e-05,inter american development bank inter american investment corporation and multilateral investment fund,Norway
2022,1.5842999999999998,0.0073571069011826706,world health organisation assessed contributions,Norway
2022,1.2517999999999998,0.005813057134949483,international bank for reconstruction and development,Norway
2022,0.09829999999999998,0.0004564814797615707,food and agricultural organisation,Norway
2022,1.5837,0.007354320645965409,african development fund,Norway
2022,2.6164,0.012149930250744392,united nations relief and works agency for palestine refugees in the near east,Norway
2022,0.0297,0.00013791963325451324,united nations,Norway
2022,68.3378,0.31734425297711366,global fund to fight aids tuberculosis and malaria,Norway
2022,1.2946,0.006011810007114237,united nations development programme,Norway
2022,2.8015000000000003,0.013009489985269997,world health organisation core voluntary contributions account,Norway
2022,23.551599999999997,0.10936794729148126,united nations population fund,Norway
2022,0.0076,3.5292566085329986e-05,green climate fund,Norway
2022,0.0047,2.1825665868559335e-05,international finance corporation,Norway
2022,0.0165,7.662201847472959e-05,african development bank,Norway
2022,0.7482,0.0034744602559268283,world food programme,Norway
2022,10.523200000000001,0.04886720150383481,international development association,Norway
2020,3.1767,0.01003468405291687,asian infrastructure investment bank,Norway
2020,0.07710000000000002,0.00024354649179333617,inter american development bank inter american investment corporation and multilateral investment fund,Norway
2020,2.7927999999999997,0.008822005736451739,world health organisation assessed contributions,Norway
2020,8.312000000000001,0.026256270295540986,united nations children’s fund,Norway
2020,3.2086,0.010135451019041482,joint united nations programme on hiv aids,Norway
2020,13.904399999999999,0.04392176187407604,international development association,Norway
2020,0.073,0.00023059525163311977,global environment facility trust fund,Norway
2020,1.7675999999999998,0.005583563928584966,united nations development programme,Norway
2020,0.9699,0.003063758007657026,international bank for reconstruction and development,Norway
2020,0.16629999999999998,0.0005253149362546276,food and agricultural organisation,Norway
2020,0.0046,1.4530659691950014e-05,united nations,Norway
2020,2.9171,0.009214649432040737,united nations relief and works agency for palestine refugees in the near east,Norway
2020,98.4564,0.31100792236837116,global fund to fight aids tuberculosis and malaria,Norway
2020,158.1653,0.4996187281250395,global alliance for vaccines and immunization,Norway
2020,0.6653,0.0021015756289248576,world food programme,Norway
2020,20.221400000000003,0.06387614823799957,united nations population fund,Norway
2020,1.6925,0.005346335114918565,african development fund,Norway
2020,0.001,3.1588390634673946e-06,african development bank,Norway
