Year,ODA,Share,Full Name,donor
2020,0.023099999999999996,0.0019797398056255466,inter american development bank inter american investment corporation and multilateral investment fund,Portugal
2020,0.0713,0.006110625460653744,food and agricultural organisation,Portugal
2020,0.1858,0.015923621466892926,global fund to fight aids tuberculosis and malaria,Portugal
2020,0.0012000000000000001,0.00010284362626626219,united nations development programme,Portugal
2020,0.0002,1.7140604377710362e-05,world food programme,Portugal
2020,0.0591,0.005065048593613412,united nations population fund,Portugal
2020,4.8035999999999985,0.41168303594384736,european commission european development fund,Portugal
2020,1.1833,0.10141238580072336,world health organisation assessed contributions,Portugal
2020,4.841399999999999,0.41492261017123466,european commission development share of budget,Portugal
2020,0.002,0.00017140604377710364,united nations,Portugal
2020,0.0125,0.0010712877736068977,united nations relief and works agency for palestine refugees in the near east,Portugal
2020,0.42540000000000006,0.03645806551138995,international development association,Portugal
2020,0.0076,0.0006513429663529938,united nations children’s fund,Portugal
2020,0.0517,0.004430846231638129,joint united nations programme on hiv aids,Portugal
2023,21.0377,0.8345379391323667,european commission development share of budget,Portugal
2023,0.1257,0.004986353971628957,joint united nations programme on hiv aids,Portugal
2023,0.0295,0.001170226270191362,united nations,Portugal
2023,0.0002,7.933737425026184e-06,world food programme,Portugal
2023,0.0372,0.00147567516105487,african development fund,Portugal
2023,0.026599999999999995,0.0010551870775284823,world health organisation strategic preparedness and response plan,Portugal
2023,0.7461,0.02959680746406018,global fund to fight aids tuberculosis and malaria,Portugal
2023,0.0041,0.00016264161721303677,united nations development programme,Portugal
2023,0.0109,0.000432388689663927,african development bank,Portugal
2023,0.3534,0.014018914030021265,united nations population fund,Portugal
2023,1.6294999999999997,0.06464012567040082,world health organisation core voluntary contributions account,Portugal
2023,0.010299999999999998,0.00040858747738884837,united nations children’s fund,Portugal
2023,0.0322,0.0012773317254292154,international development association,Portugal
2023,0.6296,0.024975405413982427,united nations relief and works agency for palestine refugees in the near east,Portugal
2023,0.0741,0.002939449715972201,food and agricultural organisation,Portugal
2023,0.2671,0.010595506331122469,european commission european development fund,Portugal
2023,0.041699999999999994,0.001654184253117959,inter american development bank inter american investment corporation and multilateral investment fund,Portugal
2023,0.1529,0.006065342261432518,global alliance for vaccines and immunization,Portugal
2021,3.2351999999999994,0.17703163389823087,european commission european development fund,Portugal
2021,0.0084,0.0004596518684301247,united nations children’s fund,Portugal
2021,0.0002,1.094409210547916e-05,world food programme,Portugal
2021,0.0724,0.003961761342183456,african development fund,Portugal
2021,0.225,0.012312103618664055,world health organisation strategic preparedness and response plan,Portugal
2021,0.0019,0.00010396887500205202,united nations development programme,Portugal
