"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","EC - Development Share of Budget","2.8","40.6%","european commission development share of budget","Slovenia"
"2019","EC - Development Share of Budget","2.8","36%","european commission development share of budget","Slovenia"
"2020","EC - Development Share of Budget","3","39.4%","european commission development share of budget","Slovenia"
"2021","EC - Development Share of Budget","3","33.7%","european commission development share of budget","Slovenia"
"2022","EC - Development Share of Budget","4.2","36.2%","european commission development share of budget","Slovenia"
"2018","IDA","0.2","2.3%","international development association","Slovenia"
"2019","IDA","0.1","1.1%","international development association","Slovenia"
"2020","IDA","0.1","1.3%","international development association","Slovenia"
"2021","IDA","0.1","1%","international development association","Slovenia"
"2022","IDA","0.1","1%","international development association","Slovenia"
"2018","IBRD","NA","NA%","international bank for reconstruction and development","Slovenia"
"2019","IBRD","0.1","0.9%","international bank for reconstruction and development","Slovenia"
"2020","IBRD","0","0.7%","international bank for reconstruction and development","Slovenia"
"2021","IBRD","0","0.4%","international bank for reconstruction and development","Slovenia"
"2022","IBRD","0","0.3%","international bank for reconstruction and development","Slovenia"
"2018","EIB","0","0%","european investment bank","Slovenia"
"2019","EIB","0","0%","european investment bank","Slovenia"
"2020","EIB","0","0%","european investment bank","Slovenia"
"2021","EIB","0","0%","european investment bank","Slovenia"
"2022","EIB","0","0.1%","european investment bank","Slovenia"
"2018","UNICEF","0","0%","united nations childrenâ€™s fund","Slovenia"
"2019","UNICEF","0","0%","united nations childrenâ€™s fund","Slovenia"
"2020","UNICEF","0","0%","united nations childrenâ€™s fund","Slovenia"
"2021","UNICEF","0","0%","united nations childrenâ€™s fund","Slovenia"
"2022","UNICEF","0","0%","united nations childrenâ€™s fund","Slovenia"
"2018","UNIDO","NA","NA%","united nations industrial development organisation","Slovenia"
"2019","UNIDO","NA","NA%","united nations industrial development organisation","Slovenia"
"2020","UNIDO","NA","NA%","united nations industrial development organisation","Slovenia"
"2021","UNIDO","0","0%","united nations industrial development organisation","Slovenia"
"2022","UNIDO","0","0%","united nations industrial development organisation","Slovenia"
"2018","Genetic Engineering Center","NA","NA%","international centre for genetic engineering and biotechnology","Slovenia"
"2019","Genetic Engineering Center","NA","NA%","international centre for genetic engineering and biotechnology","Slovenia"
"2020","Genetic Engineering Center","NA","NA%","international centre for genetic engineering and biotechnology","Slovenia"
"2021","Genetic Engineering Center","0","0%","international centre for genetic engineering and biotechnology","Slovenia"
"2022","Genetic Engineering Center","0","0%","international centre for genetic engineering and biotechnology","Slovenia"
"2018","FAO","NA","NA%","food and agricultural organisation","Slovenia"
"2019","FAO","0","0%","food and agricultural organisation","Slovenia"
"2020","FAO","0","0%","food and agricultural organisation","Slovenia"
"2021","FAO","0","0%","food and agricultural organisation","Slovenia"
"2022","FAO","0","0%","food and agricultural organisation","Slovenia"
"2018","Adaptation Fund","NA","NA%","adaptation fund","Slovenia"
"2019","Adaptation Fund","NA","NA%","adaptation fund","Slovenia"
"2020","Adaptation Fund","NA","NA%","adaptation fund","Slovenia"
"2021","Adaptation Fund","NA","NA%","adaptation fund","Slovenia"
"2022","Adaptation Fund","0","0%","adaptation fund","Slovenia"
"2018","IDB, IIC and MIF","NA","NA%","inter american development bank inter american investment corporation and multilateral investment fund","Slovenia"
"2019","IDB, IIC and MIF","NA","NA%","inter american development bank inter american investment corporation and multilateral investment fund","Slovenia"
"2020","IDB, IIC and MIF","NA","NA%","inter american development bank inter american investment corporation and multilateral investment fund","Slovenia"
"2021","IDB, IIC and MIF","NA","NA%","inter american development bank inter american investment corporation and multilateral investment fund","Slovenia"
"2022","IDB, IIC and MIF","NA","NA%","inter american development bank inter american investment corporation and multilateral investment fund","Slovenia"
"2018","IFC","NA","NA%","international finance corporation","Slovenia"
"2019","IFC","NA","NA%","international finance corporation","Slovenia"
"2020","IFC","0","0%","international finance corporation","Slovenia"
"2021","IFC","0","0%","international finance corporation","Slovenia"
"2022","IFC","NA","NA%","international finance corporation","Slovenia"
