Year,Multi_short,ODA,Share,Full Name,Donor
2019,ADB,0.04,0.0%,asian development bank,Spain
2022,ADB,0.73,0.0%,asian development bank,Spain
2019,ADF,0.14,0.0%,african development fund,Spain
2020,ADF,0.46,0.0%,african development fund,Spain
2021,ADF,1.21,0.0%,african development fund,Spain
2022,ADF,1.01,0.0%,african development fund,Spain
2023,ADF,0.19,0.0%,african development fund,Spain
2019,AfDB,0.04,0.0%,african development bank,Spain
2020,AfDB,0.0,0.0%,african development bank,Spain
2021,AfDB,0.0,0.0%,african development bank,Spain
2022,AfDB,0.02,0.0%,african development bank,Spain
2023,AfDB,0.04,0.0%,african development bank,Spain
2020,CABEI,0.29,0.0%,central american bank for economic integration,Spain
2021,CABEI,0.23,0.0%,central american bank for economic integration,Spain
2022,CABEI,0.17,0.0%,central american bank for economic integration,Spain
2023,CABEI,0.11,0.0%,central american bank for economic integration,Spain
2019,CEB,0.0,0.0%,council of europe development bank,Spain
2020,CEB,0.0,0.0%,council of europe development bank,Spain
2021,CEB,0.01,0.0%,council of europe development bank,Spain
2022,CEB,0.01,0.0%,council of europe development bank,Spain
2023,CEB,0.01,0.0%,council of europe development bank,Spain
2019,EBRD,0.01,0.0%,european bank for reconstruction and development,Spain
2019,EC-DSB,27.01,18.0%,european commission development share of budget,Spain
2020,EC-DSB,27.61,13.0%,european commission development share of budget,Spain
2021,EC-DSB,63.14,10.0%,european commission development share of budget,Spain
2022,EC-DSB,106.04,21.0%,european commission development share of budget,Spain
2023,EC-DSB,118.68,38.0%,european commission development share of budget,Spain
2019,EC-EDF,31.69,22.0%,european commission european development fund,Spain
2020,EC-EDF,29.32,14.000000000000002%,european commission european development fund,Spain
2021,EC-EDF,19.66,3.0%,european commission european development fund,Spain
2022,EC-EDF,6.9,1.0%,european commission european development fund,Spain
2023,EC-EDF,1.77,1.0%,european commission european development fund,Spain
2019,FAO,0.84,1.0%,food and agricultural organisation,Spain
2020,FAO,0.47,0.0%,food and agricultural organisation,Spain
2021,FAO,0.44,0.0%,food and agricultural organisation,Spain
2022,FAO,0.38,0.0%,food and agricultural organisation,Spain
2023,FAO,0.44,0.0%,food and agricultural organisation,Spain
2021,GAVI,0.57,0.0%,global alliance for vaccines and immunization,Spain
2022,GAVI,0.65,0.0%,global alliance for vaccines and immunization,Spain
2023,GAVI,9.66,3.0%,global alliance for vaccines and immunization,Spain
2022,GCF,0.0,0.0%,green climate fund,Spain
2023,GCF,0.02,0.0%,green climate fund,Spain
2019,GEF-TF,0.0,0.0%,global environment facility trust fund,Spain
2022,GEF-TF,0.23,0.0%,global environment facility trust fund,Spain
2023,GEF-TF,0.11,0.0%,global environment facility trust fund,Spain
2020,GFATM,12.19,6.0%,global fund to fight aids tuberculosis and malaria,Spain
2021,GFATM,35.64,6.0%,global fund to fight aids tuberculosis and malaria,Spain
2022,GFATM,54.87,11.0%,global fund to fight aids tuberculosis and malaria,Spain
2023,GFATM,48.66,16.0%,global fund to fight aids tuberculosis and malaria,Spain
2019,IBRD,1.84,1.0%,international bank for reconstruction and development,Spain
2020,IBRD,2.17,1.0%,international bank for reconstruction and development,Spain
2021,IBRD,2.55,0.0%,international bank for reconstruction and development,Spain
2022,IBRD,2.9,1.0%,international bank for reconstruction and development,Spain
2023,IBRD,2.68,1.0%,international bank for reconstruction and development,Spain
2019,IDA,20.37,14.000000000000002%,international development association,Spain
2020,IDA,25.58,12.0%,international development association,Spain
2021,IDA,14.95,2.0%,international development association,Spain
2022,IDA,22.29,4.0%,international development association,Spain
2023,IDA,18.93,6.0%,international development association,Spain
2019,IDB-IIC-MIF,0.4,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Spain
2020,IDB-IIC-MIF,1.67,1.0%,inter american development bank inter american investment corporation and multilateral investment fund,Spain
2023,IDB-IIC-MIF,0.01,0.0%,inter american development bank inter american investment corporation and multilateral investment fund,Spain
2022,IFC,0.05,0.0%,international finance corporation,Spain
2023,IFC,0.02,0.0%,international finance corporation,Spain
2022,JSDGF,0.13,0.0%,joint sustainable development goals fund,Spain
2023,JSDGF,0.74,0.0%,joint sustainable development goals fund,Spain
2019,UN,0.01,0.0%,united nations,Spain
2020,UN,0.01,0.0%,united nations,Spain
2021,UN,0.06,0.0%,united nations,Spain
2022,UN,0.12,0.0%,united nations,Spain
2023,UN,0.18,0.0%,united nations,Spain
2019,UNDP,0.01,0.0%,united nations development programme,Spain
2023,UNDP,0.14,0.0%,united nations development programme,Spain
2019,UNFPA,0.23,0.0%,united nations population fund,Spain
2020,UNFPA,0.18,0.0%,united nations population fund,Spain
2022,UNFPA,0.05,0.0%,united nations population fund,Spain
2023,UNFPA,0.76,0.0%,united nations population fund,Spain
2020,UNRWA,0.9,0.0%,united nations relief and works agency for palestine refugees in the near east,Spain
2023,UNRWA,1.02,0.0%,united nations relief and works agency for palestine refugees in the near east,Spain
2022,WFP,0.01,0.0%,world food programme,Spain
2023,WFP,0.01,0.0%,world food programme,Spain
2019,WHO-AC,8.85,6.0%,world health organisation assessed contributions,Spain
2020,WHO-AC,7.93,4.0%,world health organisation assessed contributions,Spain
2021,WHO-AC,6.22,1.0%,world health organisation assessed contributions,Spain
2022,WHO-AC,6.14,1.0%,world health organisation assessed contributions,Spain
2023,WHO-AC,6.09,2.0%,world health organisation assessed contributions,Spain
2019,WHO-CVCA,1.49,1.0%,world health organisation core voluntary contributions account,Spain
2021,WHO-CVCA,3.72,1.0%,world health organisation core voluntary contributions account,Spain
2022,WHO-CVCA,2.44,0.0%,world health organisation core voluntary contributions account,Spain
2023,WHO-CVCA,4.2,1.0%,world health organisation core voluntary contributions account,Spain
2019,,0.1,0.0%,united nations children’s fund,Spain
2023,,0.63,0.0%,united nations children’s fund,Spain
