"Year","Multi_short","ODA","Share","Full Name","Donor"
"2018","IDA","34.1","705.2%","international development association","Switzerland"
"2019","IDA","32.8","682.3%","international development association","Switzerland"
"2020","IDA","30.7","681.3%","international development association","Switzerland"
"2021","IDA","27.9","604.8%","international development association","Switzerland"
"2022","IDA","24","311.3%","international development association","Switzerland"
"2018","CGIAR Fund","NA","NA%","cgiar fund","Switzerland"
"2019","CGIAR Fund","NA","NA%","cgiar fund","Switzerland"
"2020","CGIAR Fund","NA","NA%","cgiar fund","Switzerland"
"2021","CGIAR Fund","NA","NA%","cgiar fund","Switzerland"
"2022","CGIAR Fund","19.1","247.7%","cgiar fund","Switzerland"
"2018","GCF","NA","NA%","green climate fund","Switzerland"
"2019","GCF","NA","NA%","green climate fund","Switzerland"
"2020","GCF","13.7","304.5%","green climate fund","Switzerland"
"2021","GCF","15.3","332.1%","green climate fund","Switzerland"
"2022","GCF","16.8","217.8%","green climate fund","Switzerland"
"2018","African Development Fund","9.5","197.1%","african development fund","Switzerland"
"2019","African Development Fund","11.2","232.2%","african development fund","Switzerland"
"2020","African Development Fund","9.5","210.9%","african development fund","Switzerland"
"2021","African Development Fund","9.9","214.7%","african development fund","Switzerland"
"2022","African Development Fund","8","103.5%","african development fund","Switzerland"
"2018","IFC","NA","NA%","international finance corporation","Switzerland"
"2019","IFC","NA","NA%","international finance corporation","Switzerland"
"2020","IFC","NA","NA%","international finance corporation","Switzerland"
"2021","IFC","0","0%","international finance corporation","Switzerland"
"2022","IFC","4.9","63.6%","international finance corporation","Switzerland"
"2018","GEF Fund","2.4","48.8%","global environment facility trust fund","Switzerland"
"2019","GEF Fund","1.1","22%","global environment facility trust fund","Switzerland"
"2020","GEF Fund","1.1","24.9%","global environment facility trust fund","Switzerland"
"2021","GEF Fund","2.4","53.1%","global environment facility trust fund","Switzerland"
"2022","GEF Fund","3.2","41.8%","global environment facility trust fund","Switzerland"
"2018","AfDB","0.3","6%","african development bank","Switzerland"
"2019","AfDB","NA","NA%","african development bank","Switzerland"
"2020","AfDB","NA","NA%","african development bank","Switzerland"
"2021","AfDB","3.5","76.4%","african development bank","Switzerland"
"2022","AfDB","2.9","37.3%","african development bank","Switzerland"
