Year,ODA,Share,Full Name,donor
2019,6.8245,0.08962941268404927,united nations population fund,Switzerland
2019,7.4602,0.09797836391025634,joint united nations programme on hiv aids,Switzerland
2019,0.0075,9.850107628842692e-05,united nations,Switzerland
2019,3.597,0.047241116187929554,united nations relief and works agency for palestine refugees in the near east,Switzerland
2019,0.3841,0.005044568453651304,food and agricultural organisation,Switzerland
2019,0.7779,0.010216531632635641,united nations development programme,Switzerland
2019,0.769,0.010099643688773375,african development fund,Switzerland
2019,0.2419,0.00317698804722273,world food programme,Switzerland
2019,3.5237000000000003,0.046278432335670666,united nations children’s fund,Switzerland
2019,23.4718,0.30826634165689326,international development association,Switzerland
2019,2.1142,0.027766796731865627,world health organisation core voluntary contributions account,Switzerland
2019,4.020700000000001,0.052805770324383765,world health organisation assessed contributions,Switzerland
2019,1.4811,0.01945199254543855,inter american development bank inter american investment corporation and multilateral investment fund,Switzerland
2019,21.4441,0.2816355906715541,global fund to fight aids tuberculosis and malaria,Switzerland
2019,0.0236,0.0003099500533875834,global environment facility trust fund,Switzerland
2020,4.0856,0.04513093782345073,world health organisation assessed contributions,Switzerland
2020,1.4958,0.016523119442999216,african development fund,Switzerland
2020,0.2636,0.0029118159414190355,food and agricultural organisation,Switzerland
2020,0.1955,0.0021595600020767125,world food programme,Switzerland
2020,1.4429,0.015938767913025516,united nations development programme,Switzerland
2020,4.107,0.045367329557693396,asian infrastructure investment bank,Switzerland
2020,2.1449,0.023693300503602764,world health organisation core voluntary contributions account,Switzerland
2020,4.8743,0.053843188327992425,joint united nations programme on hiv aids,Switzerland
2020,3.5663,0.03939457204811345,united nations children’s fund,Switzerland
2020,4.5872,0.05067178333261532,united nations relief and works agency for palestine refugees in the near east,Switzerland
2020,0.15410000000000001,0.0017022414134016443,inter american development bank inter american investment corporation and multilateral investment fund,Switzerland
2020,10.9444,0.12089559328249806,global alliance for vaccines and immunization,Switzerland
2020,0.1506,0.001663579213875974,global environment facility trust fund,Switzerland
2020,21.602600000000002,0.23862972327806853,global fund to fight aids tuberculosis and malaria,Switzerland
2020,5.5642,0.06146406017163807,united nations population fund,Switzerland
2020,25.3415,0.27993089407993355,international development association,Switzerland
2020,0.0072,7.953366759566409e-05,united nations,Switzerland
2021,26.2418,0.27723393600814744,global fund to fight aids tuberculosis and malaria,Switzerland
2021,0.2956,0.003122893684275026,world food programme,Switzerland
2021,3.6475999999999997,0.03853540934628411,united nations children’s fund,Switzerland
2021,9.881499999999999,0.10439402551137911,world health organisation strategic preparedness and response plan,Switzerland
2021,0.22619999999999998,0.002389710931606938,covid 19 response and recovery multi partner trust fund,Switzerland
2021,2.3453999999999997,0.024778196370428433,united nations development programme,Switzerland
2021,0.4755,0.005023463961003974,joint united nations programme on hiv aids,Switzerland
2021,0.0375,0.0003961722366722377,united nations,Switzerland
2021,5.3159,0.056160319811358626,united nations population fund,Switzerland
2021,26.701400000000003,0.2820894229408024,international development association,Switzerland
2021,3.9615,0.041851635082055194,united nations relief and works agency for palestine refugees in the near east,Switzerland
2021,5.3343,0.05635470832215247,world health organisation core voluntary contributions account,Switzerland
2021,1.6669999999999998,0.017611176494203205,african development fund,Switzerland
2021,0.6696,0.007074051458019477,global environment facility trust fund,Switzerland
2021,0.048999999999999995,0.0005176650559183906,inter american development bank inter american investment corporation and multilateral investment fund,Switzerland
2021,3.6369,0.0384223682014203,world health organisation assessed contributions,Switzerland
2021,0.2423,0.002559800878551552,food and agricultural organisation,Switzerland
2021,0.0037,3.908899401832746e-05,private infrastructure development group,Switzerland
2021,3.9212000000000007,0.04142588198504477,international bank for reconstruction and development,Switzerland
2021,0.0019,2.0072726658060045e-05,african development bank,Switzerland
2022,0.20929999999999999,0.0023843971792797828,food and agricultural organisation,Switzerland
2022,1.8406,0.020968568792080117,african development fund,Switzerland
