"Donor","ODA to the education sector as a % of total ODA","Ranking"
"Hungary","39.2%","1st"
"Portugal","16.2%","2nd"
"Slovenia","13.3%","3rd"
"Austria","12.7%","4th"
"France","12.1%","5th"
"Germany","10.6%","6th"
"Korea"," 9.9%","7th"
"Italy"," 9.1%","8th"
"Luxembourg"," 9.1%","9th"
"Australia"," 7.6%","10th"
"New Zealand"," 7.3%","11th"
"Belgium"," 7.2%","12th"
"Iceland"," 6.6%","13th"
"Slovak Republic"," 6.3%","14th"
"Poland"," 5.5%","15th"
"Finland"," 5.4%","16th"
"Norway"," 4.9%","17th"
"Japan"," 4.7%","18th"
"Switzerland"," 4.5%","19th"
"Spain"," 4.3%","20th"
"Greece"," 4.2%","21st"
"Canada"," 4.2%","22nd"
"Denmark"," 4.1%","23rd"
"Sweden"," 3.8%","24th"
"United Kingdom"," 3.5%","25th"
"Ireland"," 2.9%","26th"
"Netherlands"," 2.9%","27th"
"United States"," 2.3%","28th"
"Czechia","  NA%","29th"
"Estonia","  NA%","30th"
"Lithuania","  NA%","31th"
